NUSP,Trabalho_final,Fonte_entrega,Justificativa
15457821,6.6,Moodle,"Primeiro teste incorreto (p-valor 0,001241) por recodificação/argumentos inadequados; segundo teste correto, mas a seção de significância mistura os testes."
15676771,8.5,Moodle,"Boa cobertura, segundo teste e efeito amostral corretos; pequenas inconsistências na experiência administrativa e na validação."
15464083,8.9,Moodle,"Resultados principais corretos; pequenas perdas por denominadores/limpeza e apresentação."
8682184,9.7,Moodle,"Trabalho completo, correto, claro e reprodutível; resultados alinhados ao gabarito."
10765228,7.5,Moodle,"Não normaliza todos os valores irregulares de exp_adm, produzindo 309/355 no MinC e p-valor 0,022; segundo teste e demais interpretações estão corretos."
14583212,8.7,Moodle,"Testes centrais corretos; algumas inconsistências na tabela descritiva, validação e explicação numérica."
14654997,4.7,Moodle,"Validação incompleta, prosa contraditória no primeiro teste, ausência do segundo teste e falta do arquivo-fonte; acerta parte descritiva e a direção do efeito amostral."
14584443,9.5,Moodle,"Resultados, testes e interpretações corretos; pequenas perdas de apresentação."
10437013,8.2,Moodle,"Primeiro e segundo testes são essencialmente corretos, mas a tabela descritiva apresenta denominadores/proporções inconsistentes e há excesso de repetição."
14586921,8.8,Moodle,"Boa análise com testes corretos; pequenas inconsistências de validação, denominadores e apresentação."
14655362,9.6,Moodle,"Trabalho completo e correto, com resultados e interpretações alinhados ao gabarito."
15582209,9.1,Moodle,"Resultados inferenciais e interpretação corretos; pequenas perdas em validação e tabela descritiva."
14589448,6.2,Moodle,"Usa t.test e dados recodificados incorretamente no primeiro teste e produz tabela/teste de alto nível incorretos; acerta a lógica dos níveis de significância e o efeito amostral."
13636981,8.9,Moodle,"Análise completa, com variantes aceitáveis dos testes; pequenas inconsistências de denominador/limpeza."
14759962,8.8,Moodle,"Testes centrais corretos; pequenas inconsistências na tabela descritiva, validação e apresentação."
14678357,9.0,Moodle,"Resultados inferenciais corretos e boa interpretação; pequenas perdas na tabela descritiva e validação."
16889846,9.6,Moodle,"Trabalho completo, correto e bem interpretado, com resultados alinhados ao gabarito."
4725594,4.5,Moodle,"Altera o estimando ao combinar exp_adm e exp_car, usa exp_car em vez de nivel no segundo teste, inverte decisões de significância e simula a duplicação de n incorretamente."
14596738,5.8,Moodle,"Primeiro teste incorreto (p-valor 0,000844) e respostas condicionais sem concluir os testes; segundo teste e significância ficam incompletos, embora haja boa estrutura."
15524472,8.8,Moodle,"Testes e conclusões principais corretos; pequenas inconsistências na tabela descritiva e na validação."
15361241,8.7,Moodle,"Relatório amplo e bem interpretado; usa denominadores ligeiramente incorretos no MinC, mas preserva as conclusões centrais."
13636574,9.8,Moodle,"Trabalho completo, correto, claro e reprodutível, com resultados alinhados ao gabarito."
16894387,6.1,Moodle,"Tratamento da base altera as contagens (312/355 e 152 altos no MinC), gerando p-valor 0,103 e conclusão incorreta também para alto nível; apresentação é extensa e cuidadosa."
14657447,9.8,Moodle,"Trabalho completo, correto, claro e reprodutível, com resultados alinhados ao gabarito."
14602925,9.6,Moodle,"Trabalho completo e correto; pequenas diferenças de apresentação/validação."
13721516,9.7,Moodle,"Trabalho completo, correto e reprodutível, com resultados alinhados ao gabarito."
13636719,8.9,Moodle,"Usa correção de continuidade, com p-valores 0,074 e 0,046 e conclusões corretas; pequenas perdas de validação/apresentação."
12507571,9.5,Moodle,"Resultados e testes corretos; pequenas perdas de apresentação e organização da entrega."
13838774,8.9,Moodle,"Resultados centrais corretos; pequenas inconsistências de denominador/limpeza e explicação."
14610153,9.7,Moodle,"Trabalho completo, correto, claro e reprodutível, com resultados alinhados ao gabarito."
9825991,7.2,Moodle,"Usa denominadores inadequados em exp_adm e obtém p-valor 0,0325 no primeiro teste; segundo teste e efeito amostral estão corretos."
14612631,7.5,Moodle,"Usa denominadores inadequados no primeiro teste, obtendo 85,5% no MinC e p-valor 0,0028; segundo teste, níveis de significância e efeito amostral estão corretos."
15445370,9.7,E-mail,"Trabalho completo, correto e reprodutível; pequena inconsistência de exibição na tabela de ausentes, sem afetar a análise."
