pid,year,journal_title,titulo,razao_do_screen,motivo
S1981-38212011000100054,2011,Brazilian Political Science Review,Brazilian Parties According to their Manifestos: Political Identi...,Bivariado/correlação,The main ambiguity is whether to code the quantitative analysis as descriptive only or bivariate/...
S1981-38212011000100077,2011,Brazilian Political Science Review,Euroskepticism in European National Elections: The Rise of Voter ...,Modelagem estatística,The article uses fixed-effects panel models and explanatory language about the impact of represen...
S1981-38212011000200010,2011,Brazilian Political Science Review,Judiciary-Executive relations in Policy Making: the Case of Drug ...,Somente qualitativo,"The article includes several numerical facts from administrative sources and prior studies, but t..."
S1981-38212011000200039,2011,Brazilian Political Science Review,Independence after Delegation? Presidential Calculus and Politica...,Modelagem estatística,"The article makes explanatory claims and uses random-effects panel regression, but it also descri..."
S1981-38212011000200094,2011,Brazilian Political Science Review,Federalism and Public Resources in Brazil: Federal Discretionary ...,Modelagem estatística,"The paper uses institutional and legal background and explanatory language, but its original empi..."
S1981-38212012000100011,2012,Brazilian Political Science Review,"Democracy, Redistribution, and Equality",Quantitativo descritivo,The article uses quantitative income-distribution data and mentions statistical non-difference by...
S1981-38212012000100053,2012,Brazilian Political Science Review,Empirical Determinants of Government Efficiency: A Study Based on...,Modelagem estatística,"The Endogeneity issues section mentions instruments and Hausman tests, but the text presents them..."
S1981-38212012000100070,2012,Brazilian Political Science Review,Trust and Political Information: Attitudinal Change in Participan...,Desenho causal explícito,"The article explicitly invokes quasi-experimental logic and difference in difference, but the bod..."
S1981-38212012000100090,2012,Brazilian Political Science Review,Women in Motion: Female Representation in the Rio Grande do Sul S...,Quantitativo descritivo,"The article is clearly descriptive quantitative, but mixed_empirical is a judgment call because t..."
S1981-38212012000100113,2012,Brazilian Political Science Review,Electoral Governance in Brazil,Quantitativo descritivo,"The article contains descriptive quantitative figures and references to a graph and table, but th..."
S1981-38212012000200001,2012,Brazilian Political Science Review,"Liberalism, Marxism and Democratic Theory Revisited: Proposal of ...",Quantitativo descritivo,"The paper is mainly theoretical and methodological, but Table 1 applies a newly constructed index..."
S1981-38212012000200002,2012,Brazilian Political Science Review,"The Bigger, the Better: Coalitions in the GATT/WTO",Modelagem estatística,"The article uses causal language and within-case mechanism analysis, but its quantitative analysi..."
S1981-38212012000200003,2012,Brazilian Political Science Review,Political Competition and the Diffusion of Conditional Cash Trans...,Modelagem estatística,The qualitative component is present but less systematically documented than the quantitative mod...
S1981-38212012000200004,2012,Brazilian Political Science Review,What is the Best Strategy to Obtain Legislative Support?: Survey ...,Modelagem estatística,"The article uses explanatory and effect language with multinomial logit, controls, state fixed ef..."
S1981-38212013000100004,2013,Brazilian Political Science Review,Human security paradigms and economic crisis in first year of the...,Somente qualitativo,"The article cites and compares many descriptive numerical indicators, especially violence, unempl..."
S1981-38212013000200005,2013,Brazilian Political Science Review,Internet and politics studies in Brazil: mapping the characterist...,Quantitativo descritivo,The article's own evidence is presented mainly as descriptive quantitative coding of conference p...
S1981-38212013000300002,2013,Brazilian Political Science Review,The institutionalization of Brazilian political thought in the so...,Somente qualitativo,The main ambiguity is whether an intellectual-history essay based on close reading of texts shoul...
S1981-38212013000300005,2013,Brazilian Political Science Review,Foreign policy change in Brazil: comparing Castelo Branco (1964-1...,Somente qualitativo,"The article includes many descriptive numerical indicators, but they are contextual figures drawn..."
S1981-38212013000300007,2013,Brazilian Political Science Review,Diffusion of good government: social sector reforms in Brazil,Não empírico,"The article repeatedly describes the reviewed book's survival analysis, regressions, process trac..."
S1981-38212014000100002,2014,Brazilian Political Science Review,"A study on the impact of campaign finance, political capital and ...",Modelagem estatística,"The article repeatedly uses impact and effect language, but the empirical strategy is observation..."
S1981-38212014000200008,2014,Brazilian Political Science Review,"Cooperation for Development, Brazilian Regional Leadership and Gl...",Somente qualitativo,"The article contains many descriptive figures and references to tables, but the body text present..."
S1981-38212014000200070,2014,Brazilian Political Science Review,Flying in Clear Skies: Technical Arguments Influencing ANAC Regul...,Modelagem estatística,"The article uses content analysis of public-hearing comments and regulatory documents, which is q..."
S1981-38212014000200094,2014,Brazilian Political Science Review,A Comparative Analysis of Brazil's Foreign Policy Drivers Towards...,Modelagem estatística,The article uses causal and explanatory language with panel statistical models and model diagnost...
S1981-38212014000300003,2014,Brazilian Political Science Review,The Three Achilles' Heels of Brazilian Political Science,Quantitativo descritivo,The article combines descriptive quantitative indicators with historical-institutional interpreta...
S1981-38212014000300098,2014,Brazilian Political Science Review,Beyond Brazilian Coalition Presidentialism: the Appropriation of ...,Modelagem estatística,"The article uses fuzzy-set QCA, a configurational set-theoretic method with coded variables and s..."
S1981-38212015000100039,2015,Brazilian Political Science Review,The Institutional Presidency from a Comparative Perspective: Arge...,Modelagem estatística,"The paper makes explanatory claims and uses statistical modeling, but it does not articulate a de..."
S1981-38212015000100093,2015,Brazilian Political Science Review,The 2014 Elections and the Brazilian Party System,Quantitativo descritivo,The article is clearly quantitative under the broad Torreblanca rule because it organizes and com...
S1981-38212015000100135,2015,Brazilian Political Science Review,The Impacts of Conditional Cash Transfers in Four Presidential El...,Modelagem estatística,The paper uses matching and generalized propensity score methods and explicitly frames estimates ...
S1981-38212015000200003,2015,Brazilian Political Science Review,"State Transfers, Taxes and Income Inequality in Brazil",Modelagem estatística,"The article uses counterfactual wage decomposition, selection models, and explanatory language ab..."
S1981-38212015000200054,2015,Brazilian Political Science Review,Corruption and Political Participation in the Americas and the Ca...,Modelagem estatística,The article uses explanatory and effect language and argues that experience with corruption may i...
S1981-38212015000200081,2015,Brazilian Political Science Review,Does the Electoral Rule Matter for Political Polarization? The Ca...,Modelagem estatística,"The article uses explicit treatment/control and identification language, but the empirical strate..."
S1981-38212015000300003,2015,Brazilian Political Science Review,Impact of Electronic Voting Machines on Blank Votes and Null Vote...,Desenho causal explícito,"The article explicitly uses difference-in-differences as a causal design, but presents the result..."
S1981-38212015000300042,2015,Brazilian Political Science Review,The Capital Mistake: Local Information and National Electoral Ref...,Modelagem estatística,The article uses causal and explanatory language and includes fixed effects and robustness checks...
S1981-38212015000300064,2015,Brazilian Political Science Review,Reversing Polarities: Anarchical (Failed) States versus Internati...,Somente qualitativo,The article is not empirical in a positivist sense and has no explicit corpus or coding procedure...
S1981-38212015000300088,2015,Brazilian Political Science Review,Assessing some measures of online deliberation,Não empírico,The article repeatedly discusses empirical methods and briefly mentions the author's own empirica...
S1981-38212015000300116,2015,Brazilian Political Science Review,Enlarging the Playing Field: Political Circulation of Brazilian S...,Bivariado/correlação,"The paper clearly contains original quantitative analysis, but the boundary between descriptive s..."
S1981-38212016000100201,2016,Brazilian Political Science Review,Modernization Without Change: Decision-Making Process in the Merc...,Modelagem estatística,The Banzhaf index is a deterministic game-theoretic voting-power calculation rather than conventi...
S1981-38212016000100202,2016,Brazilian Political Science Review,Elite Framing of Inequality in the Press: Brazil and Uruguay Comp...,Bivariado/correlação,"Most substantive quantitative analysis is descriptive content-analysis evidence, but the Coding s..."
S1981-38212016000100203,2016,Brazilian Political Science Review,Emerging Powers and the Notion of International Responsibility: m...,Somente qualitativo,"The article is heavily conceptual, but it also contains a substantive qualitative case discussion..."
S1981-38212016000100205,2016,Brazilian Political Science Review,"U.S. International Agricultural Trade Policy: Interests, Institut...",Quantitativo descritivo,"The article includes many numbers and contribution/vote counts, and these appear to be part of th..."
S1981-38212016000100206,2016,Brazilian Political Science Review,The Stratification of Diversity: Measuring the Hierarchy of Brazi...,Quantitativo descritivo,The article combines interpretive content coding with quantitative descriptive indicators. It mak...
S1981-38212016000100207,2016,Brazilian Political Science Review,Japanese International Relations: an assessment of the 1971-2011 ...,Somente qualitativo,The article repeatedly mentions empirical data and includes contextual quantitative indicators fr...
S1981-38212016000200203,2016,Brazilian Political Science Review,Brazilian Political Institutions: an Inconclusive Debate,Não empírico,"The article makes many explanatory claims and discusses empirical studies by other authors, but i..."
S1981-38212016000200204,2016,Brazilian Political Science Review,Does Size Matter? Electoral Performance of Small Parties in Brazil,Modelagem estatística,"The article repeatedly uses effect language and statistical tests, but it does not articulate a d..."
S1981-38212016000200206,2016,Brazilian Political Science Review,Unboxing the Active Role of the Legislative Power in Brazil,Bivariado/correlação,The main judgment concerns empirical evidence type: the article's results are predominantly quant...
S1981-38212016000300201,2016,Brazilian Political Science Review,Oversized Government Coalitions in Latin America,Modelagem estatística,"The paper uses explanatory language and panel-style observational models with temporal controls, ..."
S1981-38212016000300203,2016,Brazilian Political Science Review,"Personality, Political Attitudes and Participation in Protests: T...",Modelagem estatística,"The paper repeatedly uses causal and mediation language, but the empirical strategy is observatio..."
S1981-38212016000300204,2016,Brazilian Political Science Review,Corporate Dependence in Brazil's 2010 Elections for Federal Deputy,Modelagem estatística,"The article has explanatory hypotheses and a multivariate model, so it should be screened, but it..."
S1981-38212016000300206,2016,Brazilian Political Science Review,Foreign aid and the governance of international financial organiz...,Modelagem estatística,The article uses causal language such as impact and influence and interprets OLS coefficients as ...
S1981-38212017000100201,2017,Brazilian Political Science Review,National Intelligence Systems as Networks: Power Distribution and...,Modelagem estatística,The quantitative analysis consists of network construction and centrality or centralization metri...
S1981-38212017000100203,2017,Brazilian Political Science Review,Germany and Greece in the Eurozone Crisis from the Viewpoint of t...,Quantitativo descritivo,"The article is heavily theoretical and literature-based, but it also contains the authors' own de..."
S1981-38212017000100204,2017,Brazilian Political Science Review,"Business, Government and Foreign Policy: Brazilian Construction F...",Quantitativo descritivo,"The article self-describes as qualitative, but the main empirical section also reports descriptiv..."
S1981-38212017000100401,2017,Brazilian Political Science Review,The Genesis of Participatory Democracy in Brazil: a Scientific (R...,Não empírico,"The article presents historical examples and interpretive evidence from prior studies, especially..."
S1981-38212017000200201,2017,Brazilian Political Science Review,Leaders or Loners? How Do the BRICS Countries and their Regions V...,Bivariado/correlação,The article uses causal/explanatory language such as whether regional-power status generates cohe...
S1981-38212017000200204,2017,Brazilian Political Science Review,Coalition Presidentialism in Bicameral Congresses: How does the C...,Alegação causal + análise quantitativa,"The central classification ambiguity is that mvQCA is a formal configurational, set-theoretic met..."
S1981-38212017000200205,2017,Brazilian Political Science Review,"Accountability, Corruption and Local Government: Mapping the Cont...",Modelagem estatística,"The Lottery Program randomly selects municipalities and the article uses explanatory language, lo..."
S1981-38212017000200206,2017,Brazilian Political Science Review,Taxonomy of interstate conflicts: is South America a peaceful reg...,Quantitativo descritivo,The article explicitly says it used content analysis of datasets and presents descriptive counts ...
S1981-38212017000300201,2017,Brazilian Political Science Review,The Solidarity Economy in South and North America: Converging Exp...,Somente qualitativo,"The article includes many descriptive statistics from previous mappings and reports, but these ar..."
S1981-38212017000300202,2017,Brazilian Political Science Review,Politics on the Web: Using Twitter to Estimate the Ideological Po...,Modelagem estatística,The article contains explanatory interpretations of why PT and PSDB are distant in Twitter networ...
S1981-38212018000100200,2018,Brazilian Political Science Review,Expert-Driven and Citational Approaches to Assessing Journal Publ...,Modelagem estatística,The article uses explanatory language about factors influencing Qualis scores and ordered logisti...
S1981-38212018000100203,2018,Brazilian Political Science Review,Coproduce or Codevelop Military Aircraft? Analysis of Models Appl...,Quantitativo descritivo,"The article is primarily qualitative, but the body discusses multiple descriptive tables and coun..."
S1981-38212018000200200,2018,Brazilian Political Science Review,Strategic Coalitions and Agenda-Setting in Fragmented Congresses:...,Modelagem estatística,"The article uses Probit regressions and modeled ideal points, so it is statistical modeling, but ..."
S1981-38212018000200201,2018,Brazilian Political Science Review,"Representation, Epistemic Democracy, and Political Parties in Joh...",Não empírico,"The article performs close textual interpretation of primary texts, which could be seen as qualit..."
S1981-38212018000200203,2018,Brazilian Political Science Review,Freedom through form: Bolívar Lamounier and the Liberal Interpret...,Somente qualitativo,"The article is not empirical in the quantitative social-science sense, but the schema counts subs..."
S1981-38212018000300201,2018,Brazilian Political Science Review,Between Autonomy and Dependency: the Place of Agency in Brazilian...,Somente qualitativo,The article is partly a conceptual essay and literature-based intellectual history rather than a ...
S1981-38212018000300204,2018,Brazilian Political Science Review,Entries and Withdrawals: Electoral Coordination across Different ...,Quantitativo descritivo,"The article includes counterfactual seat simulations and explicit explanatory claims, but the qua..."
S1981-38212018000300205,2018,Brazilian Political Science Review,Do Concepts Matter? Latin America and South America in the Discou...,Quantitativo descritivo,The article combines historical-literature reconstruction with original quantitative content anal...
S1981-38212019000100201,2019,Brazilian Political Science Review,Football UN-ited: From the Game of War to the War of the Game,Somente qualitativo,"The article is essayistic and theoretical, with no explicit empirical method, but it does substan..."
S1981-38212019000100203,2019,Brazilian Political Science Review,Political Institutions and the Legislative Success of Brazilian P...,Modelagem estatística,"The article uses explanatory language and logistic regression, but it provides no design-based ca..."
S1981-38212019000100204,2019,Brazilian Political Science Review,"Capital Mobility, Veto Players, and Redistribution in Latin Ameri...",Modelagem estatística,The article makes causal and explanatory claims and uses TSCS regression with random/fixed effect...
S1981-38212019000100205,2019,Brazilian Political Science Review,Juvenile Sentencing: A Mixed-Methods Approach,Modelagem estatística,The article repeatedly frames the design as contributing to causal inference and mechanism explan...
S1981-38212019000200200,2019,Brazilian Political Science Review,Social Forces and the International Political Economy after the 2...,Quantitativo descritivo,"The article uses causal-mechanism, process-tracing and hoop-test language, but it explicitly fram..."
S1981-38212019000200201,2019,Brazilian Political Science Review,Programs and Parties: Rethinking Electoral Competition Through An...,Modelagem estatística,"The article uses a statistical text model and a Poisson framework, which clearly makes it statist..."
S1981-38212019000200203,2019,Brazilian Political Science Review,Democratization and Intelligence and Internal Security Agencies: ...,Somente qualitativo,The empirical classification requires judgment because the article relies heavily on academic lit...
S1981-38212019000200204,2019,Brazilian Political Science Review,Air Power Meets Clausewitz: Military Coercion as Limited War,Não empírico,"The article closely discusses Pape's empirical tests, hypotheses, observations, and cost-benefit ..."
S1981-38212019000200205,2019,Brazilian Political Science Review,"Here Today, Gone Tomorrow - Political Ambition, Coalitions, and A...",Modelagem estatística,The paper uses strong explanatory and impact language with multivariate survival models and an in...
S1981-38212019000300200,2019,Brazilian Political Science Review,The World Cup and Presidential Popularity in Brazil,Modelagem estatística,The paper uses causal language about a negative rally effect and attempts to clarify causal direc...
S1981-38212019000300201,2019,Brazilian Political Science Review,Clientelism and Local Politics: Interactions Between Municipal Co...,Modelagem estatística,"The article uses explanatory and effect language in observational multilevel models, but it also ..."
S1981-38212019000300202,2019,Brazilian Political Science Review,Parliamentary Supervision of Brazilian Foreign Policy: An analysi...,Bivariado/correlação,"The article is clearly quantitative, but its qualitative component is less central: much of the n..."
S1981-38212019000300203,2019,Brazilian Political Science Review,Race and Competitiveness in Brazilian Elections: Evaluating the C...,Modelagem estatística,The article uses causal language and reports observational regression and quantile regression wit...
S1981-38212019000300204,2019,Brazilian Political Science Review,What do State Institutions Say? Twitter as a Public Communication...,Modelagem estatística,"The quantitative evidence includes chi-squared tests, standardized residuals, Cramer's V, and cor..."
S1981-38212020000100200,2020,Brazilian Political Science Review,Brazilian International Development Cooperation and Public Opinio...,Desenho causal explícito,"The article is clearly quantitative and experimental, but the mixed_empirical and qualitative cla..."
S1981-38212020000100202,2020,Brazilian Political Science Review,The Presence of Incumbents Electoral Competition and Reelection i...,Modelagem estatística,"The article uses causal language, panel regressions, fixed effects, WLS, controls, and interactio..."
S1981-38212020000100203,2020,Brazilian Political Science Review,The Normative Bases of Semi-Presidentialism: Max Weber and the Mi...,Não empírico,The article contains sustained interpretation of historical texts and makes explanatory claims ab...
S1981-38212020000200200,2020,Brazilian Political Science Review,The Political Economy of Innovation Why is Brazil Stuck in the Te...,Quantitativo descritivo,The article is partly an interpretive essay and much quantitative evidence is illustrative descri...
S1981-38212020000200700,2020,Brazilian Political Science Review,Environmental Policy in the Bolsonaro Government: The Response of...,Quantitativo descritivo,The main ambiguity is whether the descriptive counts and budget figures are sufficient to count a...
S1981-38212020000300201,2020,Brazilian Political Science Review,Individual Conditioning Factors of Political Protest in Latin Ame...,Modelagem estatística,"The article uses explanatory and effect language with observational linear regression, but it doe..."
S1981-38212020000300202,2020,Brazilian Political Science Review,Political Science in Latin America: A Scientometric Analysis,Modelagem estatística,The main judgment is whether bibliometric co-citation and co-word network analysis should be clas...
S1981-38212020000300203,2020,Brazilian Political Science Review,Changes in the Foreign Policy of Bolivia and Ecuador: Domestic an...,Somente qualitativo,The article contains contextual numbers and narrative claims about export/import trends and inclu...
S1981-38212021000100202,2021,Brazilian Political Science Review,From Antipetismo to Generalized Antipartisanship: The Impact of R...,Modelagem estatística,"The article repeatedly uses causal and effect language, but the empirical strategy is observation..."
S1981-38212021000100203,2021,Brazilian Political Science Review,The Effects of Conditionality Monitoring on Educational Outcomes:...,Modelagem estatística,"The paper uses language about effects and treatment proxies, but the actual design is an ecologic..."
S1981-38212021000200202,2021,Brazilian Political Science Review,"Left-Wing Governmental Alliance in Portugal, 2015-2019: A Way of ...",Alegação causal + análise quantitativa,"The article makes explanatory claims and uses descriptive quantitative evidence, so it triggers s..."
S1981-38212021000200203,2021,Brazilian Political Science Review,Specialists and Politics: The Recruitment of Presidents and Direc...,Modelagem estatística,The main ambiguity is whether descriptive social network analysis should be coded as descriptive ...
S1981-38212021000300701,2021,Brazilian Political Science Review,Jair Bolsonaro and the Dominant Counterpublicity,Somente qualitativo,"The article is heavily conceptual and theoretical in its framing, so the empirical classification..."
S1981-38212021000300703,2021,Brazilian Political Science Review,"Climate Security, the Amazon, and the Responsibility to Protect",Somente qualitativo,"The article is partly conceptual and prospective, so the empirical classification depends on whet..."
S1981-38212022000100203,2022,Brazilian Political Science Review,Foreign Policy versus Migration Legislation: The case of Brazil (...,Quantitativo descritivo,"The Methods section describes the study as qualitative, but the Results section reports original ..."
S1981-38212022000100204,2022,Brazilian Political Science Review,Policy Dynamics and Government Attention over Welfare Policies: A...,Quantitativo descritivo,"The article has explanatory discussion and uses qualitative historical interpretation, but it exp..."
S1981-38212022000100205,2022,Brazilian Political Science Review,Electoral Dividends from Programmatic Policies: A Theoretical Pro...,Modelagem estatística,The article repeatedly uses impact and electoral-effect language and models survey outcomes with ...
S1981-38212022000200202,2022,Brazilian Political Science Review,Why has Participatory Budgeting Declined in Brazil?,Modelagem estatística,"The article makes explanatory claims and uses panel fixed effects, but it does not articulate a d..."
S1981-38212022000200203,2022,Brazilian Political Science Review,Democratization and Graduation Dilemmas Faced by Regional Powers ...,Somente qualitativo,"The text mentions Graph 01 depicting the evolution of peace-operation participation, which could ..."
S1981-38212022000200205,2022,Brazilian Political Science Review,Digital activism and democratic culture: can digital technologies...,Modelagem estatística,The article often uses associational language but also claims digital participation may improve o...
S1981-38212022000200206,2022,Brazilian Political Science Review,"Building Parties’ Grassroots: Electoral Systems, Party Organizati...",Modelagem estatística,"The article uses fixed-effects panel models and causal/explanatory language about effects, but it..."
S1981-38212022000300201,2022,Brazilian Political Science Review,The Relationship between Ideology and COVID-19 Deaths: What We Kn...,Modelagem estatística,"The article is primarily a methodological critique of ecological inference, but it also presents ..."
S1981-38212022000300202,2022,Brazilian Political Science Review,Activism Among Bureaucrats: Creative Social Housing Work in a Con...,Somente qualitativo,The article reports many counts and says it conducted cross-analysis between profile clusters and...
S1981-38212022000300204,2022,Brazilian Political Science Review,"Does the Before Influence the After? Career Paths, Nominations, a...",Modelagem estatística,The article repeatedly uses causal language about career paths affecting votes and estimates logi...
S1981-38212023000100201,2023,Brazilian Political Science Review,Question of Timing: Pre-Electoral Coalitions in Multiparty Presid...,Alegação causal + análise quantitativa,"The article uses causal/explanatory language and set-theoretic terminology about necessity, but i..."
S1981-38212023000100205,2023,Brazilian Political Science Review,Credit and Ideology: The Policy of Payroll Deducted Credit during...,Quantitativo descritivo,"The article repeatedly discusses policy 'effects' and explanatory mechanisms, but the quantitativ..."
S1981-38212023000200201,2023,Brazilian Political Science Review,Mandatory Individual Amendments: a Change in the Pattern of Execu...,Desenho causal explícito,"The quantitative and causal classifications are clear, but the mixed-empirical classification req..."
S1981-38212023000200202,2023,Brazilian Political Science Review,"Pierre Rosanvallon, from the Critique of Utopian Liberalism to th...",Somente qualitativo,"The article is not empirical in the narrow data-analysis sense, but it does use substantive textu..."
S1981-38212023000200206,2023,Brazilian Political Science Review,"Political Institutions, Electoral Systems, and Party Stability in...",Modelagem estatística,"The article repeatedly uses causal and effects language, but it also frames institutions as not n..."
S1981-38212023000300201,2023,Brazilian Political Science Review,"PLANB Index : Sociological Categories for Climate Policymakers ,",Quantitativo descritivo,"The article is heavily theoretical and normative, but it also reports original empirical applicat..."
S1981-38212023000300202,2023,Brazilian Political Science Review,"Access, Technology, and Transition: Mapping the Themes of the Deb...",Modelagem estatística,The main ambiguity is that hierarchical clustering and correspondence analysis are exploratory di...
S1981-38212023000300204,2023,Brazilian Political Science Review,"Climate Change, Denialism, and Participatory Institutions in Braz...",Alegação causal + análise quantitativa,The article's quantitative component is descriptive and embedded in a mostly qualitative institut...
S1981-38212023000300205,2023,Brazilian Political Science Review,Interest Groups in Brazilian Climate Policy: an Analysis of the A...,Somente qualitativo,"The paper contains many percentages and descriptive statistics, but they are cited from secondary..."
S1981-38212023000300701,2023,Brazilian Political Science Review,"The Environment in Brazil&#8217;s 2022 Presidential Election,",Modelagem estatística,"The article uses causal and effect language with controlled observational survey models, but it d..."
S1981-38212024000100201,2024,Brazilian Political Science Review,Political Support for Sale: Cabinet Appointments and Public Expen...,Modelagem estatística,"The article uses fixed effects regressions and explanatory language, but it does not articulate a..."
S1981-38212024000100202,2024,Brazilian Political Science Review,Following the Trail of Words: Mapping the Trending Topics of Grad...,Modelagem estatística,The article combines original quantitative text-as-data modeling with qualitative historical cont...
S1981-38212024000100203,2024,Brazilian Political Science Review,Populism and the Dismantling of Brazil's Deforestation Oversight ...,Quantitativo descritivo,"The article is causally explicit and uses process tracing with tests, but its quantitative eviden..."
S1981-38212024000100204,2024,Brazilian Political Science Review,Separate Tables: Thematic and Methodological Divisions in Brazili...,Modelagem estatística,The quantitative classification is a borderline case because the article uses network analysis an...
S1981-38212024000200202,2024,Brazilian Political Science Review,The Politics of Agribusiness in Brazil: Business Power and Politi...,Modelagem estatística,"The article uses documentary sources to code variables and sometimes uses causal language, but it..."
S1981-38212024000200205,2024,Brazilian Political Science Review,The Social Participation on the Other Side of the Counter: Bureau...,Quantitativo descritivo,"The article makes explanatory claims and uses descriptive quantitative comparisons by attributes,..."
S1981-38212024000300201,2024,Brazilian Political Science Review,Are Ministerial Gates Closed? Party Politicization and Fractional...,Quantitativo descritivo,"The article makes explanatory claims about coalition management and party support, but its own em..."
S1981-38212024000300202,2024,Brazilian Political Science Review,Multilevel Governance of Social Policy: Social Services in Metrop...,Somente qualitativo,"The article mentions characterization and budgetary data in tables, but the body text does not pr..."
S1981-38212024000300203,2024,Brazilian Political Science Review,Every Mind is a Different World: do Judges Truly Decide in Such D...,Modelagem estatística,The article uses explanatory language about ideology influencing judicial decisions and estimates...
S1981-38212024000300204,2024,Brazilian Political Science Review,"From the Environment to Green Democracy: Environmentalism, Social...",Não empírico,"The article contains historical examples and summarizes empirical studies by other authors, espec..."
S1981-38212024000300205,2024,Brazilian Political Science Review,Violence and Democratic Legitimacy in Latin America: Causal Mecha...,Modelagem estatística,"The article uses strong causal language, hypotheses, fixed-effects terminology, and contextual in..."
S1981-38212025000100201,2025,Brazilian Political Science Review,A Constitution I Am Used To? Constitutional Endurance and Replace...,Modelagem estatística,QCA is a formal set-theoretic causal method rather than a conventional regression model. The sche...
S1981-38212025000100202,2025,Brazilian Political Science Review,The Unconditional Basic Income Proposal as a Means to Promote Eco...,Somente qualitativo,"The article is primarily theoretical and literature-based, but it includes a substantive qualitat..."
S1981-38212025000100203,2025,Brazilian Political Science Review,"Climate Justice, Recognition, Pluralism",Não empírico,The article labels Black and Indigenous movements as case studies and discusses real-world exampl...
S1981-38212025000100205,2025,Brazilian Political Science Review,The Torrents of Spring : The Role of Governance Capacity in the D...,Modelagem estatística,The article repeatedly uses causal language such as effects and reductions and estimates panel an...
