pid,title,journal_title,year,eligible_order,empirical_evidence_type,quantitative_analysis_type,credibility_revolution_screen_reason,tough_call_reason
S1981-38212009000200030,"Strong Presidents, Robust Democracies? Separation of Powers and Rule of Law in Latin America",Brazilian Political Science Review,2009,24,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article describes itself as conceptual and exploratory and relies heavily on literature synthesis, but it also presents and interprets comparative descriptive indicators and country cases as empirical evidence. I therefore classify it as mixed empirical with descriptive quantitative analysis only, not as purely theoretical or as inferential quantitative research."
S1981-38212009000200060,At What Point does a Legislature Become Institutionalized? the Mercosur Parliament's Path,Brazilian Political Science Review,2009,25,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article is primarily qualitative, but it also presents original descriptive counts and averages of Parlasur activity, especially normative acts and attendance patterns. These descriptive quantitative summaries justify coding it as mixed empirical and Torreblanca-style quantitative, but only as descriptive_statistics_only."
S1981-38212009000200127,"Political Parties, Foreign Policy and Ideology: Argentina and Chile in Comparative Perspective",Brazilian Political Science Review,2009,27,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article uses statistical modeling through NOMINATE and makes explanatory claims about party ideology, so it must be screened, but it does not use a design-based causal identification strategy or report inferential uncertainty in the body text provided. It also has a qualitative component based on plenary stenographical notes, but the provided body summarizes that component rather than reproducing detailed qualitative evidence."
S1981-38212010000100010,"Electoral Success and Political Institutionalization in the Federal Deputy Elections in Brazil (1998, 2002 and 2006)",Brazilian Political Science Review,2010,28,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article repeatedly uses language of variables affecting or increasing chances of electoral success, and it estimates logistic regressions, but it does not articulate a design-based identification strategy; therefore this is screened but coded as observational regression with causal/explanatory claims and no credibility-revolution design."
S1981-38212010000100033,Judicialization of Health Policy in the Definition of Access to Public Goods: Individual Rights versus Collective Rights,Brazilian Political Science Review,2010,29,mixed_empirical,descriptive_statistics_only,causal_claim_with_quantitative_analysis_screen,"The article's quantitative analysis is purely descriptive, but it uses those descriptive findings to support explanatory claims about judicial interference and distributional effects. I therefore screened it for credibility-revolution methods while classifying no such method as present."
S1981-38212010000200010,"Federalism, Bicameralism, and Institutional Change: General Trends and One Case-study",Brazilian Political Science Review,2010,32,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article combines descriptive quantitative analysis with a qualitative case-study explanation. Its causal language could be mistaken for causal inference, but the empirical strategy is descriptive comparison and roll-call analysis without statistical inference or a design-based causal identification strategy."
S1981-38212010000200078,The Decreasing Political Rewards of Education in Brazil,Brazilian Political Science Review,2010,35,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article foregrounds descriptive time-series graphs in this article, but it also explicitly reports correlations, logistic regressions, inferential tests, and multivariate statistical tests. It therefore goes beyond descriptive statistics, while still lacking a design-based causal identification strategy."
S1981-38212011000100011,How Innovative Was the Poupatempo Experience in Brazil? Institutional Bypass as a New Form of Institutional Change,Brazilian Political Science Review,2011,37,qualitative_only,none,qualitative_only,"The article reports many administrative figures, budgets, costs, survey percentages, and satisfaction numbers, but these are used as contextual or cited descriptive evidence rather than as original or reanalyzed quantitative analysis by the authors."
S1981-38212011000100054,Brazilian Parties According to their Manifestos: Political Identity and Programmatic Emphases,Brazilian Political Science Review,2011,39,mixed_empirical,bivariate_tests_or_correlations_only,bivariate_or_correlation_screen,"The main ambiguity is whether to code the quantitative analysis as descriptive only or bivariate/inferential. Because the article reports an association test, residual analysis under a null hypothesis of independence, and a statistically significant Cohen's kappa reliability test, it goes beyond descriptive statistics, but it does not use multivariable statistical modeling."
S1981-38212011000100077,Euroskepticism in European National Elections: The Rise of Voter Support for New Radical Right Parties,Brazilian Political Science Review,2011,40,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses fixed-effects panel models and explanatory language about the impact of representation on ERP support, but it does not present treatment timing, treated/control comparisons, parallel-trends logic, or another explicit design-based identification strategy. Therefore it is screened but not classified as having a credibility-revolution method."
S1981-38212011000200010,Judiciary-Executive relations in Policy Making: the Case of Drug Distribution in the State of São Paulo,Brazilian Political Science Review,2011,42,qualitative_only,none,qualitative_only,"The article includes several numerical facts from administrative sources and prior studies, but these are contextual or secondary figures rather than the authors' own systematic quantitative analysis."
S1981-38212011000200039,Independence after Delegation? Presidential Calculus and Political Interference in Brazilian Regulatory Agencies,Brazilian Political Science Review,2011,43,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article makes explanatory claims and uses random-effects panel regression, but it also describes the analysis as exploratory and does not articulate a design-based causal identification strategy; therefore it should be screened but not coded as using a credibility-revolution method."
S1981-38212011000200094,Federalism and Public Resources in Brazil: Federal Discretionary Transfers to States,Brazilian Political Science Review,2011,45,quantitative_only,statistical_modeling,statistical_modeling_screen,"The paper uses institutional and legal background and explanatory language, but its original empirical analysis is quantitative regression. I classify it as quantitative_only because the institutional discussion is contextual rather than a qualitative empirical design; I classify the causal-method field as observational regression without a credibility design because the authors explicitly disclaim causal identification."
S1981-38212012000100011,"Democracy, Redistribution, and Equality",Brazilian Political Science Review,2012,47,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article uses quantitative income-distribution data and mentions statistical non-difference by regime, but its own analysis is mostly descriptive and synthetic, while statistical modeling is cited from other work rather than presented as an original article-level method."
S1981-38212012000100053,Empirical Determinants of Government Efficiency: A Study Based on Objective Indicators,Brazilian Political Science Review,2012,49,quantitative_only,statistical_modeling,statistical_modeling_screen,"The Endogeneity issues section mentions instruments and Hausman tests, but the text presents them as diagnostics for possible endogeneity in observational regressions rather than as a full instrumental-variables causal identification design estimating treatment effects. Therefore the article passes the screen but is coded as observational regression with causal or explanatory claims and no credibility-revolution design."
S1981-38212012000100070,Trust and Political Information: Attitudinal Change in Participants in the Youth Parliament in Brazil,Brazilian Political Science Review,2012,50,quantitative_only,statistical_modeling,explicit_causal_design_screen,"The article explicitly invokes quasi-experimental logic and difference in difference, but the body text also states that the data do not allow a direct causal test of whether political information caused increased confidence. This creates ambiguity for the mechanism claim, though not for the presence of a difference-in-difference-style causal design for program effects."
S1981-38212012000100090,Women in Motion: Female Representation in the Rio Grande do Sul State Legislative Assembly,Brazilian Political Science Review,2012,51,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article is clearly descriptive quantitative, but mixed_empirical is a judgment call because the qualitative component is mostly historical-contextual and theoretical rather than a systematic qualitative research design. The newspaper and cultural-historical evidence are nevertheless substantive enough to count as qualitative evidence."
S1981-38212012000100113,Electoral Governance in Brazil,Brazilian Political Science Review,2012,52,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article contains descriptive quantitative figures and references to a graph and table, but these are ancillary to a qualitative legal-institutional argument and do not go beyond descriptive statistics."
S1981-38212012000200001,"Liberalism, Marxism and Democratic Theory Revisited: Proposal of a Joint Index of Political and Economic Democracy",Brazilian Political Science Review,2012,53,quantitative_only,descriptive_statistics_only,descriptive_quantitative_only,"The paper is mainly theoretical and methodological, but Table 1 applies a newly constructed index to real country-level data. That empirical application is enough for quantitative empirical classification, while the theoretical and historical sections are not systematic qualitative empirical analysis."
S1981-38212012000200002,"The Bigger, the Better: Coalitions in the GATT/WTO",Brazilian Political Science Review,2012,54,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article uses causal language and within-case mechanism analysis, but its quantitative analysis is observational Bayesian modeling without a design-based identification strategy; therefore it passes the screen but does not contain a credibility-revolution method."
S1981-38212012000200003,Political Competition and the Diffusion of Conditional Cash Transfers in Brazil,Brazilian Political Science Review,2012,55,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The qualitative component is present but less systematically documented than the quantitative models, and the article uses causal language with Cox and logit models but does not provide a design-based causal identification strategy. I therefore classify it as mixed empirical with observational regression-style causal claims, not as a credibility-revolution method."
S1981-38212012000200004,What is the Best Strategy to Obtain Legislative Support?: Survey Evidence from Brazilian State Assemblies,Brazilian Political Science Review,2012,56,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses explanatory and effect language with multinomial logit, controls, state fixed effects, bootstrap, and confidence intervals, but it does not articulate a design-based causal identification strategy. Therefore it passes the statistical-modeling screen but should not be counted as a credibility-revolution method."
S1981-38212013000100004,Human security paradigms and economic crisis in first year of the North Caucasus Federal District,Brazilian Political Science Review,2013,59,qualitative_only,none,qualitative_only,"The article cites and compares many descriptive numerical indicators, especially violence, unemployment, poverty, GDP, and subsidy figures, but these are used as secondary contextual evidence rather than as an original quantitative analysis or systematic reanalysis."
S1981-38212013000200005,Internet and politics studies in Brazil: mapping the characteristics and disparities of the research field,Brazilian Political Science Review,2013,65,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article's own evidence is presented mainly as descriptive quantitative coding of conference papers, but the coding process required qualitative document reading and classification. I classify it as mixed empirical because the paper uses document/content classification as empirical evidence while reporting the results primarily through descriptive statistics."
S1981-38212013000300002,The institutionalization of Brazilian political thought in the social sciences: wanderley guilherme dos santos' research revisited (1963-1978),Brazilian Political Science Review,2013,67,qualitative_only,none,qualitative_only,"The main ambiguity is whether an intellectual-history essay based on close reading of texts should count as empirical. Under this schema, the article's sustained documentary and interpretive analysis of primary and secondary texts supports classification as qualitative empirical, even though it has no formal methods section or dataset."
S1981-38212013000300005,Foreign policy change in Brazil: comparing Castelo Branco (1964-1967) and Fernando Collor (1990-1992),Brazilian Political Science Review,2013,70,qualitative_only,none,qualitative_only,"The article includes many descriptive numerical indicators, but they are contextual figures drawn from cited sources and not an original or clearly reanalyzed quantitative analysis; therefore they do not meet the prompt's threshold for a quantitative empirical paper."
S1981-38212013000300007,Diffusion of good government: social sector reforms in Brazil,Brazilian Political Science Review,2013,72,none,none,not_empirical,"The article repeatedly describes the reviewed book's survival analysis, regressions, process tracing, interviews, and causal explanations. These are not the review article's own empirical analyses, so they should not be counted for classification."
S1981-38212014000100002,"A study on the impact of campaign finance, political capital and gender on electoral performance",Brazilian Political Science Review,2014,74,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article repeatedly uses impact and effect language, but the empirical strategy is observational logistic regression with controls and interactions, without an explicit design-based causal identification strategy. Therefore it is screened but not classified as using a credibility-revolution method."
S1981-38212014000200008,"Cooperation for Development, Brazilian Regional Leadership and Global Protagonism",Brazilian Political Science Review,2014,78,qualitative_only,none,qualitative_only,"The article contains many descriptive figures and references to tables, but the body text presents them as documentary and secondary descriptive evidence supporting a qualitative case argument rather than as original or reanalyzed quantitative data analysis with a distinct analytic procedure."
S1981-38212014000200070,Flying in Clear Skies: Technical Arguments Influencing ANAC Regulations,Brazilian Political Science Review,2014,81,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article uses content analysis of public-hearing comments and regulatory documents, which is qualitative material, but the substantive empirical presentation is mainly quantitative coding and regression. I classify it as mixed because the authors explicitly conduct content analysis of comment contents to generate the empirical variables, while recognizing that the core analysis is statistical."
S1981-38212014000200094,A Comparative Analysis of Brazil's Foreign Policy Drivers Towards the USA: Comment on Amorim Neto (2011),Brazilian Political Science Review,2014,82,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses causal and explanatory language with panel statistical models and model diagnostics, but it does not articulate a design-based identification strategy. Therefore it is screened for credibility-revolution methods but classified as observational regression with causal claim and no credibility-revolution design."
S1981-38212014000300003,The Three Achilles' Heels of Brazilian Political Science,Brazilian Political Science Review,2014,83,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article combines descriptive quantitative indicators with historical-institutional interpretation. The quantitative component is clearly original descriptive analysis, while the qualitative component is mainly documentary and reconstructive rather than interview- or ethnography-based; this makes mixed_empirical a judgment call, but the body supports it."
S1981-38212014000300098,Beyond Brazilian Coalition Presidentialism: the Appropriation of the Legislative Agenda,Brazilian Political Science Review,2014,86,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article uses fuzzy-set QCA, a configurational set-theoretic method with coded variables and solution algorithms. It is clearly original quantitative/configurational analysis beyond descriptive statistics, but it is not a conventional statistical model and does not report conventional statistical inference or a credibility-revolution identification design."
S1981-38212015000100039,The Institutional Presidency from a Comparative Perspective: Argentina and Brazil since the 1980s,Brazilian Political Science Review,2015,87,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The paper makes explanatory claims and uses statistical modeling, but it does not articulate a design-based causal identification strategy. The appropriate credibility classification is therefore observational regression with causal or explanatory claims but no credibility-revolution method."
S1981-38212015000100093,The 2014 Elections and the Brazilian Party System,Brazilian Political Science Review,2015,89,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article is clearly quantitative under the broad Torreblanca rule because it organizes and compares electoral indicators, but it is also heavily qualitative and explanatory. The key judgment is that its quantitative component remains descriptive only, since the text itself says it does not rigorously test some hypotheses and contains no statistical inference or modeling."
S1981-38212015000100135,The Impacts of Conditional Cash Transfers in Four Presidential Elections (2002&#8211;2014),Brazilian Political Science Review,2015,90,quantitative_only,statistical_modeling,statistical_modeling_screen,"The paper uses matching and generalized propensity score methods and explicitly frames estimates as BFP effects, supporting a credibility-revolution matching classification. However, it also acknowledges that Brazil lacks randomized pilots or sharp discontinuities and that the 2014 indirect-effect explanation is not directly tested, so causal attribution is qualified."
S1981-38212015000200003,"State Transfers, Taxes and Income Inequality in Brazil",Brazilian Political Science Review,2015,91,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses counterfactual wage decomposition, selection models, and explanatory language about the State's contribution to inequality, but it explicitly lacks random assignment and does not provide a design-based causal identification strategy; therefore it is screened but not classified as using a credibility-revolution method."
S1981-38212015000200054,Corruption and Political Participation in the Americas and the Caribbean,Brazilian Political Science Review,2015,93,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses explanatory and effect language and argues that experience with corruption may indicate a relationship rather than a mere association, but the empirical strategy is observational logistic regression with controls, interactions, and country fixed effects, without an explicit credibility-revolution identification design or identification assumptions."
S1981-38212015000200081,Does the Electoral Rule Matter for Political Polarization? The Case of Brazilian Legislative Chambers,Brazilian Political Science Review,2015,94,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses explicit treatment/control and identification language, but the empirical strategy is an observational comparison using WNOMINATE ideal points and t-tests, with acknowledged selection issues and no listed credibility-revolution design or explicit modern causal identification method."
S1981-38212015000300003,Impact of Electronic Voting Machines on Blank Votes and Null Votes in Brazilian Elections in 1998,Brazilian Political Science Review,2015,95,mixed_empirical,statistical_modeling,explicit_causal_design_screen,"The article explicitly uses difference-in-differences as a causal design, but presents the results as average percentage-point differences without regression output or uncertainty estimates. I therefore classify it as statistical modeling for the quantitative-analysis type because of the explicit DiD design, while coding statistical inference as absent."
S1981-38212015000300042,The Capital Mistake: Local Information and National Electoral Reforms,Brazilian Political Science Review,2015,96,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The article uses causal and explanatory language and includes fixed effects and robustness checks, but the empirical strategy is observational regression without a clearly articulated credibility-revolution identification design. I therefore screen it because it uses statistical modeling, but classify the credibility-revolution method as absent."
S1981-38212015000300064,Reversing Polarities: Anarchical (Failed) States versus International Progress,Brazilian Political Science Review,2015,97,qualitative_only,none,qualitative_only,"The article is not empirical in a positivist sense and has no explicit corpus or coding procedure, but the prompt treats discourse analysis and documents as qualitative empirical evidence, and the article's own method is close textual analysis of a body of literature."
S1981-38212015000300088,Assessing some measures of online deliberation,Brazilian Political Science Review,2015,98,none,none,not_empirical,"The article repeatedly discusses empirical methods and briefly mentions the author's own empirical work, but it does not present the empirical analysis itself. The central judgment is to distinguish methodological review from original empirical evidence."
S1981-38212015000300116,Enlarging the Playing Field: Political Circulation of Brazilian Senators in the First Republic,Brazilian Political Science Review,2015,99,mixed_empirical,bivariate_tests_or_correlations_only,bivariate_or_correlation_screen,"The paper clearly contains original quantitative analysis, but the boundary between descriptive statistics only and bivariate tests is somewhat ambiguous because the body text reports standardized residuals and significant residuals without showing the underlying test details. I classify it as bivariate because standardized residuals are used analytically to assess association between periods and career categories."
S1981-38212016000100201,Modernization Without Change: Decision-Making Process in the Mercosur Parliament,Brazilian Political Science Review,2016,100,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The Banzhaf index is a deterministic game-theoretic voting-power calculation rather than conventional regression or inferential statistics. It goes beyond descriptive statistics, so it is classified under statistical_modeling as the closest available schema category, but it is not statistical inference or a credibility-revolution causal method."
S1981-38212016000100202,Elite Framing of Inequality in the Press: Brazil and Uruguay Compared,Brazilian Political Science Review,2016,101,mixed_empirical,bivariate_tests_or_correlations_only,bivariate_or_correlation_screen,"Most substantive quantitative analysis is descriptive content-analysis evidence, but the Coding section reports Cohen's Kappa with a p-value for original coding reliability; therefore the article is coded as bivariate_tests_or_correlations_only rather than descriptive_statistics_only."
S1981-38212016000100203,Emerging Powers and the Notion of International Responsibility: moral duty or shifting goalpost?,Brazilian Political Science Review,2016,102,qualitative_only,none,qualitative_only,"The article is heavily conceptual, but it also contains a substantive qualitative case discussion of Brazil's diplomatic engagement with intervention norms. I classify it as empirical qualitative because that case analysis uses policy documents and diplomatic debates as evidence rather than serving only as abstract theory."
S1981-38212016000100205,"U.S. International Agricultural Trade Policy: Interests, Institutions and Information in the Corn Supply Chain",Brazilian Political Science Review,2016,104,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article includes many numbers and contribution/vote counts, and these appear to be part of the authors' empirical reconstruction rather than merely background statistics. However, all quantitative use is descriptive, with no statistical tests or modeling, while the core explanatory evidence remains qualitative."
S1981-38212016000100206,The Stratification of Diversity: Measuring the Hierarchy of Brazilian Political Science,Brazilian Political Science Review,2016,105,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article combines interpretive content coding with quantitative descriptive indicators. It makes explanatory claims about stratification, but the quantitative analysis is limited to constructed indices, percentages, rankings, and descriptive comparisons without statistical inference or design-based causal identification."
S1981-38212016000100207,Japanese International Relations: an assessment of the 1971-2011 period,Brazilian Political Science Review,2016,106,qualitative_only,none,qualitative_only,"The article repeatedly mentions empirical data and includes contextual quantitative indicators from cited sources, but it does not present its own or reanalyzed quantitative analysis; therefore these references do not satisfy the quantitative classification rule."
S1981-38212016000200203,Brazilian Political Institutions: an Inconclusive Debate,Brazilian Political Science Review,2016,109,none,none,not_empirical,"The article makes many explanatory claims and discusses empirical studies by other authors, but it does not present original empirical evidence or reanalysis. The classification therefore treats it as non-empirical despite its substantive engagement with empirical literature."
S1981-38212016000200204,Does Size Matter? Electoral Performance of Small Parties in Brazil,Brazilian Political Science Review,2016,110,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article repeatedly uses effect language and statistical tests, but it does not articulate a design-based causal identification strategy. Cluster analysis and observational comparisons justify `statistical_modeling`, while the credibility-revolution method should not be counted as present."
S1981-38212016000200206,Unboxing the Active Role of the Legislative Power in Brazil,Brazilian Political Science Review,2016,112,mixed_empirical,bivariate_tests_or_correlations_only,bivariate_or_correlation_screen,"The main judgment concerns empirical evidence type: the article's results are predominantly quantitative summaries of coded provisions, but the coding itself depends on substantive legal-document analysis of bills, amendments, substitute bills, and vetoes. I classify it as mixed empirical because that documentary coding is integral to the empirical evidence, while noting that the reported analysis is mostly quantitative."
S1981-38212016000300201,Oversized Government Coalitions in Latin America,Brazilian Political Science Review,2016,114,quantitative_only,statistical_modeling,statistical_modeling_screen,"The paper uses explanatory language and panel-style observational models with temporal controls, lags, fixed effects, mixed effects, and clustered standard errors, but it does not articulate a design-based identification strategy. Therefore it should be screened but not counted as a credibility-revolution method."
S1981-38212016000300203,"Personality, Political Attitudes and Participation in Protests: The Direct and Mediated Effects of Psychological Factors on Political Activism",Brazilian Political Science Review,2016,116,quantitative_only,statistical_modeling,statistical_modeling_screen,"The paper repeatedly uses causal and mediation language, but the empirical strategy is observational regression-based mediation without an explicit design-based identification strategy or assumptions such as randomization, ignorability, DiD, IV, RDD, or matching. It should therefore be screened but not coded as a credibility-revolution method."
S1981-38212016000300204,Corporate Dependence in Brazil's 2010 Elections for Federal Deputy,Brazilian Political Science Review,2016,117,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article has explanatory hypotheses and a multivariate model, so it should be screened, but it does not articulate a design-based causal identification strategy; the proper classification is observational regression with causal/explanatory claims but no credibility-revolution method."
S1981-38212016000300206,Foreign aid and the governance of international financial organizations: the Brazilian-bloc case in the IMF and the World Bank,Brazilian Political Science Review,2016,119,quantitative_only,statistical_modeling,statistical_modeling_screen,"The article uses causal language such as impact and influence and interprets OLS coefficients as effects, but the empirical design is observational cross-sectional regression with controls and no explicit design-based identification strategy. Therefore it is screened but not counted as a credibility-revolution method."
S1981-38212017000100201,"National Intelligence Systems as Networks: Power Distribution and Organizational Risk in Brazil, Russia, India, China, and South Africa",Brazilian Political Science Review,2017,121,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The quantitative analysis consists of network construction and centrality or centralization metrics rather than regression or inferential modeling. Because the schema treats network models as statistical modeling and the article analytically models intelligence systems as networks, it is classified as statistical_modeling, with no statistical inference and no credibility-revolution causal design."
S1981-38212017000100203,Germany and Greece in the Eurozone Crisis from the Viewpoint of the Neo-Neo Debate,Brazilian Political Science Review,2017,123,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article is heavily theoretical and literature-based, but it also contains the authors' own descriptive comparisons of Eurostat indicators in figures and text. I therefore classify it as mixed empirical with descriptive quantitative analysis, not as a purely theoretical essay and not as inferential quantitative work."
S1981-38212017000100204,"Business, Government and Foreign Policy: Brazilian Construction Firms Abroad",Brazilian Political Science Review,2017,124,mixed_empirical,descriptive_statistics_only,descriptive_quantitative_only,"The article self-describes as qualitative, but the main empirical section also reports descriptive graphs, figures, tables, and database cross-referencing produced or reanalyzed by the authors. These support a broad Torreblanca quantitative classification, but only as descriptive statistics, not statistical modeling or inference."
S1981-38212017000100401,The Genesis of Participatory Democracy in Brazil: a Scientific (Re)Construction,Brazilian Political Science Review,2017,125,none,none,not_empirical,"The article presents historical examples and interpretive evidence from prior studies, especially about participation under the military regime, but it identifies itself as a review essay and does not present an original empirical research design, dataset, fieldwork, archive, or systematic qualitative analysis. I therefore classify it as non-empirical for this schema, while noting that it contains substantive historical discussion."
S1981-38212017000200201,Leaders or Loners? How Do the BRICS Countries and their Regions Vote in the UN General Assembly,Brazilian Political Science Review,2017,126,quantitative_only,bivariate_tests_or_correlations_only,bivariate_or_correlation_screen,"The article uses causal/explanatory language such as whether regional-power status generates cohesion, but the empirical strategy is ANOVA and affinity comparisons without a design-based causal identification strategy. The country-background sections are substantive but are literature-based framing rather than original qualitative evidence."
S1981-38212017000200204,Coalition Presidentialism in Bicameral Congresses: How does the Control of a Bicameral Majority Affect Coalition Survival?,Brazilian Political Science Review,2017,129,quantitative_only,statistical_modeling,causal_claim_with_quantitative_analysis_screen,"The central classification ambiguity is that mvQCA is a formal configurational, set-theoretic method rather than conventional statistical modeling. Because the article uses coded variables, truth tables, necessity and sufficiency tests, minimization, formulas, coverage, and software-based analysis to test hypotheses, it is classified as quantitative analysis beyond descriptive statistics, with no statistical inference and no credibility-revolution identification design."
S1981-38212017000200205,"Accountability, Corruption and Local Government: Mapping the Control Steps",Brazilian Political Science Review,2017,130,mixed_empirical,statistical_modeling,statistical_modeling_screen,"The Lottery Program randomly selects municipalities and the article uses explanatory language, logistic regressions, and survival analysis, but the random audit selection is not used as a causal identification design and no credibility-revolution method or identification assumption is presented."
