pid,title,year,issn,journal_title,document_type,language,attempt_count,last_source_method,last_source_url,last_status,last_reason,failure_methods,retry_status,run_timestamp
S0011-52582008000200001,Maria D'Alva Gil Kinzo,2008,0011-5258,Dados,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/dados/a/TKvDJTCFwW4FC4hQtsnxXNC/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | citation_xml_body:invalid:too_short_for_body;too_few_body_blocks | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0101-33002011000100014,,2011,1980-5403,Novos estudos CEBRAP,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/nec/a/bQ7SDMFz3JnvpKwQBt66SxL/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0102-64452006000100001,Apresentação,2006,1807-0175,Lua Nova: Revista de Cultura e Política,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/ln/a/Tf7zfxg4NVKx3zvWW9mr35Q/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0102-64452006000300001,Apresentação,2006,1807-0175,Lua Nova: Revista de Cultura e Política,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/ln/a/DBFkD4LDPXt7dbqW5ZwxMvg/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0102-64452006000400001,Apresentação,2006,1807-0175,Lua Nova: Revista de Cultura e Política,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/ln/a/yKCtmRGRx7kFFhZjsBdTJbJ/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0102-64452008000200001,Apresentação,2008,1807-0175,Lua Nova: Revista de Cultura e Política,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/ln/a/Gp43kKBYRWkS9XdY9mrwqPp/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0102-64452008000300001,Apresentação,2008,0102-6445,Lua Nova: Revista de Cultura e Política,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/ln/a/wJPQb5f7GHtP874NkSr7gXb/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0102-64452009000100001,Apresentação,2009,1807-0175,Lua Nova: Revista de Cultura e Política,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/ln/a/sCjzCYpb7vqPH89STVyYqFg/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0102-64452009000100008,Errata,2009,0102-6445,Lua Nova: Revista de Cultura e Política,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/ln/a/xKtrdFbv96P3QrnwfsCZmJm/?lang=pt&format=pdf,invalid,too_short_for_body;too_few_body_blocks,articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | citation_xml_body:invalid:too_short_for_body;too_few_body_blocks | pdf_text_extraction:invalid:too_short_for_body;too_few_body_blocks | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0102-64452009000300002,Para Gildo Marçal Bezerra Brandão (1949-2010),2009,0102-6445,Lua Nova: Revista de Cultura e Política,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/ln/a/CWbhqDvRjzS7Rz75CdwbtmK/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | citation_xml_body:invalid:too_short_for_body;too_few_body_blocks | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0102-64452011000300001,Apresentação,2011,1807-0175,Lua Nova: Revista de Cultura e Política,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/ln/a/9YRYdzX4NggWnMrc8f5w8Yr/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0102-69092007000100001,Eduardo Kugelmas,2007,0102-6909,Revista Brasileira de Ciências Sociais,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rbcsoc/a/448CXHkrBbrvmZfjdmn7Qjd/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0102-69092009000100010,Crítica,2009,0102-6909,Revista Brasileira de Ciências Sociais,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rbcsoc/a/thbZfpq6nMvnVN63fR3dsJR/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | articlemeta_fulltexts_html:invalid:too_short_for_body;too_few_body_blocks | citation_xml_body:invalid:too_short_for_body;too_few_body_blocks | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
S0102-69092009000100019,Errata,2009,0102-6909,Revista Brasileira de Ciências Sociais,research-article,pt,6,pdf_text_extraction,https://www.scielo.br/j/rbcsoc/a/dMHJh3cPfVThH6srwDgqvNM/?lang=pt&format=pdf,invalid,too_short_for_body,articlemeta_fulltexts_html:invalid:too_short_for_body | articlemeta_fulltexts_html:invalid:too_short_for_body | citation_xml_body:invalid:too_short_for_body | pdf_text_extraction:invalid:too_short_for_body | pdf_text_extraction:skipped:offline_no_cache | pdf_text_extraction:skipped:offline_no_cache,pending,20260604T012335Z
