pid,title,title_en,authors,year,issn,journal_title,doi,document_type,language,source_method,source_url,input_hash,retrieved_at,body_char_count,body_word_count,abstract_char_count_expected,reference_tail_ratio,present_in_processed,pid_is_unique_in_processed,body_text_nonempty,source_provenance_ok,body_block_count,body_minimum_size_ok,body_has_min_blocks,body_substantially_larger_than_abstract,references_not_majority,body_not_frontmatter,validation_status,suspect_flags,nonblocking_flags
S0011-52582018000200463,O Seguro Social e a Construção da Proteção do Trabalho no Brasil,Social Security and the Construction of Labor Protection in Brazil,Arnaldo Provasi Lanzara,2018,1678-4588,Dados,10.1590/001152582018158,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582018000200463&tlng=pt,b306e54d35a283e47e7b6f1493376509a555a8d150835b458a84d23af60524ca,2026-06-03T23:06:04Z,74250,11089,1087,0,TRUE,TRUE,TRUE,TRUE,121,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,Between Deinstitutionalization and Resilience: Institutional Participation in the Bolsonaro Administration,Carla de Paiva Bezerra; Debora Rezende de Almeida; Adrian Gurza Lavalle; Monika Dowbor,2024,1678-4588,Dados,10.1590/DADOS.2024.67.4.339,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582024000400209&tlng=pt,c3c0117b00d3bf9703be353602d7de1f37ca3ce2d3175338c352fd6ba6ab1776,2026-06-03T23:06:04Z,90632,13321,1270,0,TRUE,TRUE,TRUE,TRUE,118,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0011-52582025000400220,O Jovem Claude Lefort entre Socialismo e Democracia: Uma Leitura Sociológica*,The Young Claude Lefort between Socialism and Democracy: A Sociological Reading,Fabio Mascaro Querido,2025,0011-5258,Dados,10.1590/DADOS.2025.68.4.397,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000400220&tlng=pt,21e8e2c654ae3d1c827fa9176cf8a2190245abc39a727e3f0e71c1d1dacffc2d,2026-06-03T23:06:04Z,77291,12206,941,0,TRUE,TRUE,TRUE,TRUE,105,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0011-52582025000400228,"José Maria Ibiapina, um Ultramontano Heterodoxo?*","José Maria Ibiapina, a Heterodox Ultramontane?",Helga Gahyva,2025,1678-4588,Dados,10.1590/DADOS.2025.68.4.400,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000400228&tlng=pt,320a3688842db44f501d80937dd2595a7c1cec24d306b7a28d062b81bb5c7649,2026-06-03T23:06:04Z,45398,6740,898,0,TRUE,TRUE,TRUE,TRUE,89,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292005000200008,O Brasil e o Conselho de Segurança da Organização das Nações Unidas: dos anos 90 a 2002,Brazil and the UN: struggle for a Role in the Security Council (From the Nineties to the Present Day),Virgílio Caixeta Arraes,2005,1983-3121,Revista Brasileira de Política Internacional,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292005000200008&tlng=pt,16c5e2c32f8fc83e39275b8749030259a881945151adcc09369e929b431987c4,2026-06-03T23:06:04Z,34798,5434,375,0,TRUE,TRUE,TRUE,TRUE,37,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292008000100004,Aspectos da integração regional em defesa no Cone Sul,Aspects of regional integration on defense in South Cone,Suzeley Kalil Mathias; André Cavaller Guzzi; Renata Avelar Giannini,2008,1983-3121,Revista Brasileira de Política Internacional,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292008000100004&tlng=pt,87516c9863813c1ed610bfa218a4495494015d648fa29f391cd41fa11d68cc61,2026-06-03T23:06:04Z,41637,6517,495,0,TRUE,TRUE,TRUE,TRUE,68,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292009000100001,La Argentina y el Plan Marshall: promesas y realidades,Argentina and the Marshall Plan: promises and realities,Mario Rapoport; Claudio Spiguel,2009,1983-3121,Revista Brasileira de Política Internacional,NA,research-article,es,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292009000100001&tlng=es,83120919ad1500bc2d231fa7e371ec780d87d037a97ea35ad9ec024b5d47c764,2026-06-03T23:06:04Z,61637,9450,523,0,TRUE,TRUE,TRUE,TRUE,92,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292009000100007,Ordem e Justiça na sociedade internacional pós-11 de Setembro,Order and Justice in the international society after September 11,Emerson Maione de Souza,2009,0034-7329,Revista Brasileira de Política Internacional,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292009000100007&tlng=pt,81f183242176fea045b7f5fc302f0d90c3a3b6ab71a0f35ac29123c5c904e1a3,2026-06-03T23:06:04Z,33754,5255,632,0,TRUE,TRUE,TRUE,TRUE,49,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292010000300011,Parceria global emergente: Brasil e China,Emerging global partnership: Brazil and China,Niu Haibin,2010,1983-3121,Revista Brasileira de Política Internacional,NA,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292010000300011&tlng=en,814fd29f92bba9af0e0b0adce6e6ccfaa26c454b63b588d2385ab19469205d94,2026-06-03T23:06:04Z,25791,3981,466,0,TRUE,TRUE,TRUE,TRUE,31,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292011000200008,Brasil y la región: una potencia emergente y la integración regional sudamericana,Brazil and the region: an emergent power and the South-American regional integration,Sergio Caballero Santos,2011,1983-3121,Revista Brasileira de Política Internacional,NA,research-article,es,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292011000200008&tlng=es,eca8f82a215d7434796f480fffaaae28e02e962eaec8aa05ac5144ad342cfe58,2026-06-03T23:06:04Z,31195,4919,366,0,TRUE,TRUE,TRUE,TRUE,34,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292012000100003,Ascenso y hegemonía: pensando a las potencias emergentes desde América del Sur,Rise and hegemony: some observations on emerging powers from a South American perspective,Luis L. Schenoni,2012,1983-3121,Revista Brasileira de Política Internacional,NA,research-article,es,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292012000100003&tlng=es,68ebff45378e5bcf8359578ad044f654bacf3a3007f7b4fd74b1081388d3fb43,2026-06-03T23:06:04Z,35026,5371,813,0,TRUE,TRUE,TRUE,TRUE,62,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292012000300007,Dilema de escolha: a resposta chinesa à mudança climática,Dilemma of choice: China's response to climate change,Ming-Te Hung; Tung-Chieh Tsai,2012,0034-7329,Revista Brasileira de Política Internacional,NA,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292012000300007&tlng=en,8ea60f66259d9e67bddee7f958075f3965ce47e7e0abcf1391a778ad3575ec39,2026-06-03T23:06:04Z,44744,6781,369,0,TRUE,TRUE,TRUE,TRUE,71,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292017000100203,Brazilian Foreign Policy Towards Internet Governance,Brazilian Foreign Policy Towards Internet Governance,Maurício Santoro; Bruno Borges,2017,1983-3121,Revista Brasileira de Política Internacional,10.1590/0034-7329201600111,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292017000100203&tlng=en,5a2c008a3c065534421bb9f713ea8cb320d89ef93d1e8414ccfaf394c74bbed4,2026-06-03T23:06:04Z,38429,6095,539,0,TRUE,TRUE,TRUE,TRUE,76,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292017000100218,Clashing frames: human rights and foreign policy in the Brazilian re-democratization process,Clashing frames: human rights and foreign policy in the Brazilian re-democratization process,João Henrique Roriz,2017,1983-3121,Revista Brasileira de Política Internacional,10.1590/0034-73292017001020,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292017000100218&tlng=en,98465df3083d7c78db7b90ad33770cef27a28bb9915b98ad3594bc404137b090,2026-06-03T23:06:04Z,37661,5899,376,0,TRUE,TRUE,TRUE,TRUE,44,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292017000200207,Explaining Defense Cooperation With Process-tracing: the Brazilian Proposal for the Creation of UNASUR South American Defense Council,Explaining Defense Cooperation With Process-tracing: the Brazilian Proposal for the Creation of UNASUR South American Defense Council,Augusto W. M. Teixeira Júnior; Antonio Henrique Lucena Silva,2017,1983-3121,Revista Brasileira de Política Internacional,10.1590/0034-7329201700209,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292017000200207&tlng=en,d98e726986e6c5cfa1a667a5a76d7e4cde0725b0c19f80d08169aa6d5f9ad461,2026-06-03T23:06:04Z,38730,5942,509,0,TRUE,TRUE,TRUE,TRUE,65,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292017000200208,The Brazilian participation in UNIFIL: raising Brazil&#8217;s profile in international peace and security in the Middle East?,The Brazilian participation in UNIFIL: raising Brazil&#8217;s profile in international peace and security in the Middle East?,Antonio Ruy Almeida Silva; Carlos Chagas Vianna Braga; Danilo Marcondes,2017,1983-3121,Revista Brasileira de Política Internacional,10.1590/0034-7329201700211,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292017000200208&tlng=en,603763f24de69bc26168d54f255f03f7283d75c5c30e268ca2363ddef6f33f40,2026-06-03T23:06:04Z,37416,5784,603,0,TRUE,TRUE,TRUE,TRUE,52,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292021000200208,What doesn&#8217;t kill a norm makes it stronger? Brazil&#8217;s contestation of the responsibility to protect,What doesn&#8217;t kill a norm makes it stronger? Brazil&#8217;s contestation of the responsibility to protect,Francisca Costa Reis,2021,1983-3121,Revista Brasileira de Política Internacional,10.1590/0034-7329202100208,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292021000200208&tlng=en,c4001840184995d015c7d8f6cf3b7e2edc5a471326caf9143e5e13392bcf3ce4,2026-06-03T23:06:05Z,41667,6375,440,0,TRUE,TRUE,TRUE,TRUE,43,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292022000100205,The space left for regional integration (or lack thereof): Structural causes of institutional fragmentation in Latin America (1991-2019),The space left for regional integration (or lack thereof): Structural causes of institutional fragmentation in Latin America (1991-2019),Julio Cesar Cossio Rodriguez; Valentina Tâmara Haag,2022,0034-7329,Revista Brasileira de Política Internacional,10.1590/0034-7329202200111,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292022000100205&tlng=en,fa6b3ef9d0877e6d5147e6cf1de0ee9c2f2cf999b0614d40c79e51ca54f6f9ed,2026-06-03T23:06:05Z,46917,7148,927,0,TRUE,TRUE,TRUE,TRUE,76,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292023000200502,Mercosur and Environment: progress in promoting the Sustainable Development Goals and the 2030 Agenda,Mercosur and Environment: progress in promoting the Sustainable Development Goals and the 2030 Agenda,Regiane Nitsch Bressan; Tatiana de Souza Leite Garcia,2023,1983-3121,Revista Brasileira de Política Internacional,10.1590/0034-7329202300217,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292023000200502&tlng=en,ba9693e553bc98d1aaf699c6ece0ad1b4fcf15199921d32126c611100282ceb6,2026-06-03T23:06:05Z,50695,7534,829,0,TRUE,TRUE,TRUE,TRUE,80,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-73292025000200604,Impact of China&#8211;Latin America Transportation Infrastructure Cooperation on Latin American Economies: A Project Data Study (2009&#8211;2023),Impact of China&#8211;Latin America Transportation Infrastructure Cooperation on Latin American Economies: A Project Data Study (2009&#8211;2023),Cao Ting,2025,0034-7329,Revista Brasileira de Política Internacional,10.1590/0034-7329202500220,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292025000200604&tlng=en,9116c4af96269aad36cafae37f5467a4a1b526956227ccc189425ec28527ebf2,2026-06-03T23:06:05Z,50333,7093,916,0,TRUE,TRUE,TRUE,TRUE,74,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-76122006000100004,Articulação de políticas públicas a partir dos fóruns de competitividade setoriais: a experiência recente da cadeia produtiva têxtil e de confecções,Sectorial competitiveness forums and public policy articulation: the recent experience of the textile and garment production chain,Samuel A. Antero,2006,1982-3134,Revista de Administração Pública,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122006000100004&tlng=pt,874b250c246853c8cb838321588a721c564a37bc32410c6a70d48a880441a5f4,2026-06-03T23:06:05Z,42838,6463,1091,0,TRUE,TRUE,TRUE,TRUE,134,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-76122009000100006,Redes de C&T em institutos públicos de pesquisa brasileiros: o caso do Instituto Agronômico do Paraná (Iapar),S&T networks in Brazilian public research institutes: the case of the Agronomic Institute of Paraná (Iapar),Priscilla Borgonhoni Chagas; Elisa Yoshie Ichikawa,2009,1982-3134,Revista de Administração Pública,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122009000100006&tlng=pt,c45edb8393e145726983600e48131abe57d8f21bf6017725b04b182ec1f16f50,2026-06-03T23:06:05Z,65478,10037,1195,0,TRUE,TRUE,TRUE,TRUE,125,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-76122009000300003,Exames de mamografia em Mato Grosso do Sul: análise da cobertura como componente de equidade,Mammograms in Mato Grosso do Sul: an analysis of coverage as an equity factor,Emiliana Akiko Kohatsu; Ana Rita Barbieri; Virginia Alonso Hortale,2009,0034-7612,Revista de Administração Pública,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122009000300003&tlng=pt,3d45a2ef8136d8eed3d1e318f0d5595f3dcd173b8fcb44563ff0db367ab3ad03,2026-06-03T23:06:05Z,24307,3872,1077,0,TRUE,TRUE,TRUE,TRUE,54,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-76122009000600006,Accountability: já podemos traduzi-la para o português?,Accountability: can we now translate it into Portuguese?,José Antonio Gomes de Pinho; Ana Rita Silva Sacramento,2009,0034-7612,Revista de Administração Pública,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122009000600006&tlng=pt,1b2816aaf166ceb6fb57940a24bc1c202bd0e348f8915a06e1e60c3a7edee6f0,2026-06-03T23:06:05Z,55276,8319,1184,0,TRUE,TRUE,TRUE,TRUE,69,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-76122011000400011,A unidade dos contrários: fordismo e pós-fordismo,The unity of oposites: fordism and post-fordism,Fernando G. Tenório,2011,0034-7612,Revista de Administração Pública,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122011000400011&tlng=pt,4045851fdb04f6f826fdda70bff90f13f42b714085ff2fd625a99997ba41dbe3,2026-06-03T23:06:05Z,50018,7577,1132,0,TRUE,TRUE,TRUE,TRUE,103,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,Legitimacy of civil society organizations: content analysis in the light of the critical capacity theory,Morgana G. Martins Krieger; Carolina Andion,2014,1982-3134,Revista de Administração Pública,NA,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122014000100004&tlng=pt,b71b7ec605988b721ecb8903d49ce75166f4b1781a13bccb7241d0a6b3d4e26a,2026-06-03T23:06:05Z,49481,7601,1203,0,TRUE,TRUE,TRUE,TRUE,113,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-76122014000500011,Dificuldades e perspectivas no acesso de micro e pequenas empresas a linhas de crédito públicas: o caso de Chapecó,Difficulties and perspectives in the access of micro and small enterprises to public lines of credit: the case of Chapecó,Vanessa Cristina Grabowski Aoki; Rosana Maria Badalotti,2014,0034-7612,Revista de Administração Pública,10.1590/0034-76121310,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122014000500011&tlng=pt,041016d752dd75380cf01cae385b8ba5dda71d80368bcc2cd25ec71fc8b38e45,2026-06-03T23:06:05Z,54538,8340,850,0,TRUE,TRUE,TRUE,TRUE,140,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-76122014000600003,Problema da falta de vagas em creches: matriz de loops e a priorização de causas de problemas complexos,The problem of insufficient capacity in daycare: loop matrices and the priorization of complex problems' causes,José Osvaldo De Sordi; Reed Elliot Nelson; Pedro Reis Galindo,2014,0034-7612,Revista de Administração Pública,10.1590/0034-76121655,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122014000600003&tlng=pt,3f1684e862421b1dcc0d837a170dfc8883d445939d5ae302959d025af2911d10,2026-06-03T23:06:05Z,42836,6551,1067,0,TRUE,TRUE,TRUE,TRUE,73,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-76122015000300563,"A configuração institucional da política de esporte no Brasil: organização, evolução e dilemas","The institutional configuration of sport policy in Brazil: organization, evolution and dilemmas",Alessandra Mendes; Adriano Codato,2015,1982-3134,Revista de Administração Pública,10.1590/0034-7612125903,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122015000300563&tlng=en,1facc1d90f60ac23a7a2ec7b3899ac7ceab19baaf789cabf16fd9d64d38a42c7,2026-06-03T23:06:05Z,53714,8468,2070,0,TRUE,TRUE,TRUE,TRUE,97,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-76122016000500745,A auditoria de custos e preços: eficácia nos serviços contratantes de defesa na Espanha,Cost and price auditing: effectiveness in the procurement of defense services in Spain,José Aguado Romero; Antonio M. López Hernández,2016,1982-3134,Revista de Administração Pública,10.1590/0034-7612152005,research-article,en,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122016000500745&tlng=en,1352f5825f633eb25b3ef4d22528f233bbd84072b7804ab4087a61b5eacc91f4,2026-06-03T23:06:05Z,37047,5892,940,0,TRUE,TRUE,TRUE,TRUE,95,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-76122016000600959,"Análise de políticas públicas no Brasil: de uma prática não nomeada à institucionalização do ""campo de públicas""","An analysis of public policies in Brazil: from an unnamed practice to the institutionalization of the ""public field""",Marta Ferreira Santos Farah,2016,0034-7612,Revista de Administração Pública,10.1590/0034-7612150981,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122016000600959&tlng=pt,267ee49216032bd79cacd09fcb05b1697f6994125f413f3816938e33159e6a9e,2026-06-03T23:06:05Z,41723,6186,1083,0,TRUE,TRUE,TRUE,TRUE,63,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-76122017000500879,Determinantes para o cumprimento de prazo e preço em obras da educação: uma análise nos municípios capixabas,Determinants for compliance with budget and deadline in constructions for education purposes: an analisys of cities in Espírito Santo,Clarissa Vassem Campos; Fábio Moraes da Costa,2017,0034-7612,Revista de Administração Pública,10.1590/0034-7612166302,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122017000500879&tlng=pt,50d7a49172f14e504855d962c10a441650dc23104f6f0e856bc5a1ca1a872437,2026-06-03T23:06:05Z,37518,5857,911,0,TRUE,TRUE,TRUE,TRUE,139,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
S0034-76122020000100181,"Ecossistema de inovação social, sustentabilidade e experimentação democrática: um estudo em Florianópolis","Social innovation ecosystems, sustainability, and democratic experimentation: a study in Florianopolis, Brazil",Carolina Andion; Graziela Dias Alperstedt; Júlia Furlanetto Graeff,2020,1982-3134,Revista de Administração Pública,10.1590/0034-761220180418,research-article,pt,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122020000100181&tlng=pt,e20cd9d9a382e0a9cde1199a8e29d48a0b860252a3fc7c08974ed9eb776d650b,2026-06-03T23:06:05Z,46969,6917,1104,0,TRUE,TRUE,TRUE,TRUE,82,TRUE,TRUE,TRUE,TRUE,TRUE,PASS,,
