pid,title,journal_title,empirical_evidence_type,quantitative_analysis_type,tough_call_reason
S2236-57102025000101006,GOVERNO ABERTO EM ÂMBITO MUNICIPAL: O CASO DOS OBSERVATÓRIOS DE POLÍTICAS PÚBLICAS,Cadernos Gestão Pública e Cidadania,mixed_empirical,descriptive_statistics_only,"The article explicitly calls its approach qualitative, but it also reports original descriptive counts from a structured comparison of 13 municipalities and the Guarulhos case. I classify it as mixed empirical with descriptive quantitative analysis only, while recognizing that the quantitative component is limited and not inferential."
S2236-57102025000101611,"MOVIMENTOS SOCIAIS, PROTESTOS E PARTICIPAÇÃO SOCIAL EM TEMPOS DE PANDEMIA: NAS RUAS, NAS REDES, NOS TERRITÓRIOS E NAS INSTITUIÇÕES",Cadernos Gestão Pública e Cidadania,none,none,"O artigo menciona métodos e achados empíricos de vários artigos do Fórum, mas a leitura integral indica que essas evidências não são análise própria do texto classificado."
S2236-57102025000101606,"TRABALHADORES, DIREITA, VÍTIMAS DA VIOLÊNCIA E DA COVID-19: QUEM PROTESTOU DURANTE A PANDEMIA NO BRASIL?",Cadernos Gestão Pública e Cidadania,quantitative_only,descriptive_statistics_only,"O artigo contém interpretações explicativas sobre a pandemia como contexto turbulento e usa literatura qualitativa secundária, mas a evidência própria apresentada no corpo do artigo é essencialmente a contagem e categorização descritiva de eventos de protesto, sem evidência qualitativa própria sistemática."
S0102-85292014000100008,A institucionalização de blocos de integração: uma proposta de critérios de medição,Contexto Internacional,mixed_empirical,descriptive_statistics_only,"O artigo é em parte uma proposta conceitual/metodológica, mas a aplicação empírica aos quatro blocos com indicadores e quadros é substantiva o suficiente para classificá-lo como empírico misto. A presença de explicações pontuais não vem acompanhada de desenho causal quantitativo."
S0102-85292013000200009,BRICS: an explanation in critical geography,Contexto Internacional,qualitative_only,none,"The article is heavily conceptual and literature-based, but it also applies the concepts to substantive qualitative evidence about BRICS, official declarations, geopolitical positioning, and Brazil's trajectory. This makes empirical classification a judgment call."
S0102-85292015000300851,Benjamin Cohen on global political order: when Keynes meets realism - and beyond,Contexto Internacional,none,none,"The article performs close textual interpretation of Cohen's writings and makes explanatory claims about the evolution of his thought, but this is best read as conceptual/theoretical reconstruction rather than empirical qualitative research under the prompt's exclusion of conceptual essays and literature reviews without original empirical analysis."
S0102-85292023000100200,"Hegemonia, criação de consenso e colonização pedagógica: Novas formas de ingerência externa?",Contexto Internacional,mixed_empirical,descriptive_statistics_only,"The article is framed as a theoretical critical intervention, but it explicitly uses primary organizational documents and descriptive counts/figures about Atlas. The quantitative component is limited and descriptive, so the difficult decision is whether to count it as Torreblanca-style quantitative evidence; the references to a table, graph, counts, and monetary totals support counting it as descriptive quantitative analysis."
S0102-85292008000100002,Modelo de mudanças climáticas com gastos públicos,Contexto Internacional,mixed_empirical,descriptive_statistics_only,"A decisão central é distinguir a modelagem formal e os argumentos causais conceituais da análise quantitativa empírica. O artigo tem equações e linguagem causal, mas a única análise quantitativa própria é descritiva; além disso, o componente qualitativo/documental é substantivo, embora secundário em relação ao argumento formal e ao caso orçamentário brasileiro."
S0102-85292005000100003,O novo regionalismo econômico asiático,Contexto Internacional,mixed_empirical,descriptive_statistics_only,"A classificação quantitativa é uma decisão relativamente difícil porque as tabelas não aparecem integralmente no corpo fornecido, mas o texto as discute explicitamente como tabelas próprias do artigo sobre direção das exportações e exportações intra-área. Por isso, a evidência sustenta análise quantitativa descritiva, mas não inferência estatística."
S0102-85292017000300569,"Paradiplomacia, Políticas de Segurança e Redes de Cidades: o Caso da Unidade Temática de Segurança Cidadã das Mercocidades",Contexto Internacional,mixed_empirical,descriptive_statistics_only,"The article's empirical core is qualitative documentary analysis, but it also compiles and interprets rankings and activity counts in tables. I therefore classify the quantitative component as descriptive statistics only rather than treating the paper as purely qualitative."
S0102-85292013000200006,Sovereignty and regional integration in Latin America: a political conundrum?,Contexto Internacional,qualitative_only,none,"The article is an essay without a formal methods section and contains substantial conceptual argument, but it repeatedly analyzes historical cases, treaties, and institutions as qualitative evidence, so it is best classified as empirical qualitative rather than purely theoretical."
S0102-85292021000100199,"Vinte anos da Colonialidade do Poder, Eurocentrismo e América Latina de Aníbal Quijano",Contexto Internacional,none,none,"The article closely interprets Quijano's texts and intellectual context, but it does so as conceptual/theoretical commentary rather than as a systematic qualitative empirical study."
S0011-52582010000300002,Construção democrática e modelos de Constituição,Dados,none,none,"The body includes descriptive numbers and references to the authors' prior MAC-based Brazilian findings and a comparative table, but the article frames these as prior or illustrative material and states that the article is mainly theoretical and oriented toward future empirical research."
S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,Dados,mixed_empirical,descriptive_statistics_only,"A classificação quantitativa é claramente descritiva, mas o artigo usa esses padrões descritivos junto com casos qualitativos para sustentar uma explicação de variação; por isso foi rastreado na tela de causalidade, embora não use desenho de credibilidade."
S0011-52582006000100002,"Fundamentos da economia, mercado financeiro e intenção de voto: as eleições presidenciais brasileiras de 1994, 1998 e 2002",Dados,quantitative_only,statistical_modeling,"O artigo usa linguagem causal e testes de causalidade de Granger, mas não apresenta desenho de identificação moderno; por isso, a melhor classificação é statistical modeling com claim causal observacional, não método de revolução da credibilidade."
S0011-52582013000100006,Os alunos do ensino médio e Sciences Po: entre a meritocracia e a percepção das desigualdades,Dados,mixed_empirical,descriptive_statistics_only,"A parte quantitativa é contextual e descritiva, enquanto a análise principal é qualitativa; mesmo assim, ela conta como quantitativa no critério Torreblanca amplo porque o artigo relata tabelas e percentuais de questionários e dados contextuais próprios ou reanalisados."
S0011-52582011000100004,Welfare state e desenvolvimento,Dados,none,none,"O artigo mobiliza exemplos históricos e evidências secundárias, especialmente sobre experiências escandinavas, mas não apresenta análise empírica própria; por isso a decisão central foi tratá-lo como revisão teórico-conceitual não empírica."
S0102-64452020000200099,A DIVERSIDADE DE AGENTES E AGENDAS NA SOCIOLOGIA DA EDUCAÇÃO NO BRASIL,Lua Nova: Revista de Cultura e Política,mixed_empirical,descriptive_statistics_only,"A evidência qualitativa é documental e institucional, não baseada em entrevistas ou trabalho de campo; ainda assim, o artigo interpreta e compara ementas, trajetórias e projetos, o que sustenta uma classificação mista em vez de quantitativa apenas."
S0102-64452016000200021,A EPIDEMIA DE ZIKA E OS LIMITES DA SAÚDE GLOBAL,Lua Nova: Revista de Cultura e Política,qualitative_only,none,"O artigo usa muitos dados epidemiológicos e socioeconômicos, mas eles aparecem como citações contextuais de fontes secundárias, sem análise quantitativa própria. A decisão difícil foi não tratá-los como componente quantitativo Torreblanca."
S0102-64452006000300005,Bobbio na história das idéias democráticas,Lua Nova: Revista de Cultura e Política,none,none,"The article performs close interpretive reading of political-theory texts, which could superficially resemble qualitative textual analysis. I classify it as non-empirical because the article is a conceptual history-of-ideas essay without a systematic empirical corpus, original qualitative research design, or substantive empirical evidence about political phenomena."
S0102-64452022000100299,"DUAS INTERPRETAÇÕES DO EMPRESÁRIO INDUSTRIAL E DESENVOLVIMENTO ECONÔMICO, DE FERNANDO HENRIQUE CARDOSO",Lua Nova: Revista de Cultura e Política,qualitative_only,none,"A decisão difícil é se uma análise interpretativa de obras publicadas deve contar como artigo empírico qualitativo ou como ensaio conceitual/literatura sem empiria. Classifiquei como qualitativo porque o artigo usa textos específicos como evidência substantiva e faz interpretação própria de seus significados, mas não como quantitativo nem causal."
S0102-64452014000200007,Política na forma da lei: o espaço dos constitucionalistas no Brasil democrático,Lua Nova: Revista de Cultura e Política,mixed_empirical,descriptive_statistics_only,"A maior parte do artigo é qualitativa e interpretativa, mas a seção final contém mapeamento com contagens e frequências próprias; por isso a classificação como mixed_empirical depende de reconhecer essa parte como análise quantitativa descritiva original, embora limitada."
S0102-64452024000200306,UM BRASIL DIVIDIDO? REFLEXÕES SOBRE A POLARIZAÇÃO POLÍTICA E SOCIAL NO BRASIL CONTEMPORÂNEO,Lua Nova: Revista de Cultura e Política,none,none,"O artigo contém muitos dados empíricos secundários e argumentos explicativos históricos, mas declara uma revisão bibliográfica e não apresenta análise empírica própria; por isso foi classificado como não empírico no schema, apesar de discutir evidência empírica de terceiros."
S0101-33002021000300497,As caixas-pretas de Amós Oz,Novos estudos CEBRAP,qualitative_only,none,"O artigo é ensaístico e literário, sem método empírico sistemático; contudo, o schema inclui textos e interpretação como evidência qualitativa, e o artigo efetivamente analisa material textual substantivo."
S0101-33002018000200191,BRASIL ANOS 2000: A política social sob regência da financeirização,Novos estudos CEBRAP,mixed_empirical,descriptive_statistics_only,"O artigo tem forte tom ensaístico e teórico, e parte dos números vem de fontes secundárias. Ainda assim, o corpo menciona tabelas, quadro e gráfico próprios/reanalisados e usa esses dados para sustentar a análise empírica, justificando a classificação como quantitativo descritivo dentro de um artigo empírico misto."
S0101-33002020000100019,CONTRIBUIÇÕES PARA A DEFINIÇÃO DOS CONCEITOS PERIFERIA E SUJEITAS E SUJEITOS PERIFÉRICOS,Novos estudos CEBRAP,mixed_empirical,descriptive_statistics_only,"O artigo é principalmente conceitual e qualitativo, mas inclui uma delimitação territorial baseada em indicador socioeconômico e mapa. Essa seção foi classificada como quantitativa descritiva, embora o componente quantitativo seja limitado e subordinado ao argumento conceitual."
S0101-33002014000100004,Escassez de engenheiros no Brasil? uma proposta de sistematização do debate,Novos estudos CEBRAP,mixed_empirical,statistical_modeling,"O componente qualitativo é menos desenvolvido que o quantitativo, mas as entrevistas com dirigentes empresariais são usadas substantivamente para formular e explicar dimensões do problema, o que justifica mixed_empirical em vez de quantitative_only."
S0101-33002005000200003,Impasses do desenvolvimento,Novos estudos CEBRAP,qualitative_only,none,"The article contains many descriptive aggregate statistics, but the body does not document original or reanalyzed quantitative analysis. I treat those numbers as secondary or illustrative evidence within a qualitative historical-comparative policy essay rather than as Torreblanca-style quantitative analysis."
S0101-33002014000100010,"O cortiço, romance econômico",Novos estudos CEBRAP,qualitative_only,none,"A decisão difícil é se uma análise literária de textos deve ser tratada como empírica qualitativa ou como ensaio interpretivo não empírico. Como o schema inclui documentos, textos e análise interpretiva como evidência qualitativa, a classificação adotada é empírica qualitativa, mas sem qualquer componente quantitativo ou causal de credibilidade."
S0101-33002015000100117,QUANTO VALE A ARTE CONTEMPORÂNEA?,Novos estudos CEBRAP,qualitative_only,none,"O artigo contém muitos percentuais, contagens e valores monetários de relatórios setoriais, o que exige distinguir evidência quantitativa secundária de análise quantitativa original. A leitura integral indica que não há reanálise própria."
S0101-33002019000100006,REVOLUÇÕES NO CAMPO RELIGIOSO,Novos estudos CEBRAP,qualitative_only,none,"The article mentions census data and percentages, but the supplied body does not present the numerical analysis itself. I therefore treated those references as contextual rather than sufficient evidence of original quantitative analysis."
S0101-33002011000300004,Trabalhar para estudar: sobre a pertinência da noção de transição escola-trabalho no Brasil,Novos estudos CEBRAP,quantitative_only,statistical_modeling,"O artigo usa regressão múltipla e linguagem explicativa, mas não reporta inferência estatística nem apresenta desenho causal moderno; a decisão exige separar modelagem observacional de método de credibilidade causal."
S0104-62762014000300377,A identificação de enquadramentos através da análise de correspondências: um modelo analítico aplicado à controvérsia das ações afirmativas raciais na imprensa,Opinião Pública,mixed_empirical,statistical_modeling,"O artigo é metodológico e a ACS é usada de modo exploratório, mas a aplicação empírica reanalisa dados categóricos codificados e vai além de estatísticas descritivas simples; por isso foi classificada como statistical_modeling sem inferência estatística."
S0104-62762015000100132,Confiança nas Forças Armadas brasileiras: uma análise empírica a partir dos dados da pesquisa SIPS - Defesa Nacional,Opinião Pública,quantitative_only,statistical_modeling,"O artigo usa linguagem de efeito, determinantes e explicação em uma regressão ordinal observacional, mas também reconhece que inferências causais exigiriam pesquisas posteriores. Por isso, há claim explicativo associado à modelagem quantitativa, mas não desenho causal de credibilidade."
S0104-62762025000100220,"Determinantes da confiança na Polícia Nacional: o caso dos Carabineros chilenos, 2015-2020",Opinião Pública,quantitative_only,statistical_modeling,"O artigo usa linguagem de impacto e hipóteses direcionais, mas também reconhece explicitamente que os dados observacionais impedem inferências causais fortes; por isso, a classificação adequada é modelagem estatística observacional com claim explicativo, não desenho causal de credibilidade."
S0104-62762018000300486,Fim da direita envergonhada? Atuação da bancada evangélica e da bancada da bala e os caminhos da representação do conservadorismo no Brasil,Opinião Pública,mixed_empirical,descriptive_statistics_only,"A análise quantitativa é descritiva, mas o artigo formula hipóteses e linguagem de teste/explicação. Isso torna aplicável o screen por causal claim com análise quantitativa, embora não haja método causal ou inferência estatística."
S0104-62762016000200318,Medindo o acesso à Justiça Cível no Brasil,Opinião Pública,mixed_empirical,descriptive_statistics_only,"A dimensão qualitativa é limitada e metodológica, mas o artigo usa entrevistas cognitivas e respostas abertas codificadas como evidência sobre validade da medida. Também há linguagem de correlação, influência e preditores, porém sem objetivo explicativo central nem inferência estatística."
S0104-62762006000200005,Os militantes são mais informados? Desigualdade e informação política nas eleições de 2002,Opinião Pública,quantitative_only,statistical_modeling,"O artigo usa linguagem de efeito, comparação com não participantes como grupo de controle e painel, mas o texto fornecido não descreve uma estratégia causal moderna de identificação. Por isso, a classificação de método de credibilidade fica como regressão observacional com claim causal sem desenho, não como DiD, experimento ou outro desenho causal formal."
S0104-62762018000100209,Violência e satisfação com a democracia no Brasil,Opinião Pública,quantitative_only,statistical_modeling,"O artigo usa explicitamente `mediação causal` e modelos não paramétricos, mas em dados observacionais de survey sem desenho experimental ou quasi-experimental forte; por isso a classificação de método de credibilidade é limitada a método causal moderno/observacional com alegação causal, não a DiD, IV, RDD ou experimento."
S0103-33522020000100083,"A diferenciação ideológica na política externa partidária eleitoral: PSDB, PT e MDB (1994-2018)",Revista Brasileira de Ciência Política,mixed_empirical,descriptive_statistics_only,"O artigo usa documentos e análise de conteúdo quantitativa; a classificação como mixed_empirical exige julgar se a discussão substantiva dos programas conta como evidência qualitativa além da codificação. Como o texto interpreta propostas específicas de documentos partidários ao longo das seções de resultados, a classificação mista é mais adequada."
S0103-33522017000300191,Ciclos de protesto e repertório de ação do movimento indígena brasileiro entre 2009 e 2016: o caso da PEC 215,Revista Brasileira de Ciência Política,mixed_empirical,descriptive_statistics_only,"O artigo é claramente quantitativo descritivo, mas a classificação como mixed_empirical exige julgamento porque a dimensão qualitativa aparece sobretudo na reconstrução documental/contextual e na interpretação/categorização de notícias, não como entrevistas ou etnografia formal."
S0103-33522011000200005,Da expectativa de vitória à derrota: estratégias discursivas do PT em Curitiba e Porto Alegre em 2004,Revista Brasileira de Ciência Política,mixed_empirical,descriptive_statistics_only,"O artigo declara que não pretende responsabilizar as estratégias discursivas pelas derrotas, mas a conclusão usa linguagem explicativa sobre comportamentos discursivos e resultados negativos. A evidência quantitativa é claramente descritiva, enquanto o componente causal é interpretativo e não apoiado por desenho causal."
S0103-33522012000300002,Em busca da deliberação: mecanismos de inserção das vozes subalternas no espaço público,Revista Brasileira de Ciência Política,none,none,"O artigo contém um caso ilustrativo com números sobre habitação em Belo Horizonte e faz argumentos sobre efeitos do ativismo na esfera pública, mas esses elementos são usados para fundamentar uma agenda teórica e não constituem análise empírica própria."
S0103-33522024000100214,Entre o fortalecimento institucional e tendências de precarização da força de trabalho: orçamento e emprego público no Poder Judiciário (1986-2021),Revista Brasileira de Ciência Política,mixed_empirical,descriptive_statistics_only,"O artigo usa análise quantitativa descritiva e também reconstrução histórico-institucional qualitativa. A decisão de classificá-lo como mixed_empirical depende de considerar a reconstrução institucional e interpretação da literatura como evidência qualitativa substantiva, embora o núcleo empírico original seja quantitativo descritivo."
S0103-33522025000100208,"Lei Aldir Blanc: o impacto da pandemia na mudança institucional,",Revista Brasileira de Ciência Política,mixed_empirical,statistical_modeling,"A principal ambiguidade é classificar as análises de similitude e CHD no Iramuteq: elas vão além de estatística descritiva simples por usarem classificação/agrupamento textual, mas o artigo não relata inferência estatística convencional."
S0102-69092006000300006,A sociologia de Gramsci,Revista Brasileira de Ciências Sociais,none,none,"The article interprets primary theoretical texts, which could superficially resemble qualitative textual analysis, but its purpose and evidentiary use are conceptual exegesis rather than original empirical analysis of a substantive social or political phenomenon."
S0102-69092019000300509,EXISTEM PREFERÊNCIAS DE SEXO NO BRASIL?,Revista Brasileira de Ciências Sociais,quantitative_only,statistical_modeling,"The article uses explanatory language about influences and social schemas, but the empirical design is cross-sectional observational regression with controls, not a causal identification design."
S0102-69092018000300507,O OVO E A GALINHA. Estudo do enquadramento e da recepção da cobertura jornalística no pleito de 2014,Revista Brasileira de Ciências Sociais,quantitative_only,statistical_modeling,"O artigo usa linguagem de influência e impacto, mas também declara que seus dados observacionais não permitem causalidade; por isso a decisão mais adequada é modelagem estatística observacional com claim causal/explanatório sem desenho identificado, não método de credibilidade-revolution."
S0102-69092013000300008,"Profissionalismo, diferença e diversidade na advocacia e na magistratura paulistas",Revista Brasileira de Ciências Sociais,mixed_empirical,descriptive_statistics_only,"The article has explanatory claims and uses some quantitative data, but the quantitative component is only descriptive and the explanatory analysis is primarily qualitative. I therefore do not treat it as requiring credibility-revolution screening."
S0102-69092011000100008,Regras de jogo versus regras morais: para uma teoria sociológica do fair play,Revista Brasileira de Ciências Sociais,none,none,"O artigo mobiliza casos de futebol, regras da Fifa e reconstruções históricas, e a conclusão chama esses exemplos de 'casos empíricos'. A decisão difícil é que esse material não constitui análise empírica sistemática própria; ele funciona principalmente como ilustração e suporte para uma tese teórico-conceitual sobre moralidade e fair play."
S0102-69092021000100510,TECENDO UM CIRCUITO COMERCIAL A PARTIR DA FEIRA DA MADRUGADA As agenciadoras da moda popular brasileira,Revista Brasileira de Ciências Sociais,qualitative_only,none,"O artigo inclui várias contagens próprias da amostra e valores de renda, mas eles são usados para caracterização etnográfica e não constituem análise quantitativa substantiva; por isso a classificação final é qualitative_only e quantitative_analysis_type none."
S0102-69092009000100011,"Élide, Gilberto, imagismo e língua de universidade",Revista Brasileira de Ciências Sociais,none,none,"O texto interpreta obras e cita materiais bibliográficos, o que cria uma fronteira possível com análise qualitativa de textos. A decisão central é classificá-lo como não empírico porque ele é uma resenha crítica e ensaio conceitual sem corpus, método de análise textual ou evidência empírica própria."
S0034-73292012000100003,Ascenso y hegemonía: pensando a las potencias emergentes desde América del Sur,Revista Brasileira de Política Internacional,qualitative_only,none,"The article is primarily theoretical and explicitly says it does not attempt an empirical test, but it still contains a substantive historical-comparative case illustration used to support the explanatory argument."
S0034-73292025000200604,Impact of China&#8211;Latin America Transportation Infrastructure Cooperation on Latin American Economies: A Project Data Study (2009&#8211;2023),Revista Brasileira de Política Internacional,mixed_empirical,descriptive_statistics_only,"The article explicitly says it uses quantitative and qualitative methods and states a hypothesis with independent and dependent variables, but the body does not implement statistical modeling or a causal identification design. The quantitative component is best classified as descriptive project data analysis combined with qualitative case studies."
S0034-73292022000100205,The space left for regional integration (or lack thereof): Structural causes of institutional fragmentation in Latin America (1991-2019),Revista Brasileira de Política Internacional,mixed_empirical,descriptive_statistics_only,"The article makes explicit causal claims tied to quantitative indicators, so the credibility-revolution screen is applicable, but the quantitative evidence is descriptive and there is no formal causal design or statistical model."
S0034-73292021000200208,What doesn&#8217;t kill a norm makes it stronger? Brazil&#8217;s contestation of the responsibility to protect,Revista Brasileira de Política Internacional,qualitative_only,none,"The article mentions Table 2 and says Brazil engaged more frequently in claim contestation, which could suggest counted coded references. However, the body text describes and reports the analysis as qualitative content analysis and does not provide original quantitative statistics or inferential analysis."
S0034-76122015000300563,"A configuração institucional da política de esporte no Brasil: organização, evolução e dilemas",Revista de Administração Pública,qualitative_only,none,"The article contains many counts and descriptive numerical facts about committees, members, ministries, programs, and staff. I treat these as qualitative documentary description rather than original quantitative analysis because the article does not analyze a quantitative dataset, report statistical tables, test associations, or model relationships."
S0034-76122009000600006,Accountability: já podemos traduzi-la para o português?,Revista de Administração Pública,none,none,"O artigo discute eventos e instituições brasileiras e cita números de estudos externos, mas esses elementos são usados em uma revisão narrativa e conceitual, sem análise empírica própria ou reanálise quantitativa."
S0034-76122006000100004,Articulação de políticas públicas a partir dos fóruns de competitividade setoriais: a experiência recente da cadeia produtiva têxtil e de confecções,Revista de Administração Pública,qualitative_only,none,"O artigo contém vários números, metas e estatísticas secundárias, inclusive referências a tabelas, mas eles são atribuídos a fontes externas e usados de modo contextual/descritivo; não há evidência textual suficiente de análise quantitativa original ou reanálise própria."
S0034-76122023000500502,Estratégia nacional de inovação: uma breve contribuição para sua efetividade sob a perspectiva de acumulação de capacidade tecnológica,Revista de Administração Pública,none,none,"O artigo usa linguagem de variáveis, operacionalização e impactos, e resume achados quantitativos de um estudo anterior, mas não apresenta análise empírica própria nem reanálise. A decisão central foi separar esses elementos metodológico-conceituais e secundários de uma aplicação empírica original."
S0034-76122009000300003,Exames de mamografia em Mato Grosso do Sul: análise da cobertura como componente de equidade,Revista de Administração Pública,mixed_empirical,descriptive_statistics_only,"A principal análise é quantitativa descritiva, mas o artigo também usa documentos de gestão e registros institucionais como evidência substantiva; por isso foi classificado como mixed_empirical e não como quantitative_only."
S0034-76122024000200402,Fatores que aumentam o tempo do processo judicial no Brasil,Revista de Administração Pública,mixed_empirical,descriptive_statistics_only,"O artigo quantifica percentuais de menções em entrevistas, o que conta como análise quantitativa descritiva própria, mas a evidência substantiva e a lógica explicativa são predominantemente qualitativas; por isso a classificação como mixed_empirical exige distinguir essa quantificação simples de análise estatística inferencial ou causal."
S0034-76122014000600003,Problema da falta de vagas em creches: matriz de loops e a priorização de causas de problemas complexos,Revista de Administração Pública,mixed_empirical,descriptive_statistics_only,"O artigo usa linguagem causal e mapas causais formais, mas esses mapas representam relações percebidas e priorização gerencial, não um desenho de identificação causal da revolução da credibilidade."
S0104-44782017000100051,A arte do encontro: a paradiplomacia e a internacionalização das cidades criativas,Revista de Sociologia e Política,mixed_empirical,descriptive_statistics_only,"A classificação quantitativa é uma decisão limítrofe porque a evidência quantitativa própria identificável é apenas uma tabela descritiva contextual com PIB, população e IDH; a análise substantiva do artigo é predominantemente qualitativa-comparativa."
S0104-44782015000200109,"Ciclos políticos, socioeconomia e a geografia eleitoral do estado da Bahia nas eleições de 2006",Revista de Sociologia e Política,quantitative_only,statistical_modeling,"A principal decisão difícil foi se a contextualização histórica e política das seções II e III deveria contar como componente qualitativo. Como ela se baseia sobretudo em literatura secundária e serve de apoio à análise econométrica, sem método qualitativo próprio sistemático, classifiquei o artigo como quantitativo apenas."
S0104-44782023000100400,Como se fomenta ou se barra reformas eleitorais? Uma revisão de escopo,Revista de Sociologia e Política,mixed_empirical,bivariate_tests_or_correlations_only,"A decisão central difícil é tratar uma revisão de escopo como empírica e quantitativa. O artigo não analisa dados políticos primários, mas apresenta protocolo de seleção, codificação e quantificação de um corpus bibliográfico, além de coeficiente Kappa no SPSS; por isso foi classificado como análise empírica mista de literatura, com componente quantitativo limitado."
S0104-44782009000200015,Em busca de uma sociedade do espetáculo perdida: desafios da história social do teatro europeu,Revista de Sociologia e Política,none,none,"The article extensively summarizes the empirical methods and evidence of Charle's book, including quantitative statistics and qualitative documents, but these are not the article's own empirical analysis."
S0104-44782014000100003,"Indicação e intermediação de interesses: uma análise da conexão eleitoral na cidade do Rio de Janeiro, 2001-2004",Revista de Sociologia e Política,mixed_empirical,bivariate_tests_or_correlations_only,"A classificação como mixed_empirical é uma decisão interpretativa: o núcleo do artigo é quantitativo, mas há uso substantivo, ainda que secundário, de evidência documental e citações de vereadores para interpretar concepções de representação."
S0104-44782012000300006,"O tribunal de contas da união, controle horizontal de agências reguladoras e impacto sobre usuários dos serviços",Revista de Sociologia e Política,mixed_empirical,descriptive_statistics_only,"The quantitative component is ancillary and descriptive, but the article does present its own collected audit counts and percentages; under the broad Torreblanca rule this is enough for original quantitative analysis, while still only `descriptive_statistics_only`."
S0104-44782013000300008,Os determinantes dos resultados de soma positiva em Minas Gerais e no Rio Grande do Sul,Revista de Sociologia e Política,quantitative_only,statistical_modeling,"O artigo é comparativo e contém narrativa institucional sobre dois casos, o que poderia sugerir componente qualitativo. Porém, a evidência efetivamente analisada no teste das hipóteses é composta por indicadores e modelos quantitativos, sem análise qualitativa substantiva independente."
