pid,title,year,journal_title,url_scielo,n_pending,fields,first_fields,abstract_pt,abstract_en,brief_justification
S1981-38212007000100070,Relevant Factors for the Voting Decision in the 2002 Presidential Election: An Analysis of the ESEB (Brazilian Electoral Study) Data,2007,Brazilian Political Science Review,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212007000100070&lng=pt,4,paper_uses_survey_data; single_region; effort_to_explore_mechanisms; main_variable_relationship,paper_uses_survey_data; single_region; effort_to_explore_mechanisms; main_variable_relationship,"The article investigates some of the most relevant factors for the voting decision in the 2002 presidential election by testing some of the main hypotheses about electoral behaviour in the country by means of logistic regression analyses based on data from the ESEB (Brazilian Electoral Study), a post-electoral survey conducted on a national sample of voters. In the models, taken as a whole, political opinions did not have much weight in the voting decision. Furthermore, they are unable to &#8220;explain&#8221; a very large share of voters&#8217; positioning on a left-right scale or on a scale of voters&#8217; &#8220;party sentiments&#8221;. All these &#8220;political&#8221; variables taken as a whole, in turn, &#8220;explain&#8221; only part of the evaluations that voters make of the government's performance. The analysis shows that Brazilian voters&#8217; voting decision seems rather varied, since some variables were shown to be relevant to &#8220;explain&#8221; the vote for a candidate, but not for the others. The variables shown to be more frequent (for all four candidates analysed) and with more considerable weight were: voters&#8217; religion, their &#8220;party sentiments&#8221;, their positioning on a left-right scale, the evaluations made of the then current government (in actual fact important only for the vote for Serra, the government's candidate) and the candidates&#8217; attributes (especially &#8220;reliability&#8221; and &#8220;preparedness/competence&#8221;).","The article investigates some of the most relevant factors for the voting decision in the 2002 presidential election by testing some of the main hypotheses about electoral behaviour in the country by means of logistic regression analyses based on data from the ESEB (Brazilian Electoral Study), a post-electoral survey conducted on a national sample of voters. In the models, taken as a whole, political opinions did not have much weight in the voting decision. Furthermore, they are unable to &#8220;explain&#8221; a very large share of voters&#8217; positioning on a left-right scale or on a scale of voters&#8217; &#8220;party sentiments&#8221;. All these &#8220;political&#8221; variables taken as a whole, in turn, &#8220;explain&#8221; only part of the evaluations that voters make of the government's performance. The analysis shows that Brazilian voters&#8217; voting decision seems rather varied, since some variables were shown to be relevant to &#8220;explain&#8221; the vote for a candidate, but not for the others. The variables shown to be more frequent (for all four candidates analysed) and with more considerable weight were: voters&#8217; religion, their &#8220;party sentiments&#8221;, their positioning on a left-right scale, the evaluations made of the then current government (in actual fact important only for the vote for Serra, the government's candidate) and the candidates&#8217; attributes (especially &#8220;reliability&#8221; and &#8220;preparedness/competence&#8221;).","This is a quantitative electoral behavior study of the 2002 Brazilian presidential election using post-electoral survey data (ESEB) and logistic regression models. The paper tests hypotheses about factors driving vote choice (religion, partisanship, ideology, government evaluation, candidate attributes) for four candidates. It uses a kitchen-sink logistic regression approach with multiple blocks of predictors rather than a causal identification strategy. The language uses 'explain' in quotes, suggesting awareness that the associations are not strictly causal, but the framing of 'relevant factors for the voting decision' and 'determinants' implies causal reasoning without formal identification."
S0102-64452009000100003,As teorias dos movimentos sociais: um balanço do debate,2009,Lua Nova: Revista de Cultura e Política,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64452009000100003&lng=pt,4,method_status; general_goal_of_analysis; single_country_study; effort_to_explore_mechanisms,method_status; general_goal_of_analysis; single_country_study; effort_to_explore_mechanisms,"Este artigo apresenta as três principais teorias de explicação dos movimentos sociais, constituídas nos anos 1970; a Teoria de Mobilização de Recursos, a Teoria do Processo Político e a Teoria dos Novos Movimentos Sociais. Em seguida, mapeiam-se as reformulações de que essas teorias foram objeto, seja em reação às críticas recebidas, seja para fazer face às mudanças empíricas das últimas décadas, que acentuaram as dimensões cultural e transnacional do ativismo.","This article presents the main theories on social movements raised in the 70's: the Resource Mobilization Theory, the Political Process Theory and the Theory of the New Social Movements. Then, the article discusses how those theories had to reshape themselves to face the criticisms they received as well as the empirical transformations the activism went through during the last decades, which stressed its cultural and transnational dimensions.","Purely theoretical literature review article that surveys and compares three main paradigms of social movement theory (Resource Mobilization, Political Process, New Social Movements) and their subsequent reformulations. Contains no empirical data collection or quantitative analysis."
S0011-52582011000100004,Welfare state e desenvolvimento,2011,Dados,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582011000100004&lng=pt,4,general_goal_of_analysis; single_country_study; single_region; effort_to_explore_mechanisms,general_goal_of_analysis; single_country_study; single_region; effort_to_explore_mechanisms,"The relations between the welfare state and development are frequently portrayed as problematic and even dilemmatic. For example, it is claimed that the welfare state is only possible in developed countries, or that typical welfare state redistribution is necessarily accompanied by weaker economic growth. The main purpose of this article is to systematize the arguments and evidence against these assumptions, featuring the functionality of the welfare state for development in both economic and non-economic terms.","The relations between the welfare state and development are frequently portrayed as problematic and even dilemmatic. For example, it is claimed that the welfare state is only possible in developed countries, or that typical welfare state redistribution is necessarily accompanied by weaker economic growth. The main purpose of this article is to systematize the arguments and evidence against these assumptions, featuring the functionality of the welfare state for development in both economic and non-economic terms.","The paper is a theoretical-normative literature review that systematizes arguments and evidence on the relationship between the welfare state and economic development. It contains no tables, figures, or equations, has 38 references across 28 pages, and its abstract frames the goal as marshaling arguments against common assumptions rather than testing hypotheses with original data. The method is essayistic, relying on conceptual argumentation and synthesis of existing studies rather than explicit empirical methodology."
S0102-85292013000200009,BRICS: an explanation in critical geography,2013,Contexto Internacional,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292013000200009&lng=pt,4,method_status; general_goal_of_analysis; single_region; effort_to_explore_mechanisms,method_status; general_goal_of_analysis; single_region; effort_to_explore_mechanisms,"BRICS, an abbreviation for Brazil, Russia, India, China and South Africa, a group of five influential and emerging economies successfully completed its fifth annual summit in Durban during March 26-27, 2013. A significantly unique feature of the group is its geographical spread as evident from the location of these five constituent states which are situated in four continents. The paper seeks to explain the phenomenon of the disparate group BRICS through literature in Critical Geography as it is understood that the recent phase of globalization has created spatial patterns which were hitherto not experienced and therefore not clearly recognized in the literature on International Relations and traditional geography. Such spatially variegated groupings like the BRICS could be analyzed and interpreted in Critical Geography and Critical Geopolitics literature through three important concepts: a) Space b) Geographical and Geopolitical Imaginations and c) Region. The paper seeks to explain BRICS through these conceptual tools.","BRICS, an abbreviation for Brazil, Russia, India, China and South Africa, a group of five influential and emerging economies successfully completed its fifth annual summit in Durban during March 26-27, 2013. A significantly unique feature of the group is its geographical spread as evident from the location of these five constituent states which are situated in four continents. The paper seeks to explain the phenomenon of the disparate group BRICS through literature in Critical Geography as it is understood that the recent phase of globalization has created spatial patterns which were hitherto not experienced and therefore not clearly recognized in the literature on International Relations and traditional geography. Such spatially variegated groupings like the BRICS could be analyzed and interpreted in Critical Geography and Critical Geopolitics literature through three important concepts: a) Space b) Geographical and Geopolitical Imaginations and c) Region. The paper seeks to explain BRICS through these conceptual tools.","This is a purely theoretical/conceptual paper that uses Critical Geography and Critical Geopolitics literature to interpret the BRICS grouping through three conceptual tools (Space, Geographical and Geopolitical Imaginations, and Region). It contains no quantitative data, no statistical analysis, no tables, figures, or equations. It is a conceptual essay in International Relations, not an empirical study."
S0102-85292014000100008,A institucionalização de blocos de integração: uma proposta de critérios de medição,2014,Contexto Internacional,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292014000100008&lng=pt,4,method_status; general_goal_of_analysis; single_region; effort_to_explore_mechanisms,method_status; general_goal_of_analysis; single_region; effort_to_explore_mechanisms,"O campo de estudos da integração regional evoluiu pouco no que se refere à comparação e à definição de critérios para a avaliação de casos. Um procedimento recorrente é aplicar a outros processos critérios elaborados para o caso europeu. Como o modelo de integração adotado na Europa não se repete em outras partes do mundo, esse procedimento só pode levar às mesmas conclusões: a avaliação de que há problemas nos demais blocos, de que suas perspectivas são ruins e de que, em alguns casos, sequer se caracteriza um processo de integração. Portanto, é necessário estabelecer critérios que possam ser aplicados universalmente e que avaliem os blocos de integração de acordo com seu nível de institucionalização, como já foi proposto e adotado na ciência política para os regimes democráticos e os sistemas partidários. Essa é uma tarefa urgente para a sistematização e a pesquisa comparativa no campo de estudos da integração regional. O trabalho, então, propõe um conjunto de critérios que tem capacidade de medir o nível de institucionalização em diferentes âmbitos da integração e indicadores para cada critério. Além disso, faz uma seleção abrangente das dimensões de análise, para não privilegiar certo âmbito ou modelo de integração. Os critérios são aplicados, então, a CAN, Mercosul, Unasul e UE, considerando o processo europeu como mais um caso, e não como parâmetro para a análise. O resultado observado corrobora essa perspectiva, já que a UE, ao contrário do esperado, não apresenta o nível de institucionalização mais alto em todas as dimensões.","The field of regional integration has showed few developments regarding the comparison and the definition of criteria to evaluate cases. A frequent procedure is apply in another processes the criteria developed to the European case. As the integration model adopted in Europe is not repeated elsewhere in the world, this procedure can only lead to the same conclusions, the assessment that there are problems in the another processes, that their prospects are bad and that some cases can not even be characterized as an integration process. Therefore, it is necessary to establish criteria that can be applied universally and that assess the processes by their level of institutionalization, like it has been developed and adopted in Political Science for democratic regimes and party systems. This is an urgent task for systematic and comparative research in the field of regional integration. To face this task, the paper proposes criteria that is able to measure the institutionalization in different areas of integration and indicators for each criterion. Moreover, it does a comprehensive selection of the dimensions of analysis, in order to not privilege certain sphere or model of integration. Then, the criteria is applied to CAN, MERCOSUR, UNASUR and EU, considering the European process as one of the case studies, and not as parameter for the analysis. The results confirm this perspective, since the EU, unlike the expected, does not show the higher level of institutionalization in all the dimensions.","This is a conceptual and comparative-qualitative paper that proposes measurement criteria for the institutionalization of regional integration blocs. It applies these criteria descriptively to four integration processes (CAN, MERCOSUR, UNASUR, EU) without any statistical or quantitative empirical analysis. There is no regression, no causal inference design, no survey data, and no hypothesis testing. The paper is a framework-building exercise in comparative regionalism."
S1981-38212015000100115,"Brazilian Congress, 2014 elections and governability challenges",2015,Brazilian Political Science Review,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212015000100115&lng=pt,4,evidence_type; method_status; single_region; effort_to_explore_mechanisms,evidence_type; method_status; single_region; effort_to_explore_mechanisms,"This research note examines the results of the 2014 elections focusing on the National Congress. Its main objective is to ponder over common claims and predictions regarding the future of Brazilian politics. Beyond agreements and alliances involved in the electoral dispute, President Dilma Rousseff once again shall face the political challenges and dilemmas of Brazilian presidentialism, namely, how to create and manage government coalitions capable of implementing a coherent political program with a fragmented and heterogeneous Congress. The critical examination of the current hypotheses on the latest elections, especially concerning parliamentary fragmentation and a shift towards the right-wing, will serve as a compass attempting to formulate possible answers to such a fundamental problem in Brazilian politics.","This research note examines the results of the 2014 elections focusing on the National Congress. Its main objective is to ponder over common claims and predictions regarding the future of Brazilian politics. Beyond agreements and alliances involved in the electoral dispute, President Dilma Rousseff once again shall face the political challenges and dilemmas of Brazilian presidentialism, namely, how to create and manage government coalitions capable of implementing a coherent political program with a fragmented and heterogeneous Congress. The critical examination of the current hypotheses on the latest elections, especially concerning parliamentary fragmentation and a shift towards the right-wing, will serve as a compass attempting to formulate possible answers to such a fundamental problem in Brazilian politics.","This is a research note that critically examines claims about the 2014 Brazilian congressional elections, discussing parliamentary fragmentation and ideological positioning. It is a qualitative/descriptive analysis of election outcomes and governability challenges under coalition presidentialism, without statistical modeling, hypothesis testing, or quantitative causal inference methods."
S0102-85292017000300569,"Paradiplomacia, Políticas de Segurança e Redes de Cidades: o Caso da Unidade Temática de Segurança Cidadã das Mercocidades",2017,Contexto Internacional,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292017000300569&lng=pt,4,method_status; general_goal_of_analysis; single_country_study; effort_to_explore_mechanisms,method_status; general_goal_of_analysis; single_country_study; effort_to_explore_mechanisms,"Resumo Através do fenômeno conhecido como paradiplomacia, as cidades estão desempenhando um papel cada vez mais importante nas relações internacionais. Por meio da paradiplomacia, as cidades estão cooperando internacionalmente com outras cidades, e as redes de cidades tornaram-se espaços importantes para o compartilhamento de experiências e de melhores práticas em políticas públicas locais. Além disso, a política de segurança é uma parte cada vez mais importante da elaboração de políticas locais. Na América Latina, o conceito de segurança cidadã, baseado em uma abordagem democrática e de direitos humanos, foi desenvolvido em resposta ao legado dos regimes autoritários que vigoraram dos anos de 1960 à decada de 1980. Este artigo examina como as políticas de segurança foram disseminadas, discutidas e transferidas através das Mercocidades, a principal rede de cidades da América do Sul.","Abstract In a phenomenon known as paradiplomacy, cities are playing an increasingly important role in international relations. Through paradiplomacy, cities are co-operating internationally with other cities, and city networks have become important spaces for sharing experiences of and best practices in local public policy. Moreover, security policy is a increasingly important part of local policy-making. In Latin America, the concept of citizen security, based on a democratic and human rights approach, has developed in response to the legacy of authoritarian regimes from the 1960s to the 1980s. This article examines how security policies have been disseminated, discussed and transferred through Mercocities, the main city network in South America.","This is a qualitative case study in International Relations examining paradiplomacy and policy transfer/diffusion of citizen security policies through the Mercocities network in South America. The paper contains no tables, figures, or equations, relies on documentary sources and institutional reports, and does not employ any quantitative or statistical methods. It is a descriptive-analytical piece grounded in policy transfer and paradiplomacy frameworks rather than causal inference or quantitative empirical analysis."
S0102-85292019000300663,"Sobre a Espectralidade do Inter-estado-ual/Internacional: Um Fórum sobre os Espectros de Marx de Jacques Derrida depois de 25 anos, Parte III",2019,Contexto Internacional,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292019000300663&lng=pt,4,method_status; general_goal_of_analysis; single_country_study; effort_to_explore_mechanisms,method_status; general_goal_of_analysis; single_country_study; effort_to_explore_mechanisms,"Resumo Jacques Derrida entregou a base de os Espectros de Marx: O Estado da Dívida, a Obra do Luto e a Nova Internacional como discurso plenário na conferência &#8216;Para onde o marxismo?,&#8217; na Universidade da Califórnia, em Riverside, em 1993. A versão mais longa do livro foi publicada em francês no mesmo ano e em inglês e português no ano seguinte. Uma década após a publicação dos Espectros, as análises de Derrida provocaram uma grande literatura crítica e convidaram tanto a consternação quanto a celebração de figuras como Antonio Negri, Wendy Brown e Frederic Jameson. Este fórum procura estimular novas reflexões sobre Derrida, desconstrução e Espectros de Marx, considerando como futuro do passado anunciado pelo livro se saiu depois de um movimentado quarto de século. Nesse terceiro grupo de contribuições, Jessica Auchter, Bruna Holstein Meireles e Victor Coutinho Lage recorrem amplamente aos escritos de Derrida para explorar a espectralidade do internacional ou inter-estado-ual: da própria política baseada na hospitalidade em direção ao fantasma como hóspede estrangeiro, da possibilidade de encenar uma política de espectralidade que pudesse aspirar a um novo tipo de universalidade, e de como um &#8216;sem internacional&#8217; poderia escapar à série de prisões que constitui o internacional.","Abstract Jacques Derrida delivered the basis of The Specters of Marx: The State of the Debt, the Work of Mourning, &amp; the New International as a plenary address at the conference &#8216;Whither Marxism?&#8217; hosted by the University of California, Riverside, in 1993. The longer book version was published in French the same year and appeared in English and Portuguese the following year. In the decade after the publication of Specters, Derrida&#8217;s analyses provoked a large critical literature and invited both consternation and celebration by figures such as Antonio Negri, Wendy Brown and Frederic Jameson. This forum seeks to stimulate new reflections on Derrida, deconstruction and Specters of Marx by considering how the futures past announced by the book have fared after an eventful quarter century. In this third group of contributions, Jessica Auchter, Bruna Holstein Meireles and Victor Coutinho Lage draw broadly on Derrida&#8217;s writings to explore the spectrality of the international or inter-state-eal: of politics itself being based on hospitality toward the ghost as foreign guest, of the possibility of enacting a politics of spectrality that might aspire to a new kind of universality, and of how a &#8216;without international&#8217; might escape the series of prisons that constitutes the international.","This is a purely theoretical forum comprising three essays on Jacques Derrida's Specters of Marx, exploring concepts of spectrality, hospitality, sovereignty, and the international through post-structuralist and deconstructive lenses. It contains no quantitative data, no empirical analysis, and no causal claims. The paper belongs to International Relations theory and political philosophy."
S0102-85292021000100121,Política Externa dos EUA para a América do Sul desde o 11 de Setembro: Negligência ou Militarização?,2021,Contexto Internacional,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292021000100121&lng=pt,4,method_status; general_goal_of_analysis; single_region; effort_to_explore_mechanisms,method_status; general_goal_of_analysis; single_region; effort_to_explore_mechanisms,"Resumo A literatura acadêmica sobre a política externa dos EUA para a América do Sul geralmente afirma uma falta de atenção para esta região no período pós-11 de setembro. Pretendo problematizar essa afirmação por meio de uma análise da política de segurança regional dos Estados Unidos. Considero os dados referentes à assistência militar e econômica, transferência de armas e a posição do SOUTHCOM em relação à sua área de responsabilidade, bem como documentos oficiais e cabos diplomáticos. Concluo que, embora a região não tenha sido uma prioridade, não houve um enfraquecimento das ações dos Estados Unidos ou um momento de abandono. Do ponto de vista histórico, a área nunca foi o foco principal das atenções, mas há uma burocracia especializada que trabalha para manter a hegemonia dos EUA. Portanto, a investigação indica que a assertividade latino-americana durante os anos 2000 foi causada principalmente pela conjunção da ascensão dos governos de esquerda e centro-esquerda e pela busca por autonomia e envolvimento chinês e russo na América Latina, não por negligência dos EUA. O artigo está dividido em seis seções, incluindo a introdução e as considerações finais. Após a introdução, a segunda seção é dedicada à análise da literatura acadêmica, a terceira ao estudo da assistência dos Estados Unidos, a quarta examina as posturas do SOUTHCOM e a quinta seção investiga as estratégias dos Estados Unidos em relação a grandes potências e transferências de armas. Finalmente, as considerações finais são apresentadas.","Abstract Academic literature on US Foreign Policy to South America usually states its lack of attention to the region in the post 9/11 period. I aim to problematize this assertion through an analysis of US regional security policy. Therefore, I consider data referring to military and economic assistance, arms transfers, and the SOUTHCOM position towards its area of responsibility, as well as official documents and diplomatic cables. I conclude that, although the region was not a priority, a waning in US actions or a moment of neglect in its policy towards it was likewise not observed. From a historical perspective, the area was never the main focus of attention, but there is a specialized bureaucracy that works on the region to maintain US hegemony. Therefore, the investigation indicates that Latin American assertiveness during the 2000s was caused primarily by the conjunction of the ascension of leftist governments and quest for autonomy, as well as by Chinese and Russian involvement in Latin America, but not by US neglect. The article is divided into six sections, including the introduction and final remarks. Following the introduction, I analyse the academic literature regarding USA-Latin American relations in the second section, the US assistance in the third, the SOUTHCOM postures in the fourth, and the strategies deployed by the USA regarding great powers and arms transfers in the fifth. Finally, I present the final remarks.","This is a qualitative International Relations paper that analyzes US foreign policy toward South America after 9/11 using descriptive data on military/economic assistance, arms transfers, SOUTHCOM posture statements, official documents, and diplomatic cables. It does not employ any quantitative statistical methods, regression models, or formal causal identification strategies. The paper makes implicit causal claims (e.g., Latin American assertiveness was caused by leftist governments and external power involvement, not US neglect) and explores mechanisms through historical and documentary analysis, but without quantitative empirical methods."
S0102-85292023000200904,'Novas direções para a Análise de Política Externa': reconfigurando o campo,2023,Contexto Internacional,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292023000200904&lng=pt,4,method_status; general_goal_of_analysis; single_country_study; effort_to_explore_mechanisms,method_status; general_goal_of_analysis; single_country_study; effort_to_explore_mechanisms,"Resumo Esta edição especial (vol. 45 (2) e vol. 46 (2)) apresenta (algumas) novas direções de pesquisa para a Análise de Política Externa (APE) e Estudos Diplomáticos. Ela é orientada pelo duplo objetivo de explorar os debates contemporâneos que têm alimentado abordagens interpretativas para a política externa e diplomacia e de engajar, através desse mesmo prisma, com dois públicos mais amplos no Brasil. Por um lado, busca conectar essas novas direções de pesquisa com acadêmicos que trabalham dentro da tradição analítica predominante de política externa no país. Por outro lado, tenta também engajar as tradições pós-positivistas nas Relações Internacionais (RI) brasileiras, que tradicionalmente negligenciaram os campos de APE ou Estudos Diplomáticos. Em resumo, a edição especial parte do pressuposto de que a APE é um campo não necessariamente ligado a uma única tradição metodológica. Pesquisas interpretativistas podem informar a APE, e a APE pode informar pesquisas interpretativistas.","Abstract This special issue (vol. 45 (2) and vol. 46(2)) presents (some) new research directions for Foreign Policy Analysis (FPA) and Diplomatic Studies. It is driven by the dual aim of exploring contemporary debates that have nourished interpretivist approaches to foreign policy and diplomacy and engaging, through this very prism, with two broader audiences in Brazil. On the one hand, it wishes to connect these recent research directions to scholars working within the prevalent analytical tradition of foreign policy in the country. On the other hand, it also tries to engage post-positivist traditions in Brazilian International Relations (IR) that have traditionally neglected the fields of FPA or Diplomatic Studies. In short, the SI starts from the premise that FPA is a field not necessarily connected to one methodological tradition. Interpretivist research can inform FPA, and FPA can inform interpretivist research.","This is an editorial introduction to a special issue on new directions for Foreign Policy Analysis. It is a purely theoretical and programmatic essay that discusses interpretivist and post-positivist approaches to FPA and Diplomatic Studies, with no empirical quantitative analysis, no dataset, no statistical methods, and no causal claims. It frames contributions to the special issue and argues for methodological pluralism in FPA."
S1981-38212024000200201,The African Agenda of Evangelical Christians in Brazilian Foreign Policy: The Crisis of the Universal Church of the Kingdom of God in Angola,2024,Brazilian Political Science Review,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212024000200201&lng=pt,4,method_status; single_region; effort_to_explore_mechanisms; main_variable_relationship,method_status; single_region; effort_to_explore_mechanisms; main_variable_relationship,"This paper analyzes the incidence of Evangelical groups in contemporary Brazilian foreign policy, in particular in the search for government support for their missionary presence on the African continent. The paper argues that Evangelicals assumed an important part of Brazil&#8217;s African policy during the Jair Bolsonaro government and that it is necessary to analyze the profile of their activities in order to understand the trajectory of relations between Brazil and African nations in recent decades and the growing influence of non-state actors, especially religious groups. The text addresses the recent crisis experienced by the Universal Church of the Kingdom of God in Angola in 2019 as a case study of the work of evangelical sectors and their influence on Brazil's foreign policy for the African continent.","This paper analyzes the incidence of Evangelical groups in contemporary Brazilian foreign policy, in particular in the search for government support for their missionary presence on the African continent. The paper argues that Evangelicals assumed an important part of Brazil&#8217;s African policy during the Jair Bolsonaro government and that it is necessary to analyze the profile of their activities in order to understand the trajectory of relations between Brazil and African nations in recent decades and the growing influence of non-state actors, especially religious groups. The text addresses the recent crisis experienced by the Universal Church of the Kingdom of God in Angola in 2019 as a case study of the work of evangelical sectors and their influence on Brazil's foreign policy for the African continent.","This is a qualitative case study analyzing how Evangelical Christian groups, particularly the Universal Church of the Kingdom of God (IURD), influenced Brazilian foreign policy toward Africa during the Bolsonaro government. The paper uses the 2019 IURD crisis in Angola as a single case study. It contains no quantitative data, no statistical analysis, no tables or figures, and relies on documentary sources including news reports and secondary literature. The paper implicitly argues that Evangelicals shaped foreign policy but does not employ any formal causal research design or quantitative methods."
S0011-52582025000400228,"José Maria Ibiapina, um Ultramontano Heterodoxo?*",2025,Dados,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000400228&lng=pt,4,method_status; general_goal_of_analysis; single_region; effort_to_explore_mechanisms,method_status; general_goal_of_analysis; single_region; effort_to_explore_mechanisms,"Resumo O artigo investiga a possível filiação do padre José Maria Ibiapina (1806-1883) às orientações ultramontanas características do movimento de reforma católica ocorrido no Brasil durante parte significativa do século XIX. Nesse sentido, problematiza interpretações forjadas por intelectuais ligados à Teologia da Libertação, para os quais a obra do missionário corresponderia a uma tradição religiosa popular derrotada pelo que denominaram processo de &#8220;romanização&#8221;. Com fins de questionar a hipótese segundo a qual seria Ibiapina espécie de precursor da &#8220;opção preferencial pelos pobres&#8221;, recorro a fontes primárias e secundárias para revelar afinidades entre sua obra e as determinações romanas. Trata-se, assim, de análise em diálogo com perspectivas recentes dedicadas a discutir os alcances e limites da implementação do programa de reformas ultramontanas no país.","Abstract This article examines the potential connection of Father José Maria Ibiapina (1806-1883) to the ultramontane orientations prevalent in the Catholic reform movement that occurred in Brazil during a significant portion of the 19th century. In this sense, it questions interpretations forged by intellectuals linked to Liberation Theology, for whom the missionary&#8217;s work corresponded to a popular religious tradition that had been defeated by what they called the process of &#8220;Romanization.&#8221; To question the hypothesis that Ibiapina was a kind of precursor of the &#8220;preferential option for the poor,&#8221; I draw on primary and secondary sources to reveal affinities between his work and Roman determinations. This analysis is thus in dialogue with recent perspectives that discuss the scope and limits of implementing the ultramontane reform program in Brazil.","Historical-interpretive article analyzing primary sources (19th-century newspapers, episcopal texts, missionary chronicles) and secondary historiography to reassess Father Ibiapina's relationship to ultramontane Catholic reform in Imperial Brazil. No quantitative data or statistical analysis is employed; the method is archival/documentary historical analysis."
S0011-52582025000400220,O Jovem Claude Lefort entre Socialismo e Democracia: Uma Leitura Sociológica*,2025,Dados,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000400220&lng=pt,4,method_status; general_goal_of_analysis; single_region; effort_to_explore_mechanisms,method_status; general_goal_of_analysis; single_region; effort_to_explore_mechanisms,"Resumo O objetivo deste artigo é problematizar a trajetória e o pensamento do jovem Claude Lefort. Trata-se de um momento do itinerário do autor pouco estudado na sua significação própria, sendo frequentemente tomado como mero prelúdio de seu percurso subsequente, a partir dos anos 1970, quando se transformou em uma das principais figuras da vaga antitotalitária que reorganizou a cena intelectual francesa. À diferença de tais análises, o artigo defende a hipótese de que, se existem algumas continuidades entre o jovem intelectual marxista/autonomista, nos anos 1940/1950, e o Lefort teórico da democracia das décadas seguintes, elas não anulam as inflexões, se não rupturas, que se produziram pelo caminho. Para tanto, o texto aborda, simultaneamente, tanto as mudanças da cena intelectual e da vida política francesa da época quanto o ponto de vista específico a partir do qual Lefort confrontou as novas condições que se apresentavam.","Abstract The aim of this article is to examine the trajectory and thinking of the young Claude Lefort. This is a period in the author&#8217;s life that has been little studied in its own right, often being regarded as a mere prelude to his subsequent career, beginning in the 1970s, when he became one of the leading figures in the anti-totalitarian movement that reorganized the French intellectual scene. Unlike such analyses, this article argues that, while there are some continuities between the young Marxist/autonomist intellectual of the 1940s and 1950s and the theorist of democracy of the following decades, they do not cancel out the inflections, if not ruptures, that occurred along the way. To this end, the text addresses both the changes in the intellectual scene and French political life at the time and the specific point of view from which Lefort confronted the new conditions that presented themselves.","Theoretical and historical article using a sociological reading of Claude Lefort's intellectual trajectory and writings from the 1940s-1960s. No quantitative data, statistical analysis, or empirical dataset. The paper relies on documentary analysis of Lefort's published texts, journals (Socialisme ou Barbarie, Les Temps Modernes), and secondary literature on French intellectual history."
S0011-52582008000400005,O conceito de federalismo e a idéia de interesse no Brasil do século XIX,2008,Dados,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582008000400005&lng=pt,3,general_goal_of_analysis; single_region; effort_to_explore_mechanisms,general_goal_of_analysis; single_region; effort_to_explore_mechanisms,"This article analyzes the formation of the concept of Federalism in 19th century Brazilian political debate. We seek to understand the transition from the concept of Confederation to that of Federalism and the political values that came to be associated with the latter. Based on the methodology of Conceptual History formulated by Reinhart Koselleck, we focus on the continuities and breaks in the issue of decentralization. Analyzing 19th century newspapers and Parliamentary debates, we contend that the notion of Provincial interest is a key aspect for understanding the Federalist thinking formulated in the first half of the 19th century.","This article analyzes the formation of the concept of Federalism in 19th century Brazilian political debate. We seek to understand the transition from the concept of Confederation to that of Federalism and the political values that came to be associated with the latter. Based on the methodology of Conceptual History formulated by Reinhart Koselleck, we focus on the continuities and breaks in the issue of decentralization. Analyzing 19th century newspapers and Parliamentary debates, we contend that the notion of Provincial interest is a key aspect for understanding the Federalist thinking formulated in the first half of the 19th century.","This is a conceptual history (Begriffsgeschichte) article using Koselleck's methodology to trace the evolution of the concept of federalism in 19th century Brazil. It analyzes newspapers and parliamentary debates as primary sources but employs no quantitative methods. The work is interpretive and historical-theoretical, focused on political concepts and their semantic transformations rather than empirical hypothesis testing."
S0011-52582008000200002,Ruth Corrêa Leite Cardoso,2008,Dados,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582008000200002&lng=pt,3,evidence_type; method_status; effort_to_explore_mechanisms,evidence_type; method_status; effort_to_explore_mechanisms,,,"This is a 4-page obituary/tribute to Ruth Corrêa Leite Cardoso by Gilberto Velho, published in Dados (2008). It is not a research article; it is a memorial note summarizing her intellectual trajectory and contributions to anthropology and political science. No research question, methodology, data, or analysis is present. Classification fields related to empirical or theoretical content are set to null or false."
