decision_status,decision_value,decision_note,reviewer,review_date,pid,field,issn,journal_title,excluded_by_journal,excluded_by_article,excluded_from_analysis,exclusion_reason,queue_source,local_allowed_values,allowed_values,value_allowed_strict,sheet_allowed_values_mismatch,pending_blocks_main_analysis,pending_dispensed_by_exclusion,strict_codebook_issue,requires_substantive_json,review_date_issue,review_date_invalid_format,review_date_outside_window,has_structured_override,structured_override_value_valid,structured_override_metadata_valid,structured_override_valid,structured_override_json,structured_override_note,structured_override_by,structured_override_date,validation_issue,old_value,new_value,reason,decision_hint,confidence,title,authors,year,language,url_scielo,abstract_pt,abstract_en,subfield,evidence_type_current,method_status_current,countries_of_focus,main_causal_research_design,brief_justification,old_json,new_json,file,issue_rule,action
done,No Error,"Resumo coerente com o título; sem sinal de texto ausente, corrompido ou incompatível.",Manoel,2026-06-01,S0101-31572010000100002,error_in_raw_text,0101-3157,Brazilian Journal of Political Economy,TRUE,FALSE,TRUE,out_of_scope_economics,excluded_journal_queue,No Error | Missing/Corrupt | Title/Text Mismatch,No Error | Missing/Corrupt | Title/Text Mismatch,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,<NULL>,<NULL>,Missing official-schema field added as JSON null.,"Checar se texto/XML está ausente, corrompido ou incompatível com título.",none,Ciência econômica e modelos de explicação científica: retomando a questão,Leda Maria Paulani,2010,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572010000100002&lng=pt,"Economic science and scientific explanation models. Economics was born under the sign of methodological vagueness. The first author who tried to solve the question (John Stuart Mill) asserted that it is a kind of knowledge that uses the abstract (direct deductive) method but also that it is an exception because for all other phenomena in the field of moral science the correct method is the inverse deductive or historical method. On the other side, functionalist explanations that are condemned by the scientific precepts of economics are present in the science since its beginning with Adam Smith. Economics went ahead without worriment about these methodological issues but this indefiniteness has never gone off stage. Since the start of XXI century new facts are emerging. Developments in Psychology are giving a new breath to Friedman's point of view and seem to fortify the mainstream (Rogebert e Nordberg, 2005), whereas unfolding in complexity science promises to throw it down and put in its place another kind of explanation borrowed from Biology (Beinhocker, 2006). All this stimulates to retake the question. We do this here, under a critical vision, taking the taxonomy of scientific explanations framed by modern positivism.","Economic science and scientific explanation models. Economics was born under the sign of methodological vagueness. The first author who tried to solve the question (John Stuart Mill) asserted that it is a kind of knowledge that uses the abstract (direct deductive) method but also that it is an exception because for all other phenomena in the field of moral science the correct method is the inverse deductive or historical method. On the other side, functionalist explanations that are condemned by the scientific precepts of economics are present in the science since its beginning with Adam Smith. Economics went ahead without worriment about these methodological issues but this indefiniteness has never gone off stage. Since the start of XXI century new facts are emerging. Developments in Psychology are giving a new breath to Friedman's point of view and seem to fortify the mainstream (Rogebert e Nordberg, 2005), whereas unfolding in complexity science promises to throw it down and put in its place another kind of explanation borrowed from Biology (Beinhocker, 2006). All this stimulates to retake the question. We do this here, under a critical vision, taking the taxonomy of scientific explanations framed by modern positivism.",Methodology and Formal Theory,theoretical-normative,essayistic,,,"This is a theoretical essay on scientific explanation models in economics, discussing methodological issues from J.S. Mill through Friedman to complexity science, using the taxonomy of scientific explanations from modern positivism as its analytical framework. It contains no empirical data analysis, no tables, figures, or equations (all counts are zero), and is purely a philosophy-of-science/methodology discussion. Published in the Brazilian Journal of Political Economy, it falls under methodology and formal theory with an essayistic approach.",null,null,S0101-31572010000100002.json,error_in_raw_text_null,add_missing_null
pending,,,,,S0101-31572018000300526,single_region,0101-3157,Brazilian Journal of Political Economy,TRUE,FALSE,TRUE,out_of_scope_economics,excluded_journal_queue,single_region | multiple_region | <NULL>,single_region | multiple_region | <NULL>,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,Cannot infer regional scope safely from this value.,Use single_region/multiple_region apenas para escopo regional claro; <NULL> se não aplicável.,none,Governos Lula e Dilma em matéria de seguridade social e acesso à educação superior,ROSA MARIA MARQUES; SALOMÃO BARROS XIMENES; CAMILA KIMIE UGINO,2018,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572018000300526&lng=pt,"RESUMO O artigo faz um balanço das políticas sociais desenvolvidas no Brasil pelos governos Lula e Dilma (2003 - 2016). Nosso enfoque são as políticas de Seguridade Social e de acesso à educação superior, cuja apresentação e análise fazemos em quatro partes. A primeira é dedicada ao Programa Bolsa Família, considerado o carro-chefe dos programas sociais do PT. A segunda parte trata da Previdência Social e da política de valorização do salário mínimo; a terceira analisa aspectos da Saúde e do Sistema Único de Saúde (SUS) e a quarta aborda a política de acesso à educação superior. Conclui-se que as políticas sociais realizadas pelos governos Lula e Dilma apresentam um duplo caráter. De um lado, não há dúvida de que constituíram um avanço, melhorando as condições de vida e de reprodução das parcelas mais pobres do país, sobretudo por conta do Programa Bolsa Família, da valorização do salário mínimo e, para uma menor parcela, do acesso à educação superior gratuita. De outro lado, percebe-se que a via ou o instrumento eleito para que essa melhora ocorresse foi a renda ou o salário, mantendo-se, em geral, sem alteração as estruturas seculares que geram a pobreza e a desigualdade no país. Ao mesmo tempo, tais governos foram determinantes na consolidação do setor privado em aéreas de política social, inflando a pressão por privatização que tenderá a se acentuar nos próximos anos.","ABSTRACT The article analyzes the social policies developed in Brazil by the Lula and Dilma governments (2003-2016). The focus is the Social Security and the access to higher education policies, presented and analyzed in four parts. The first is dedicated to the Bolsa Família Program, considered the flagship of PT&#8217;s social programs. The second part deals with Social Security and the policy of valorization of the minimum wage; the third examines aspects of Health and the Unified Health System (SUS) and the fourth addresses the policy of access to higher education. It is concluded that the social policies carried out by the Lula and Dilma governments have a twofold character. On the one hand, they have undoubtedly been a step forward, improving living and reproductive conditions in the poorest parts of the country, especially because of the Bolsa Família Program, the valuation of the minimum wage and, to a smaller part, access to education. On the other hand, it can be seen that the path or instruments chosen for this improvement was income or wages, and the secular structures that generate poverty and inequality in the country are generally unchanged. At the same time, such governments were decisive in consolidating the private sector in social policy areas, inflating the pressure for privatization that will tend to intensify in the coming years.",Public Policy/Administration,qualitative,essayistic,Brazil,,"This article provides a qualitative policy review ('balanço') of social policies under the Lula and Dilma governments (2003-2016), covering Bolsa Família, social security, minimum wage, health (SUS), and higher education access. It contains no tables, figures, or equations, and employs no quantitative methods, statistical analysis, or causal research design. The analysis is essayistic, drawing on secondary sources and policy documents to argue that these governments improved conditions for the poorest via income transfers while leaving structural causes of poverty unchanged and consolidating private sector roles in social policy.",FALSE,FALSE,S0101-31572018000300526.json,single_region_invalid,no_change_manual
pending,,,,,S0101-31572018000300526,effort_to_explore_mechanisms,0101-3157,Brazilian Journal of Political Economy,TRUE,FALSE,TRUE,out_of_scope_economics,excluded_journal_queue,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,Mechanism-exploration level cannot be inferred safely from a logical value.,Marque No Mention se não houver mecanismos; Mentioned But Not Explored se só menciona; Substantial Exploration se analisa mecanismos.,none,Governos Lula e Dilma em matéria de seguridade social e acesso à educação superior,ROSA MARIA MARQUES; SALOMÃO BARROS XIMENES; CAMILA KIMIE UGINO,2018,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572018000300526&lng=pt,"RESUMO O artigo faz um balanço das políticas sociais desenvolvidas no Brasil pelos governos Lula e Dilma (2003 - 2016). Nosso enfoque são as políticas de Seguridade Social e de acesso à educação superior, cuja apresentação e análise fazemos em quatro partes. A primeira é dedicada ao Programa Bolsa Família, considerado o carro-chefe dos programas sociais do PT. A segunda parte trata da Previdência Social e da política de valorização do salário mínimo; a terceira analisa aspectos da Saúde e do Sistema Único de Saúde (SUS) e a quarta aborda a política de acesso à educação superior. Conclui-se que as políticas sociais realizadas pelos governos Lula e Dilma apresentam um duplo caráter. De um lado, não há dúvida de que constituíram um avanço, melhorando as condições de vida e de reprodução das parcelas mais pobres do país, sobretudo por conta do Programa Bolsa Família, da valorização do salário mínimo e, para uma menor parcela, do acesso à educação superior gratuita. De outro lado, percebe-se que a via ou o instrumento eleito para que essa melhora ocorresse foi a renda ou o salário, mantendo-se, em geral, sem alteração as estruturas seculares que geram a pobreza e a desigualdade no país. Ao mesmo tempo, tais governos foram determinantes na consolidação do setor privado em aéreas de política social, inflando a pressão por privatização que tenderá a se acentuar nos próximos anos.","ABSTRACT The article analyzes the social policies developed in Brazil by the Lula and Dilma governments (2003-2016). The focus is the Social Security and the access to higher education policies, presented and analyzed in four parts. The first is dedicated to the Bolsa Família Program, considered the flagship of PT&#8217;s social programs. The second part deals with Social Security and the policy of valorization of the minimum wage; the third examines aspects of Health and the Unified Health System (SUS) and the fourth addresses the policy of access to higher education. It is concluded that the social policies carried out by the Lula and Dilma governments have a twofold character. On the one hand, they have undoubtedly been a step forward, improving living and reproductive conditions in the poorest parts of the country, especially because of the Bolsa Família Program, the valuation of the minimum wage and, to a smaller part, access to education. On the other hand, it can be seen that the path or instruments chosen for this improvement was income or wages, and the secular structures that generate poverty and inequality in the country are generally unchanged. At the same time, such governments were decisive in consolidating the private sector in social policy areas, inflating the pressure for privatization that will tend to intensify in the coming years.",Public Policy/Administration,qualitative,essayistic,Brazil,,"This article provides a qualitative policy review ('balanço') of social policies under the Lula and Dilma governments (2003-2016), covering Bolsa Família, social security, minimum wage, health (SUS), and higher education access. It contains no tables, figures, or equations, and employs no quantitative methods, statistical analysis, or causal research design. The analysis is essayistic, drawing on secondary sources and policy documents to argue that these governments improved conditions for the poorest via income transfers while leaving structural causes of poverty unchanged and consolidating private sector roles in social policy.",FALSE,FALSE,S0101-31572018000300526.json,effort_to_explore_mechanisms_invalid,no_change_manual
pending,,,,,S0101-31572019000100039,general_goal_of_analysis,0101-3157,Brazilian Journal of Political Economy,TRUE,FALSE,TRUE,out_of_scope_economics,excluded_journal_queue,Describe | Predict | Explain | <NULL>,Describe | Predict | Explain | <NULL>,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,Explain the operation of Brazil's golden rule (fiscal rule) and evaluate its performance based on its characteristics and international experience,<NULL>,Free-text goal cannot be mapped safely to Describe/Predict/Explain.,Escolha Describe/Predict/Explain só se o objetivo analítico estiver claro; caso contrário use <NULL>.,none,Uma análise da regra de ouro no Brasil,MANOEL PIRES,2019,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572019000100039&lng=pt,RESUMO O conjunto de regras fiscais define a operacionalização da política fiscal e como seus objetivos devem ser alcançados. Este artigo tem como objetivo explicar o funcionamento da regra de ouro brasileira e fazer uma avaliação do seu desempenho com base nas suas características e na experiência internacional.,ABSTRACT Fiscal rules specify the way fiscal policy will achieve their goals. This paper explains the operation of Golden rule in Brazil and evaluates whether the main goals have been achieved looking for its attributes and for the international experience.,Public Policy/Administration,qualitative,essayistic,Brazil,,"This is a descriptive institutional analysis of Brazil's fiscal golden rule. The paper explains how the rule operates and evaluates it against international experience (UK, Germany). It contains no tables, figures, or equations, no statistical analysis, no regression models, and only 14 references across 12 pages. It is an essayistic policy evaluation piece, not a quantitative empirical study.","""Explain the operation of Brazil's golden rule (fiscal rule) and evaluate its performance based on its characteristics and international experience""",null,S0101-31572019000100039.json,general_goal_of_analysis_invalid,text_to_null_manual
pending,,,,,S0101-31572019000100039,single_region,0101-3157,Brazilian Journal of Political Economy,TRUE,FALSE,TRUE,out_of_scope_economics,excluded_journal_queue,single_region | multiple_region | <NULL>,single_region | multiple_region | <NULL>,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,Cannot infer regional scope safely from this value.,Use single_region/multiple_region apenas para escopo regional claro; <NULL> se não aplicável.,none,Uma análise da regra de ouro no Brasil,MANOEL PIRES,2019,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572019000100039&lng=pt,RESUMO O conjunto de regras fiscais define a operacionalização da política fiscal e como seus objetivos devem ser alcançados. Este artigo tem como objetivo explicar o funcionamento da regra de ouro brasileira e fazer uma avaliação do seu desempenho com base nas suas características e na experiência internacional.,ABSTRACT Fiscal rules specify the way fiscal policy will achieve their goals. This paper explains the operation of Golden rule in Brazil and evaluates whether the main goals have been achieved looking for its attributes and for the international experience.,Public Policy/Administration,qualitative,essayistic,Brazil,,"This is a descriptive institutional analysis of Brazil's fiscal golden rule. The paper explains how the rule operates and evaluates it against international experience (UK, Germany). It contains no tables, figures, or equations, no statistical analysis, no regression models, and only 14 references across 12 pages. It is an essayistic policy evaluation piece, not a quantitative empirical study.",FALSE,FALSE,S0101-31572019000100039.json,single_region_invalid,no_change_manual
pending,,,,,S0101-31572019000100039,effort_to_explore_mechanisms,0101-3157,Brazilian Journal of Political Economy,TRUE,FALSE,TRUE,out_of_scope_economics,excluded_journal_queue,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,Mechanism-exploration level cannot be inferred safely from a logical value.,Marque No Mention se não houver mecanismos; Mentioned But Not Explored se só menciona; Substantial Exploration se analisa mecanismos.,none,Uma análise da regra de ouro no Brasil,MANOEL PIRES,2019,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572019000100039&lng=pt,RESUMO O conjunto de regras fiscais define a operacionalização da política fiscal e como seus objetivos devem ser alcançados. Este artigo tem como objetivo explicar o funcionamento da regra de ouro brasileira e fazer uma avaliação do seu desempenho com base nas suas características e na experiência internacional.,ABSTRACT Fiscal rules specify the way fiscal policy will achieve their goals. This paper explains the operation of Golden rule in Brazil and evaluates whether the main goals have been achieved looking for its attributes and for the international experience.,Public Policy/Administration,qualitative,essayistic,Brazil,,"This is a descriptive institutional analysis of Brazil's fiscal golden rule. The paper explains how the rule operates and evaluates it against international experience (UK, Germany). It contains no tables, figures, or equations, no statistical analysis, no regression models, and only 14 references across 12 pages. It is an essayistic policy evaluation piece, not a quantitative empirical study.",FALSE,FALSE,S0101-31572019000100039.json,effort_to_explore_mechanisms_invalid,no_change_manual
done,Describe,Descreve renda básica,Manoel,2026-06-01,S0101-31572020000300566,general_goal_of_analysis,0101-3157,Brazilian Journal of Political Economy,TRUE,FALSE,TRUE,out_of_scope_economics,excluded_journal_queue,Describe | Predict | Explain | <NULL>,Describe | Predict | Explain | <NULL>,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,"Describe and advocate for Universal Basic Income policy, tracing Brazil's pioneering legislation and highlighting positive experiences in Kenya and Maricá (RJ)",<NULL>,Free-text goal cannot be mapped safely to Describe/Predict/Explain.,Escolha Describe/Predict/Explain só se o objetivo analítico estiver claro; caso contrário use <NULL>.,none,A renda básica de cidadania e Quênia,Eduardo Matarazzo Suplicy; Mônica Dallari,2020,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572020000300566&lng=pt,"RESUMO O Brasil foi o primeiro país do mundo a aprovar lei para instituir, por etapas, uma Renda Básica de Cidadania. Em 1991 apresentei o Projeto para instituir o Programa de Garantia de Renda Mínima. Mais e mais no mundo, há um interesse pela Renda Básica Universal (RBU), com muitas experiências. Dentre elas, as do Quênia. Os resultados de se pagar 22 dólares mensais para os de 18 anos ou mais das vilas rurais tem sido altamente positivos. Maricá (RJ), que pagou para um terço da população, 130 reais mensais a partir de agosto/2019, pagará a RBC para toda a população, 153 mil habitantes, a partir de 2021.","ABSTRACT Brazil is the first national in the world to approve a law to institute, step by step, a Citizen&#8217;s Basic Income. In 1991, I presented a Guaranteed Minimum Income proposal. More and more in the world, there is growing interest and experiences. Among them, in Kenia. The results of paying a Universal Basic Income to all adults with 18 years or more in rural villages are very positive. Maricá (RJ) has started to pay 33 dollars per month to one third of the population last August. By 2021, the Universal Basic Income (UBI) will be paid to all inhabitants.",Public Policy/Administration,theoretical-normative,essayistic,Brazil; Kenya,,"The article is an essayistic, advocacy-oriented piece describing the history and evolution of Universal Basic Income legislation in Brazil and positive experiences in Kenya and Maricá (RJ). It contains no tables, figures, equations, or quantitative analysis. It is primarily normative and descriptive, arguing in favor of UBI adoption, and does not employ any systematic empirical research design.","""Describe and advocate for Universal Basic Income policy, tracing Brazil's pioneering legislation and highlighting positive experiences in Kenya and Maricá (RJ)""",null,S0101-31572020000300566.json,general_goal_of_analysis_invalid,text_to_null_manual
done,No Mention of Mechanisms/Channels,Texto descritivo,Manoel,2026-06-01,S0101-31572020000300566,effort_to_explore_mechanisms,0101-3157,Brazilian Journal of Political Economy,TRUE,FALSE,TRUE,out_of_scope_economics,excluded_journal_queue,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,No Mention of Mechanisms/Channels | Mechanisms/Channels Mentioned But Not Explored | Mechanisms/Channels Mentioned With Substantial Exploration | <NULL>,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,Mechanism-exploration level cannot be inferred safely from a logical value.,Marque No Mention se não houver mecanismos; Mentioned But Not Explored se só menciona; Substantial Exploration se analisa mecanismos.,none,A renda básica de cidadania e Quênia,Eduardo Matarazzo Suplicy; Mônica Dallari,2020,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572020000300566&lng=pt,"RESUMO O Brasil foi o primeiro país do mundo a aprovar lei para instituir, por etapas, uma Renda Básica de Cidadania. Em 1991 apresentei o Projeto para instituir o Programa de Garantia de Renda Mínima. Mais e mais no mundo, há um interesse pela Renda Básica Universal (RBU), com muitas experiências. Dentre elas, as do Quênia. Os resultados de se pagar 22 dólares mensais para os de 18 anos ou mais das vilas rurais tem sido altamente positivos. Maricá (RJ), que pagou para um terço da população, 130 reais mensais a partir de agosto/2019, pagará a RBC para toda a população, 153 mil habitantes, a partir de 2021.","ABSTRACT Brazil is the first national in the world to approve a law to institute, step by step, a Citizen&#8217;s Basic Income. In 1991, I presented a Guaranteed Minimum Income proposal. More and more in the world, there is growing interest and experiences. Among them, in Kenia. The results of paying a Universal Basic Income to all adults with 18 years or more in rural villages are very positive. Maricá (RJ) has started to pay 33 dollars per month to one third of the population last August. By 2021, the Universal Basic Income (UBI) will be paid to all inhabitants.",Public Policy/Administration,theoretical-normative,essayistic,Brazil; Kenya,,"The article is an essayistic, advocacy-oriented piece describing the history and evolution of Universal Basic Income legislation in Brazil and positive experiences in Kenya and Maricá (RJ). It contains no tables, figures, equations, or quantitative analysis. It is primarily normative and descriptive, arguing in favor of UBI adoption, and does not employ any systematic empirical research design.",FALSE,FALSE,S0101-31572020000300566.json,effort_to_explore_mechanisms_invalid,no_change_manual
pending,,,,,S0101-31572020000400669,general_goal_of_analysis,1809-4538,Brazilian Journal of Political Economy,TRUE,FALSE,TRUE,out_of_scope_economics,excluded_journal_queue,Describe | Predict | Explain | <NULL>,Describe | Predict | Explain | <NULL>,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,"Literature review of empirical studies on the effects of capital account liberalization on economic growth and financial instability, arguing that orthodox ex ante theoretical m...",<NULL>,Free-text goal cannot be mapped safely to Describe/Predict/Explain.,Escolha Describe/Predict/Explain só se o objetivo analítico estiver claro; caso contrário use <NULL>.,none,Liberalização da conta financeira e seus efeitos sobre crescimento econômico e instabilidade financeira: os modelos ortodoxos exante estavam errados,DIEGO GARCIA ANGELICO; GIULIANO CONTENTO DE OLIVEIRA,2020,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572020000400669&lng=pt,"RESUMO As crises financeiras nas economias emergentes durante os anos 1990 e 2000 impulsionaram a academia e as instituições multilaterais a investigar se os benefícios prometidos pela abertura financeira estavam sendo observados. No decorrer de estudos empíricos sobre o tema, diversos pressupostos teóricos formulados exante sobre globalização financeira foram desmistificados, e diversos riscos e disfunções até então desconhecidos começaram a ficar evidentes. Este artigo analisa os principais estudos empíricos mainstream sobre os efeitos da globalização financeira publicados nas últimas duas décadas e mostra que os principais pressupostos convencionais que foram formulados para sustentar teoricamente os processos de liberalização da conta financeira que ocorreram ao longo dos anos 1980 e 1990 estavam equivocados.","ABSTRACT The financial crises in emerging economies during the 1990s and 2000s propelled academia and multilateral institutions to investigate whether the promised benefits of capital account liberalization were being delivered or not. In the course of empirical studies on the subject, many ex ante theoretical assumptions on financial globalization were demystified, and previously unknown risks and dysfunctions began to be evidenced. This article analyzes the main empirical studies on the effects of financial globalization published in the last two decades and shows that the main conventional assumptions that were built to theoretically base the capital account liberalization processes that occurred in the 1980s and 1990s were wrong.",International Relations,qualitative,essayistic,,,"This is a literature review article that synthesizes and critiques existing mainstream empirical studies on the effects of capital account liberalization on economic growth and financial instability. It does not conduct any original quantitative analysis — it contains zero tables, figures, or equations, and only 25 references across 20 pages. The article argues narratively that orthodox ex ante theoretical models underpinning financial liberalization in the 1980s-1990s were contradicted by subsequent empirical evidence. As a review essay without original data analysis or formal methodology, it is classified as essayistic and qualitative.","""Literature review of empirical studies on the effects of capital account liberalization on economic growth and financial instability, arguing that orthodox ex ante theoretical models were wrong""",null,S0101-31572020000400669.json,general_goal_of_analysis_invalid,text_to_null_manual
pending,,,,,S0101-31572020000400669,single_country_study,1809-4538,Brazilian Journal of Political Economy,TRUE,FALSE,TRUE,out_of_scope_economics,excluded_journal_queue,single_country | multiple_countries | <NULL>,single_country | multiple_countries | <NULL>,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,Cannot infer single vs multiple countries safely.,Use single_country para um país focal; multiple_countries para comparação cross-country; <NULL> se não aplicável.,none,Liberalização da conta financeira e seus efeitos sobre crescimento econômico e instabilidade financeira: os modelos ortodoxos exante estavam errados,DIEGO GARCIA ANGELICO; GIULIANO CONTENTO DE OLIVEIRA,2020,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572020000400669&lng=pt,"RESUMO As crises financeiras nas economias emergentes durante os anos 1990 e 2000 impulsionaram a academia e as instituições multilaterais a investigar se os benefícios prometidos pela abertura financeira estavam sendo observados. No decorrer de estudos empíricos sobre o tema, diversos pressupostos teóricos formulados exante sobre globalização financeira foram desmistificados, e diversos riscos e disfunções até então desconhecidos começaram a ficar evidentes. Este artigo analisa os principais estudos empíricos mainstream sobre os efeitos da globalização financeira publicados nas últimas duas décadas e mostra que os principais pressupostos convencionais que foram formulados para sustentar teoricamente os processos de liberalização da conta financeira que ocorreram ao longo dos anos 1980 e 1990 estavam equivocados.","ABSTRACT The financial crises in emerging economies during the 1990s and 2000s propelled academia and multilateral institutions to investigate whether the promised benefits of capital account liberalization were being delivered or not. In the course of empirical studies on the subject, many ex ante theoretical assumptions on financial globalization were demystified, and previously unknown risks and dysfunctions began to be evidenced. This article analyzes the main empirical studies on the effects of financial globalization published in the last two decades and shows that the main conventional assumptions that were built to theoretically base the capital account liberalization processes that occurred in the 1980s and 1990s were wrong.",International Relations,qualitative,essayistic,,,"This is a literature review article that synthesizes and critiques existing mainstream empirical studies on the effects of capital account liberalization on economic growth and financial instability. It does not conduct any original quantitative analysis — it contains zero tables, figures, or equations, and only 25 references across 20 pages. The article argues narratively that orthodox ex ante theoretical models underpinning financial liberalization in the 1980s-1990s were contradicted by subsequent empirical evidence. As a review essay without original data analysis or formal methodology, it is classified as essayistic and qualitative.",FALSE,FALSE,S0101-31572020000400669.json,single_country_study_invalid,no_change_manual
pending,,,,,S0101-31572020000400669,single_region,1809-4538,Brazilian Journal of Political Economy,TRUE,FALSE,TRUE,out_of_scope_economics,excluded_journal_queue,single_region | multiple_region | <NULL>,single_region | multiple_region | <NULL>,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,Cannot infer regional scope safely from this value.,Use single_region/multiple_region apenas para escopo regional claro; <NULL> se não aplicável.,none,Liberalização da conta financeira e seus efeitos sobre crescimento econômico e instabilidade financeira: os modelos ortodoxos exante estavam errados,DIEGO GARCIA ANGELICO; GIULIANO CONTENTO DE OLIVEIRA,2020,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572020000400669&lng=pt,"RESUMO As crises financeiras nas economias emergentes durante os anos 1990 e 2000 impulsionaram a academia e as instituições multilaterais a investigar se os benefícios prometidos pela abertura financeira estavam sendo observados. No decorrer de estudos empíricos sobre o tema, diversos pressupostos teóricos formulados exante sobre globalização financeira foram desmistificados, e diversos riscos e disfunções até então desconhecidos começaram a ficar evidentes. Este artigo analisa os principais estudos empíricos mainstream sobre os efeitos da globalização financeira publicados nas últimas duas décadas e mostra que os principais pressupostos convencionais que foram formulados para sustentar teoricamente os processos de liberalização da conta financeira que ocorreram ao longo dos anos 1980 e 1990 estavam equivocados.","ABSTRACT The financial crises in emerging economies during the 1990s and 2000s propelled academia and multilateral institutions to investigate whether the promised benefits of capital account liberalization were being delivered or not. In the course of empirical studies on the subject, many ex ante theoretical assumptions on financial globalization were demystified, and previously unknown risks and dysfunctions began to be evidenced. This article analyzes the main empirical studies on the effects of financial globalization published in the last two decades and shows that the main conventional assumptions that were built to theoretically base the capital account liberalization processes that occurred in the 1980s and 1990s were wrong.",International Relations,qualitative,essayistic,,,"This is a literature review article that synthesizes and critiques existing mainstream empirical studies on the effects of capital account liberalization on economic growth and financial instability. It does not conduct any original quantitative analysis — it contains zero tables, figures, or equations, and only 25 references across 20 pages. The article argues narratively that orthodox ex ante theoretical models underpinning financial liberalization in the 1980s-1990s were contradicted by subsequent empirical evidence. As a review essay without original data analysis or formal methodology, it is classified as essayistic and qualitative.",FALSE,FALSE,S0101-31572020000400669.json,single_region_invalid,no_change_manual
