pid,agent_id,prompt_version,model,run_timestamp,input_text_hash,source_file,raw_response_path,manifest_title,manifest_year,manifest_journal_title,error_in_raw_text,subfield,is_empirical_quant_paper,general_goal_of_analysis,single_country_study,single_region,countries_of_focus,paper_uses_survey_data,uses_original_dataset,seeks_determinants,main_causal_research_design,other_research_design,instrumental_variable_instrument,placebo_test,independent_variables,dependent_variables,main_variable_relationship,makes_explicit_causal_claim,makes_implicit_causal_claim,strong_non_causal_causal_qualification,sample_size,sample_size_quote,claims_any_statistically_significant_results,references_power_analysis,clearly_defined_explanatory_variable,clear_causal_quantity_of_interest,specifies_estimate_equations,discusses_threats_to_causality,statement_of_identification_assumptions_quote,statement_of_identification_assumptions,effort_to_explore_mechanisms,mentions_pre_registered_design_and_analysis_plan,evidence_type,method_status,brief_justification
S0011-52582018000200463,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,eb8cc8506e83f3f5a9d84520fb7912846bc83e57efe01a35dfe176841f0db3d2,data/processed/sample_xmls/S0011-52582018000200463.xml,,O Seguro Social e a Construção da Proteção do Trabalho no Brasil,2018,Dados,Missing/Corrupt,Public Policy/Administration,FALSE,Explain,single_country,,Brazil,no_survey_data,,FALSE,,,,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,qualitative,essayistic,"O XML não contém corpo integral; o resumo apresenta hipótese histórica sobre elites estatais, seguro social e proteção do trabalho no Brasil. Como o resumo não detalha coleta ou desenho, mantive método ensaístico e evidência qualitativa."
S0011-52582024000400209,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,333a3480364f81c6499e4f4ec2323a76e45108e52fbe37f443e45065ef57c293,data/processed/sample_xmls/S0011-52582024000400209.xml,,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,2024,Dados,Missing/Corrupt,Public Policy/Administration,TRUE,Explain,single_country,,Brazil,no_survey_data,structure_systematize,TRUE,Other,Diagnóstico regulatório com base original e tipologia analítica,,,"[{""variable_name"":""government policy preferences"",""variable_description"":""Preferências do governo em relação aos conteúdos das políticas públicas.""},{""variable_name"":""council resilience"",""variable_description"":""Resiliência dos conselhos segundo desenho institucional e inserção em comunidades de políticas.""}]","[{""variable_name"":""council deinstitutionalization effects"",""variable_description"":""Alcance das medidas do governo Bolsonaro sobre colegiados nacionais.""}]",,TRUE,FALSE,FALSE,103,"diagnóstico empírico da situação regulatória de 103 colegiados nacionais, a partir de base de dados original",,,TRUE,,,,,,Mechanisms/Channels Mentioned But Not Explored,,quantitative,explicit,"O XML não contém corpo integral; o resumo declara diagnóstico empírico de 103 colegiados nacionais com base de dados original. Classifiquei como análise quantitativa explicativa de política pública, usando desenho “Other” porque a estratégia é tipológica/regulatória e não um desenho causal clássico."
S0011-52582025000400220,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,69f60090f3d00f9da78a31becbf77aa0a2e67266f72a4c1af7a1aae0a43bc357,data/processed/sample_xmls/S0011-52582025000400220.xml,,O Jovem Claude Lefort entre Socialismo e Democracia: Uma Leitura Sociológica*,2025,Dados,Missing/Corrupt,Political Theory and Philosophy,FALSE,,,,,no_survey_data,,,,,,,,,,,,,,,,,,,,,,,,,theoretical-normative,essayistic,"O XML não contém corpo integral; o resumo problematiza trajetória e pensamento do jovem Claude Lefort. A classificação é de ensaio de teoria política e sociologia intelectual, sem análise empírica própria claramente declarada."
S0011-52582025000400228,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,e0ddcd908415cefb1bff060385974d2b8d35479689f205f151cb368126c2c1d3,data/processed/sample_xmls/S0011-52582025000400228.xml,,"José Maria Ibiapina, um Ultramontano Heterodoxo?*",2025,Dados,Missing/Corrupt,Political Theory and Philosophy,FALSE,Describe,single_country,,Brazil,no_survey_data,not_original,FALSE,,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,qualitative,explicit,"O XML não contém corpo integral; o resumo informa uso de fontes primárias e secundárias para discutir José Maria Ibiapina e o ultramontanismo. Classifiquei como análise qualitativa histórico-intelectual, sem desenho causal formal."
S0034-73292005000200008,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,a37ee45212e09e4ab05ed5e2e4eb0ea761278e466452f41ef4f8a312565e875e,data/processed/sample_xmls/S0034-73292005000200008.xml,,O Brasil e o Conselho de Segurança da Organização das Nações Unidas: dos anos 90 a 2002,2005,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,FALSE,Explain,single_country,,Brazil,no_survey_data,,FALSE,,,,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,qualitative,essayistic,"O XML não contém corpo integral; o resumo trata da aspiração brasileira a assento permanente no Conselho de Segurança da ONU. A análise é qualitativa e interpretativa, sem método empírico detalhado no resumo."
S0034-73292008000100004,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,15e68a36cf824c2d9081783c8c0cd6a3cc2e3326178a341142956e4b8a6e1809,data/processed/sample_xmls/S0034-73292008000100004.xml,,Aspectos da integração regional em defesa no Cone Sul,2008,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,FALSE,Explain,multiple_countries,,Brazil; Argentina,no_survey_data,,FALSE,,,,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,qualitative,essayistic,"O XML não contém corpo integral; o resumo avalia integração regional em defesa no Cone Sul e relações civil-militares. Classifiquei como análise qualitativa de relações internacionais, sem variáveis operacionalizadas no resumo."
S0034-73292009000100001,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,42cf83f2a2b5262ab19b181af85a43472d240609ed43878429ca274028043da2,data/processed/sample_xmls/S0034-73292009000100001.xml,,La Argentina y el Plan Marshall: promesas y realidades,2009,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,FALSE,Explain,multiple_countries,,Argentina; United States,no_survey_data,,FALSE,,,,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,qualitative,essayistic,"O XML não contém corpo integral; o resumo analisa relações entre Washington e Buenos Aires em torno do Plano Marshall. O material sustenta estudo histórico qualitativo, não análise quantitativa ou desenho causal identificado."
S0034-73292009000100007,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,8d10e48e942285c13f4ca50063799011570fee79e03e962afe345653f692153e,data/processed/sample_xmls/S0034-73292009000100007.xml,,Ordem e Justiça na sociedade internacional pós-11 de Setembro,2009,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,FALSE,,,,,no_survey_data,,,,,,,,,,,,,,,,,,,,,,,,,theoretical-normative,essayistic,"O XML não contém corpo integral; o resumo discute a Escola Inglesa e a sociedade internacional pós-11 de Setembro. Trata-se de ensaio teórico em Relações Internacionais, sem dados próprios."
S0034-73292010000300011,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,94206ea1df4f5d7364514125e959fd4b09ece194f7be830a9ae3f4ee550754c8,data/processed/sample_xmls/S0034-73292010000300011.xml,,Parceria global emergente: Brasil e China,2010,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,FALSE,,multiple_countries,,Brazil; China,no_survey_data,,,,,,,,,,,,,,,,,,,,,,,,,qualitative,essayistic,"O XML não contém corpo integral; o resumo discute a parceria estratégica Brasil-China no período Lula. Não há método empírico próprio declarado, então mantive classificação qualitativa ensaística."
S0034-73292011000200008,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,bc559a2534c16ec94d32d7070945f4e6f444fcd7f5a601024387f27666792029,data/processed/sample_xmls/S0034-73292011000200008.xml,,Brasil y la región: una potencia emergente y la integración regional sudamericana,2011,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,FALSE,,multiple_countries,,Brazil,no_survey_data,,,,,,,,,,,,,,,,,,,,,,,,,qualitative,essayistic,"O XML não contém corpo integral; o resumo aborda o papel internacional e regional do Brasil. O resumo não declara dados ou método, então classifiquei como ensaio qualitativo de política externa."
S0034-73292012000100003,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,a20fbde3a619b2cf6da119c609c4df92ecfdd7c4c6b6d9690fa20726111aaf04,data/processed/sample_xmls/S0034-73292012000100003.xml,,Ascenso y hegemonía: pensando a las potencias emergentes desde América del Sur,2012,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,FALSE,,,,,no_survey_data,,,,,,,,,,,,,,,,,,,,,,,,,theoretical-normative,essayistic,"O XML não contém corpo integral; o resumo apresenta discussão teórica sobre potências emergentes desde a América do Sul. Classifiquei como ensaio de Relações Internacionais, sem análise empírica própria sustentada pelo resumo."
S0034-73292012000300007,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,f410521c126874cd49966bce251d0ebfe8c1ede1ccfae31274318ab853bedad3,data/processed/sample_xmls/S0034-73292012000300007.xml,,Dilema de escolha: a resposta chinesa à mudança climática,2012,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,FALSE,Describe,single_country,,China,no_survey_data,,FALSE,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,qualitative,essayistic,"O XML não contém corpo integral; o resumo descreve políticas chinesas de mudança climática, impactos e respostas. Não há método empírico ou desenho causal declarado no resumo."
S0034-73292017000100203,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,55f710ac9649cc1f3f32a39e7ddff3afa346cdc7ef41761ed158eabea6f46249,data/processed/sample_xmls/S0034-73292017000100203.xml,,Brazilian Foreign Policy Towards Internet Governance,2017,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,FALSE,Explain,single_country,,Brazil,no_survey_data,,FALSE,,,,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,qualitative,essayistic,"O XML não contém corpo integral; o resumo interpreta a resposta brasileira às denúncias de Snowden e à governança da internet. Há argumento causal sobre redes de oficiais e ativistas, mas o método não é detalhado no resumo."
S0034-73292017000100218,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,e4ad611a32021fd4575e73570dc6f093dd8c8288e87b8ca352eef5285220f194,data/processed/sample_xmls/S0034-73292017000100218.xml,,Clashing frames: human rights and foreign policy in the Brazilian re-democratization process,2017,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,FALSE,Describe,single_country,,Brazil,no_survey_data,,,,,,,,,,,,,,,,,,,,,,,,,qualitative,essayistic,"O XML não contém corpo integral; o resumo trata do uso de direitos humanos na política externa brasileira no fim dos anos 1970. Classifiquei como análise qualitativa histórica, sem desenho causal explícito."
S0034-73292017000200207,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,44cbabe6db35c1ff37d75d323d204190c5962fa32e628169ff12a6e867a10edb,data/processed/sample_xmls/S0034-73292017000200207.xml,,Explaining Defense Cooperation With Process-tracing: the Brazilian Proposal for the Creation of UNASUR South American Defense Council,2017,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,FALSE,Explain,multiple_countries,,Brazil,no_survey_data,not_original,FALSE,Other,Process tracing em estudo de caso,,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,Mechanisms/Channels Mentioned With Substantial Exploration,,qualitative,explicit,"O XML não contém corpo integral; o resumo declara combinação de process tracing com estudo de caso para explicar a proposta brasileira do Conselho de Defesa Sul-Americano. Classifiquei como qualitativo causal com desenho “Other”, pois process tracing não está nas categorias fechadas do schema."
S0034-73292017000200208,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,3917864759115a74bc1fac654117fa818d42deb308e233ddd9785ff3cd93c6f9,data/processed/sample_xmls/S0034-73292017000200208.xml,,The Brazilian participation in UNIFIL: raising Brazil&#8217;s profile in international peace and security in the Middle East?,2017,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,FALSE,Describe,multiple_countries,,Brazil; Lebanon,no_survey_data,,,,,,,,,,,,,,,,,,,,,,,,,qualitative,essayistic,O XML não contém corpo integral; o resumo discute a participação brasileira na UNIFIL e suas implicações para política externa e defesa. Não há procedimento metodológico explícito no resumo.
S0034-73292021000200208,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,aca0e48b835577939e565ecfda303ee1abbe9cc153dcdd53d5c45b72a51e9718,data/processed/sample_xmls/S0034-73292021000200208.xml,,What doesn&#8217;t kill a norm makes it stronger? Brazil&#8217;s contestation of the responsibility to protect,2021,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,FALSE,Describe,single_country,,Brazil,no_survey_data,,,,,,,,,,,,,,,,,,,,,,,,,qualitative,essayistic,"O XML não contém corpo integral; o resumo analisa a contestação brasileira da responsabilidade de proteger com base em literatura de normas. Classifiquei como análise qualitativa/teórica de RI, sem dados próprios claros."
S0034-73292022000100205,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,341efbe0d839f3e53c1b5eb9456f7728ec2552c2c93226d5814fc72e04168220,data/processed/sample_xmls/S0034-73292022000100205.xml,,The space left for regional integration (or lack thereof): Structural causes of institutional fragmentation in Latin America (1991-2019),2022,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,TRUE,Explain,multiple_countries,,Brazil; China,no_survey_data,not_original,TRUE,Other,Comparação longitudinal de organizações regionais,,,"[{""variable_name"":""ties to China"",""variable_description"":""Crescimento dos vínculos da região com a China.""},{""variable_name"":""ties to Brazil"",""variable_description"":""Redução dos vínculos regionais com o Brasil.""}]","[{""variable_name"":""institutional fragmentation"",""variable_description"":""Fragmentação institucional em organizações regionais latino-americanas.""}]","[{""iv_var_name"":""ties to China"",""dv_var_name"":""institutional fragmentation"",""relationship_type"":""Positive"",""statistically_significant"":false,""substantively_significant"":true},{""iv_var_name"":""ties to Brazil"",""dv_var_name"":""institutional fragmentation"",""relationship_type"":""Negative"",""statistically_significant"":false,""substantively_significant"":true}]",TRUE,FALSE,TRUE,,,,,,,,,,,Mechanisms/Channels Mentioned But Not Explored,,quantitative,explicit,"O XML não contém corpo integral; o resumo declara hipóteses e comparação longitudinal de organizações regionais. Usei classificação quantitativa explicativa, mas marquei qualificação não causal forte porque o próprio resumo fala em associação para parte dos achados."
S0034-73292023000200502,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,4e6901a96b406a57605267eca57f5ce6a94da9068edec6c93a7a858fc39607b2,data/processed/sample_xmls/S0034-73292023000200502.xml,,Mercosur and Environment: progress in promoting the Sustainable Development Goals and the 2030 Agenda,2023,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,TRUE,Describe,multiple_countries,,,no_survey_data,structure_systematize,FALSE,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,mixed,explicit,"O XML não contém corpo integral; o resumo informa uso de dados quantitativos e qualitativos sobre incorporação dos ODS no Mercosul. Classifiquei como estudo misto descritivo em Relações Internacionais, sem claim causal principal."
S0034-73292025000200604,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,413bbe06762658e29923db9f23a8b855044a1fc509ce2d22c225eb35a994c13f,data/processed/sample_xmls/S0034-73292025000200604.xml,,Impact of China&#8211;Latin America Transportation Infrastructure Cooperation on Latin American Economies: A Project Data Study (2009&#8211;2023),2025,Revista Brasileira de Política Internacional,Missing/Corrupt,International Relations,TRUE,Describe,multiple_countries,,China,no_survey_data,procure_original_data,FALSE,Other,Estudo descritivo com dados de projetos,,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,quantitative,explicit,"O XML não contém corpo integral; o resumo declara análise de dados de projetos de cooperação em infraestrutura de transporte China-América Latina entre 2009 e 2023. Embora o título fale em impacto, o resumo não sustenta desenho de identificação causal, então usei “Other” e mantive a leitura conservadora."
S0034-76122006000100004,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,3d3ada221d10343d96604f477c44741840ea045aadf09bf2f744646964d1ee3d,data/processed/sample_xmls/S0034-76122006000100004.xml,,Articulação de políticas públicas a partir dos fóruns de competitividade setoriais: a experiência recente da cadeia produtiva têxtil e de confecções,2006,Revista de Administração Pública,Missing/Corrupt,Public Policy/Administration,FALSE,Describe,single_country,,Brazil,no_survey_data,,,,,,,,,,,,,,,,,,,,,,,,,qualitative,essayistic,"O XML não contém corpo integral; o resumo analisa a experiência do Fórum de Competitividade da cadeia têxtil e de confecções. Classifiquei como análise qualitativa de política pública, sem método explícito de coleta no resumo."
S0034-76122009000100006,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,3195e06bad438742f6716b9880ca012979f24400e4cc7f5c89a03b92fada74cf,data/processed/sample_xmls/S0034-76122009000100006.xml,,Redes de C&T em institutos públicos de pesquisa brasileiros: o caso do Instituto Agronômico do Paraná (Iapar),2009,Revista de Administração Pública,Missing/Corrupt,Public Policy/Administration,FALSE,Describe,single_country,single_region,Brazil,no_survey_data,field_study,FALSE,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,qualitative,explicit,"O XML não contém corpo integral; o resumo declara estudo de caso qualitativo, descritivo e seccional, com entrevistas semiestruturadas e pesquisa documental. Classifiquei como estudo qualitativo explícito sobre administração pública e C&T."
S0034-76122009000300003,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,b980b22a71b124769fb310d0c0f85434632a65166dbf2a55fb05d8e460990539,data/processed/sample_xmls/S0034-76122009000300003.xml,,Exames de mamografia em Mato Grosso do Sul: análise da cobertura como componente de equidade,2009,Revista de Administração Pública,Missing/Corrupt,Public Policy/Administration,TRUE,Describe,single_country,single_region,Brazil,no_survey_data,not_original,FALSE,,,,,,,,,,,77,Foram analisados os 77 municípios do estado de Mato Grosso do Sul.,,,,,,,,,,,quantitative,explicit,"O XML não contém corpo integral; o resumo declara estudo com dados secundários sobre todos os 77 municípios de Mato Grosso do Sul. Classifiquei como análise quantitativa descritiva de cobertura de mamografia, sem claim causal."
S0034-76122009000600006,agent_a,agent_a_v1+common_schema_v1,codex_subagent_inherited,2026-06-03T20:55:47Z,c539babf26f82fca0a8e8308fefd975bc949aa981e1247d628ca95de54098ee4,data/processed/sample_xmls/S0034-76122009000600006.xml,,Accountability: já podemos traduzi-la para o português?,2009,Revista de Administração Pública,Missing/Corrupt,Public Policy/Administration,FALSE,Describe,single_country,,Brazil,no_survey_data,not_original,FALSE,,,,,,,,,,,,,,,,,,,,,,,qualitative,explicit,"O XML não contém corpo integral; o resumo descreve estudo exploratório, analítico e descritivo com abordagem qualitativa sobre accountability no Brasil. Não há análise quantitativa nem desenho causal no resumo."
