pid,title,journal_title,journal_area,year,period_3,eligible_order,credibility_revolution_method_present,method_type,causal_design_quote,tough_call_reason,method_class
S1981-38212012000200004,What is the Best Strategy to Obtain Legislative Support?: Survey Evidence from Brazilian State Assemblies,Brazilian Political Science Review,Ciência Política,2012,2012-2018,56,FALSE,observational_regression_with_causal_claim_no_design,NA,"The article uses explanatory and effect language with multinomial logit, controls, state fixed effects, bootstrap, and confidence intervals, but it does not articulate a design-based causal identification strategy. Therefore it passes the statistical-modeling screen but should not be counted as a credibility-revolution method.",diagnostic_not_design
S1981-38212013000100003,Investigating elite behavior through field experiment in Brazil: do candidates answer more to core or swing voters?,Brazilian Political Science Review,Ciência Política,2013,2012-2018,58,TRUE,experiment_field,This article is based on a field experiment conducted in the context of the 2008 Brazilian municipal election.,NA,strict_design_method
S1981-38212013000300003,Mapping and explaining the use of the left-right divide,Brazilian Political Science Review,Ciência Política,2013,2012-2018,68,FALSE,observational_regression_with_causal_claim_no_design,NA,NA,diagnostic_not_design
S1981-38212014000100002,"A study on the impact of campaign finance, political capital and gender on electoral performance",Brazilian Political Science Review,Ciência Política,2014,2012-2018,74,FALSE,observational_regression_with_causal_claim_no_design,"We used logistic regression to test for a positive and significant association between campaign finance and performance in the 2010 elections for state and federal deputies, controlling by gender, incumbency and by the interaction terms","The article repeatedly uses impact and effect language, but the empirical strategy is observational logistic regression with controls and interactions, without an explicit design-based causal identification strategy. Therefore it is screened but not classified as using a credibility-revolution method.",diagnostic_not_design
S1981-38212014000200070,Flying in Clear Skies: Technical Arguments Influencing ANAC Regulations,Brazilian Political Science Review,Ciência Política,2014,2012-2018,81,FALSE,observational_regression_with_causal_claim_no_design,"""In the second model, we incorporate the variables that characterize the comments: technicality, economic, legal and regulatory. The results are quite interesting. The two commentator-type indicator variables lose significance and only the variable that indicates that the comment is technical proves to be statistically significant.""","The article uses content analysis of public-hearing comments and regulatory documents, which is qualitative material, but the substantive empirical presentation is mainly quantitative coding and regression. I classify it as mixed because the authors explicitly conduct content analysis of comment contents to generate the empirical variables, while recognizing that the core analysis is statistical.",diagnostic_not_design
S1981-38212014000200094,A Comparative Analysis of Brazil's Foreign Policy Drivers Towards the USA: Comment on Amorim Neto (2011),Brazilian Political Science Review,Ciência Política,2014,2012-2018,82,FALSE,observational_regression_with_causal_claim_no_design,"The general model for this work can be summarized as:

Convergence in UNGA voting i,t = β 0 + β1 Unilateral Power i, t + β2 USA Power i, t + β3 Countries Power Gap i, t-1 + β4 FDI i, t + β5 International Monetary Fund loans i, t + β6 World Bank loans i, t + β8 Authoritarian Regime i, t + e i, t","The article uses causal and explanatory language with panel statistical models and model diagnostics, but it does not articulate a design-based identification strategy. Therefore it is screened for credibility-revolution methods but classified as observational regression with causal claim and no credibility-revolution design.",diagnostic_not_design
S1981-38212014000300098,Beyond Brazilian Coalition Presidentialism: the Appropriation of the Legislative Agenda,Brazilian Political Science Review,Ciência Política,2014,2012-2018,86,FALSE,none_detected,NA,"The article uses fuzzy-set QCA, a configurational set-theoretic method with coded variables and solution algorithms. It is clearly original quantitative/configurational analysis beyond descriptive statistics, but it is not a conventional statistical model and does not report conventional statistical inference or a credibility-revolution identification design.",diagnostic_not_design
S1981-38212015000100039,The Institutional Presidency from a Comparative Perspective: Argentina and Brazil since the 1980s,Brazilian Political Science Review,Ciência Política,2015,2012-2018,87,FALSE,observational_regression_with_causal_claim_no_design,NA,"The paper makes explanatory claims and uses statistical modeling, but it does not articulate a design-based causal identification strategy. The appropriate credibility classification is therefore observational regression with causal or explanatory claims but no credibility-revolution method.",diagnostic_not_design
S1981-38212015000100135,The Impacts of Conditional Cash Transfers in Four Presidential Elections (2002&#8211;2014),Brazilian Political Science Review,Ciência Política,2015,2012-2018,90,TRUE,matching_or_weighting,"This was done by matching beneficiaries to non-beneficiaries on gender, age, income, education, region, race (when available), and municipality's human development index (HDI-M) of respondents[3]. Matching was done using the genetic matching algorithm, developed by Diamond and Sekhon (2005).","The paper uses matching and generalized propensity score methods and explicitly frames estimates as BFP effects, supporting a credibility-revolution matching classification. However, it also acknowledges that Brazil lacks randomized pilots or sharp discontinuities and that the 2014 indirect-effect explanation is not directly tested, so causal attribution is qualified.",strict_design_method
S1981-38212015000200003,"State Transfers, Taxes and Income Inequality in Brazil",Brazilian Political Science Review,Ciência Política,2015,2012-2018,91,FALSE,observational_regression_with_causal_claim_no_design,"As the assumption that workers are randomly assigned between sectors is obviously not true, we tested three different specifications of our model.","The article uses counterfactual wage decomposition, selection models, and explanatory language about the State's contribution to inequality, but it explicitly lacks random assignment and does not provide a design-based causal identification strategy; therefore it is screened but not classified as using a credibility-revolution method.",diagnostic_not_design
S1981-38212015000200054,Corruption and Political Participation in the Americas and the Caribbean,Brazilian Political Science Review,Ciência Política,2015,2012-2018,93,FALSE,observational_regression_with_causal_claim_no_design,"we use the fixed effects for the indicator variables for countries - not shown in the tables below, due to the space limitation","The article uses explanatory and effect language and argues that experience with corruption may indicate a relationship rather than a mere association, but the empirical strategy is observational logistic regression with controls, interactions, and country fixed effects, without an explicit credibility-revolution identification design or identification assumptions.",diagnostic_not_design
S1981-38212015000200081,Does the Electoral Rule Matter for Political Polarization? The Case of Brazilian Legislative Chambers,Brazilian Political Science Review,Ciência Política,2015,2012-2018,94,FALSE,observational_regression_with_causal_claim_no_design,"With the impossibility of a natural experiment, the identification strategy relies on the Brazilian electoral and legislative design.","The article uses explicit treatment/control and identification language, but the empirical strategy is an observational comparison using WNOMINATE ideal points and t-tests, with acknowledged selection issues and no listed credibility-revolution design or explicit modern causal identification method.",diagnostic_not_design
S1981-38212015000300003,Impact of Electronic Voting Machines on Blank Votes and Null Votes in Brazilian Elections in 1998,Brazilian Political Science Review,Ciência Política,2015,2012-2018,95,TRUE,difference_in_differences,"A simple way to ""isolate"" the effects of cities' socioeconomic levels is to compare the average amount of null and blank votes from 1998 to those from the same cities in the previous elections (1994), a technique known as difference-in-differences, or diff-in-diff.","The article explicitly uses difference-in-differences as a causal design, but presents the results as average percentage-point differences without regression output or uncertainty estimates. I therefore classify it as statistical modeling for the quantitative-analysis type because of the explicit DiD design, while coding statistical inference as absent.",strict_design_method
S1981-38212015000300042,The Capital Mistake: Local Information and National Electoral Reforms,Brazilian Political Science Review,Ciência Política,2015,2012-2018,96,FALSE,observational_regression_with_causal_claim_no_design,"Models were estimated by OLS and are presented below, in Table 04.","The article uses causal and explanatory language and includes fixed effects and robustness checks, but the empirical strategy is observational regression without a clearly articulated credibility-revolution identification design. I therefore screen it because it uses statistical modeling, but classify the credibility-revolution method as absent.",diagnostic_not_design
S1981-38212015000300116,Enlarging the Playing Field: Political Circulation of Brazilian Senators in the First Republic,Brazilian Political Science Review,Ciência Política,2015,2012-2018,99,FALSE,none_detected,NA,"The paper clearly contains original quantitative analysis, but the boundary between descriptive statistics only and bivariate tests is somewhat ambiguous because the body text reports standardized residuals and significant residuals without showing the underlying test details. I classify it as bivariate because standardized residuals are used analytically to assess association between periods and career categories.",diagnostic_not_design
S1981-38212016000100201,Modernization Without Change: Decision-Making Process in the Mercosur Parliament,Brazilian Political Science Review,Ciência Política,2016,2012-2018,100,FALSE,none_detected,NA,"The Banzhaf index is a deterministic game-theoretic voting-power calculation rather than conventional regression or inferential statistics. It goes beyond descriptive statistics, so it is classified under statistical_modeling as the closest available schema category, but it is not statistical inference or a credibility-revolution causal method.",diagnostic_not_design
S1981-38212016000100202,Elite Framing of Inequality in the Press: Brazil and Uruguay Compared,Brazilian Political Science Review,Ciência Política,2016,2012-2018,101,FALSE,none_detected,NA,"Most substantive quantitative analysis is descriptive content-analysis evidence, but the Coding section reports Cohen's Kappa with a p-value for original coding reliability; therefore the article is coded as bivariate_tests_or_correlations_only rather than descriptive_statistics_only.",diagnostic_not_design
S1981-38212016000200204,Does Size Matter? Electoral Performance of Small Parties in Brazil,Brazilian Political Science Review,Ciência Política,2016,2012-2018,110,FALSE,observational_regression_with_causal_claim_no_design,"""our aim is to verify whether the small parties exert any significant effect on electoral volatility""; ""we decided to estimate the effect of the SPs on electoral volatility and proportionality""","The article repeatedly uses effect language and statistical tests, but it does not articulate a design-based causal identification strategy. Cluster analysis and observational comparisons justify `statistical_modeling`, while the credibility-revolution method should not be counted as present.",diagnostic_not_design
S1981-38212016000200206,Unboxing the Active Role of the Legislative Power in Brazil,Brazilian Political Science Review,Ciência Política,2016,2012-2018,112,FALSE,none_detected,NA,"The main judgment concerns empirical evidence type: the article's results are predominantly quantitative summaries of coded provisions, but the coding itself depends on substantive legal-document analysis of bills, amendments, substitute bills, and vetoes. I classify it as mixed empirical because that documentary coding is integral to the empirical evidence, while noting that the reported analysis is mostly quantitative.",diagnostic_not_design
S1981-38212016000300201,Oversized Government Coalitions in Latin America,Brazilian Political Science Review,Ciência Política,2016,2012-2018,114,FALSE,observational_regression_with_causal_claim_no_design,"To estimate the probability of oversized coalitions being formed, Y i,t , in a country i for the year t, the basic model used is","The paper uses explanatory language and panel-style observational models with temporal controls, lags, fixed effects, mixed effects, and clustered standard errors, but it does not articulate a design-based identification strategy. Therefore it should be screened but not counted as a credibility-revolution method.",diagnostic_not_design
S1981-38212016000300203,"Personality, Political Attitudes and Participation in Protests: The Direct and Mediated Effects of Psychological Factors on Political Activism",Brazilian Political Science Review,Ciência Política,2016,2012-2018,116,FALSE,observational_regression_with_causal_claim_no_design,"""The standardization proposed by Baron and Kenny (1986) uses standard deviations of the observed variables for the OSL-based models, and the standard deviation of a latent measure for the binary variable involved in the analysis in the case of the logistic models.""","The paper repeatedly uses causal and mediation language, but the empirical strategy is observational regression-based mediation without an explicit design-based identification strategy or assumptions such as randomization, ignorability, DiD, IV, RDD, or matching. It should therefore be screened but not coded as a credibility-revolution method.",diagnostic_not_design
S1981-38212016000300204,Corporate Dependence in Brazil's 2010 Elections for Federal Deputy,Brazilian Political Science Review,Ciência Política,2016,2012-2018,117,FALSE,observational_regression_with_causal_claim_no_design,NA,"The article has explanatory hypotheses and a multivariate model, so it should be screened, but it does not articulate a design-based causal identification strategy; the proper classification is observational regression with causal/explanatory claims but no credibility-revolution method.",diagnostic_not_design
S1981-38212016000300206,Foreign aid and the governance of international financial organizations: the Brazilian-bloc case in the IMF and the World Bank,Brazilian Political Science Review,Ciência Política,2016,2012-2018,119,FALSE,observational_regression_with_causal_claim_no_design,"Subsequently, multivariate linear regressions were used, including the control variables.","The article uses causal language such as impact and influence and interprets OLS coefficients as effects, but the empirical design is observational cross-sectional regression with controls and no explicit design-based identification strategy. Therefore it is screened but not counted as a credibility-revolution method.",diagnostic_not_design
S1981-38212017000100201,"National Intelligence Systems as Networks: Power Distribution and Organizational Risk in Brazil, Russia, India, China, and South Africa",Brazilian Political Science Review,Ciência Política,2017,2012-2018,121,FALSE,none_detected,NA,"The quantitative analysis consists of network construction and centrality or centralization metrics rather than regression or inferential modeling. Because the schema treats network models as statistical modeling and the article analytically models intelligence systems as networks, it is classified as statistical_modeling, with no statistical inference and no credibility-revolution causal design.",diagnostic_not_design
S1981-38212017000200201,Leaders or Loners? How Do the BRICS Countries and their Regions Vote in the UN General Assembly,Brazilian Political Science Review,Ciência Política,2017,2012-2018,126,FALSE,none_detected,NA,"The article uses causal/explanatory language such as whether regional-power status generates cohesion, but the empirical strategy is ANOVA and affinity comparisons without a design-based causal identification strategy. The country-background sections are substantive but are literature-based framing rather than original qualitative evidence.",diagnostic_not_design
S1981-38212017000200203,Future electoral impacts of having a female mayor,Brazilian Political Science Review,Ciência Política,2017,2012-2018,128,TRUE,regression_discontinuity,"Our empirical strategy is to apply a sharp regression discontinuity approach in the same way as Lee, Moretti, and Butler (2004) and Lee (2008).",NA,strict_design_method
S1981-38212017000200204,Coalition Presidentialism in Bicameral Congresses: How does the Control of a Bicameral Majority Affect Coalition Survival?,Brazilian Political Science Review,Ciência Política,2017,2012-2018,129,FALSE,none_detected,NA,"The central classification ambiguity is that mvQCA is a formal configurational, set-theoretic method rather than conventional statistical modeling. Because the article uses coded variables, truth tables, necessity and sufficiency tests, minimization, formulas, coverage, and software-based analysis to test hypotheses, it is classified as quantitative analysis beyond descriptive statistics, with no statistical inference and no credibility-revolution identification design.",diagnostic_not_design
S1981-38212017000200205,"Accountability, Corruption and Local Government: Mapping the Control Steps",Brazilian Political Science Review,Ciência Política,2017,2012-2018,130,FALSE,observational_regression_with_causal_claim_no_design,the survival analysis aims to understand which factors could influence the speed of the web in processing irregularities,"The Lottery Program randomly selects municipalities and the article uses explanatory language, logistic regressions, and survival analysis, but the random audit selection is not used as a causal identification design and no credibility-revolution method or identification assumption is presented.",diagnostic_not_design
S1981-38212017000300202,Politics on the Web: Using Twitter to Estimate the Ideological Positions of Brazilian Representatives,Brazilian Political Science Review,Ciência Política,2017,2012-2018,134,FALSE,none_detected,NA,"The article contains explanatory interpretations of why PT and PSDB are distant in Twitter networks and uses Bayesian statistical modeling, but the empirical design is a measurement/validation exercise rather than a causal identification design. The qualitative contextual discussion also does not amount to a standalone qualitative empirical component.",diagnostic_not_design
S1981-38212018000100200,Expert-Driven and Citational Approaches to Assessing Journal Publications of Brazilian Political Scientists,Brazilian Political Science Review,Ciência Política,2018,2012-2018,137,FALSE,observational_regression_with_causal_claim_no_design,ordered logistic regressions were estimated to examine the extent to which systematic factors affect the likelihood of a specific journal being classified by Qualis into each of the eight possible categories,"The article uses explanatory language about factors influencing Qualis scores and ordered logistic regressions, but it provides no design-based causal identification strategy; therefore it is screened for credibility-revolution methods but classified as observational regression with causal or explanatory claims and no credibility-revolution design.",diagnostic_not_design
S1981-38212018000100201,Socialization and Political Regimes: the Impact of Generation on Support for Democracy in Latin America,Brazilian Political Science Review,Ciência Política,2018,2012-2018,138,FALSE,observational_regression_with_causal_claim_no_design,"As the democratic legacy and the authoritarian legacy are contextual variables, we estimate multilevel logistic models for the 17 Latin American countries.",NA,diagnostic_not_design
S1981-38212018000200200,Strategic Coalitions and Agenda-Setting in Fragmented Congresses: How the PRI Sets the Legislative Agenda in Mexico,Brazilian Political Science Review,Ciência Política,2018,2012-2018,143,FALSE,observational_regression_with_causal_claim_no_design,NA,"The article uses Probit regressions and modeled ideal points, so it is statistical modeling, but it does not clearly report conventional statistical inference in the body. It also makes explanatory claims from observational case-study evidence without a credibility-revolution identification design.",diagnostic_not_design
S1981-38212018000200204,Preparing the Terrain: Conditioning Factors for the Regionalization of the Vote for Federal Deputy in São Paulo,Brazilian Political Science Review,Ciência Política,2018,2012-2018,147,FALSE,observational_regression_with_causal_claim_no_design,The model used the standardized difference in HC means between candidate 'i' in region 'r' in year 'a' and the overall mean HC for all candidates in the same year in the same region as the dependent variable.,NA,diagnostic_not_design
S1981-38212018000200205,Affirmative Action Attitudes of Whites: Evidence from a List Experiment Survey in Brazil,Brazilian Political Science Review,Ciência Política,2018,2012-2018,148,TRUE,experiment_survey,"The list experiment embedded in the survey randomly assigned respondents to a baseline group, the control group or the treatment group.",NA,strict_design_method
S1981-38212018000200205,Affirmative Action Attitudes of Whites: Evidence from a List Experiment Survey in Brazil,Brazilian Political Science Review,Ciência Política,2018,2012-2018,148,TRUE,experiment_list,"The list experiment embedded in the survey randomly assigned respondents to a baseline group, the control group or the treatment group.",NA,strict_design_method
S1981-38212019000100203,"Political Institutions and the Legislative Success of Brazilian Presidents: an Analysis of the Cardoso, Lula and Rousseff Governments",Brazilian Political Science Review,Ciência Política,2019,2019-2025,157,FALSE,observational_regression_with_causal_claim_no_design,a logistic regression model with random effects was used,"The article uses explanatory language and logistic regression, but it provides no design-based causal identification strategy. I therefore classify it as statistical modeling with observational causal/explanatory claims, not as a credibility-revolution method.",diagnostic_not_design
S1981-38212019000100204,"Capital Mobility, Veto Players, and Redistribution in Latin America During the Left Turn",Brazilian Political Science Review,Ciência Política,2019,2019-2025,158,FALSE,observational_regression_with_causal_claim_no_design,we estimate time-series-cross-section (TSCS) regression models of overall social spending as percentage of the Gross Domestic Product (GDP).,"The article makes causal and explanatory claims and uses TSCS regression with random/fixed effects and robust standard errors, but it does not articulate a design-based identification strategy. Therefore it should be screened because it uses statistical modeling, but the credibility-revolution method is absent and best coded as observational regression with a causal claim but no design.",diagnostic_not_design
S1981-38212019000100205,Juvenile Sentencing: A Mixed-Methods Approach,Brazilian Political Science Review,Ciência Política,2019,2019-2025,159,FALSE,observational_regression_with_causal_claim_no_design,"This model obviously does not claim causality, as it would have to assume selection on observables, which is a very strong assumption.","The article repeatedly frames the design as contributing to causal inference and mechanism explanation, but its own quantitative model is observational regression and explicitly disclaims causal identification. Therefore it should be screened because it uses statistical modeling and explanatory claims, but no credibility-revolution method is present.",diagnostic_not_design
S1981-38212019000200201,Programs and Parties: Rethinking Electoral Competition Through Analysis of Brazilian 'Grotões',Brazilian Political Science Review,Ciência Política,2019,2019-2025,162,FALSE,none_detected,NA,"The article uses a statistical text model and a Poisson framework, which clearly makes it statistical modeling, but it does not report standard errors, p-values, confidence intervals, or equivalent uncertainty quantities in the provided text; therefore statistical inference is coded false. The qualitative component is also present but secondary to the quantitative text analysis.",diagnostic_not_design
S1981-38212019000200202,Migrant Remittances and Rights to Physical Integrity: A Cross-section Study of Latin America (1981-2014),Brazilian Political Science Review,Ciência Política,2019,2019-2025,163,TRUE,instrumental_variables,"Therefore, an econometric approach based on instrumental variables is in order.",NA,strict_design_method
S1981-38212019000200205,"Here Today, Gone Tomorrow - Political Ambition, Coalitions, and Accountability as Determinants of Ministerial Turnover in the Brazilian Multiparty Presidential System",Brazilian Political Science Review,Ciência Política,2019,2019-2025,166,FALSE,observational_regression_with_causal_claim_no_design,"survival analysis will be used as a statistical tool, with minister tenure expressed in days","The paper uses strong explanatory and impact language with multivariate survival models and an interaction, but it does not provide a design-based causal identification strategy; therefore it should be screened but not counted as a credibility-revolution method.",diagnostic_not_design
