pid,title,journal_title,journal_area,year,period_3,credibility_revolution_screen_applicable,credibility_revolution_method_present,method_type,causal_design_quote,tough_call,method_class
S1981-38212019000100205,Juvenile Sentencing: A Mixed-Methods Approach,Brazilian Political Science Review,Ciência Política,2019,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"This model obviously does not claim causality, as it would have to assume selection on observables, which is a very strong assumption.",TRUE,diagnostic_not_design
S1981-38212019000200201,Programs and Parties: Rethinking Electoral Competition Through Analysis of Brazilian 'Grotões',Brazilian Political Science Review,Ciência Política,2019,2019-2025,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212019000200202,Migrant Remittances and Rights to Physical Integrity: A Cross-section Study of Latin America (1981-2014),Brazilian Political Science Review,Ciência Política,2019,2019-2025,TRUE,TRUE,instrumental_variables,"Therefore, an econometric approach based on instrumental variables is in order.",FALSE,strict_design_method
S1981-38212019000200205,"Here Today, Gone Tomorrow - Political Ambition, Coalitions, and Accountability as Determinants of Ministerial Turnover in the Brazilian Multiparty Presidential System",Brazilian Political Science Review,Ciência Política,2019,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"survival analysis will be used as a statistical tool, with minister tenure expressed in days",TRUE,diagnostic_not_design
S1981-38212019000300200,The World Cup and Presidential Popularity in Brazil,Brazilian Political Science Review,Ciência Política,2019,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"Unfortunately, the quantitative analyses do not completely elucidate the most probable direction of causality, and there are no additional data that would allow us to solve this problem.",TRUE,diagnostic_not_design
S1981-38212019000300201,Clientelism and Local Politics: Interactions Between Municipal Councilors and Voters in the State of Minas Gerais,Brazilian Political Science Review,Ciência Política,2019,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"""The main goal of this analysis was to estimate the effect of context variables over the councilor's predisposition towards clientelism (PCI) while adjusting for councilor's characteristics.""",TRUE,diagnostic_not_design
S1981-38212019000300202,Parliamentary Supervision of Brazilian Foreign Policy: An analysis of Approval of Authorities,Brazilian Political Science Review,Ciência Política,2019,2019-2025,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212019000300203,Race and Competitiveness in Brazilian Elections: Evaluating the Chances of Black and Brown Candidates through Quantile Regression Analysis of Brazil's 2014 Congressional Elections,Brazilian Political Science Review,Ciência Política,2019,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"""there is a possibility of bias in the estimates depending on whether financing-related information is included""",TRUE,diagnostic_not_design
S1981-38212019000300204,What do State Institutions Say? Twitter as a Public Communication Tool During the Impeachment of Dilma Rousseff,Brazilian Political Science Review,Ciência Política,2019,2019-2025,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212020000100200,Brazilian International Development Cooperation and Public Opinion: Domestic Costs Faced by a Troubled Emerging Donor,Brazilian Political Science Review,Ciência Política,2020,2019-2025,TRUE,TRUE,experiment_survey,the participants were randomly assigned to a control group or one of two treatment groups,TRUE,strict_design_method
S1981-38212020000100201,How 'Democratic' is the Democratic Peace? A Survey Experiment of Foreign Policy Preferences in Brazil and China,Brazilian Political Science Review,Ciência Política,2020,2019-2025,TRUE,TRUE,experiment_survey,Our study involved survey experiments in China and Brazil.,FALSE,strict_design_method
S1981-38212020000100202,The Presence of Incumbents Electoral Competition and Reelection in Brazil (1990-2014),Brazilian Political Science Review,Ciência Política,2020,2019-2025,TRUE,FALSE,fixed_effects_causal_panel_claim,The fixed effects model (1) identifies the concentration of revenue and the percentage of incumbents in the coalition as the only significant explanatory variables,TRUE,diagnostic_not_design
S1981-38212020000100202,The Presence of Incumbents Electoral Competition and Reelection in Brazil (1990-2014),Brazilian Political Science Review,Ciência Política,2020,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,The fixed effects model (1) identifies the concentration of revenue and the percentage of incumbents in the coalition as the only significant explanatory variables,TRUE,diagnostic_not_design
S1981-38212020000300201,"Individual Conditioning Factors of Political Protest in Latin America: Effects of Values, Grievance and Resources",Brazilian Political Science Review,Ciência Política,2020,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,NA,TRUE,diagnostic_not_design
S1981-38212020000300202,Political Science in Latin America: A Scientometric Analysis,Brazilian Political Science Review,Ciência Política,2020,2019-2025,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212021000100201,Ministerial Typology and Political Appointments: Where and How Do Presidents Politicize the Bureaucracy?,Brazilian Political Science Review,Ciência Política,2021,2019-2025,TRUE,FALSE,none_detected,NA,FALSE,diagnostic_not_design
S1981-38212021000100202,From Antipetismo to Generalized Antipartisanship: The Impact of Rejection of Political Parties on the 2018  Vote for Bolsonaro,Brazilian Political Science Review,Ciência Política,2021,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"""For the empirical test of the effects of antipartisan types on voting in the 2018 presidential elections, we built two logistic regression models""",TRUE,diagnostic_not_design
S1981-38212021000100203,The Effects of Conditionality Monitoring on Educational Outcomes: Evidence from Brazil’s Bolsa Família Programme,Brazilian Political Science Review,Ciência Política,2021,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,it is then possible to estimate how much of the variation in the dependent variable is associated with the variation in these two dimensions of Bolsa Família,TRUE,diagnostic_not_design
S1981-38212021000200202,"Left-Wing Governmental Alliance in Portugal, 2015-2019: A Way of Renewing and Rejuvenating Social Democracy?",Brazilian Political Science Review,Ciência Política,2021,2019-2025,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212021000200203,Specialists and Politics: The Recruitment of Presidents and Directors of BNDES in the PSDB and PT Administrations,Brazilian Political Science Review,Ciência Política,2021,2019-2025,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212021000300202,The Gendered Division of Labor in Brazilian Political Science Journals,Brazilian Political Science Review,Ciência Política,2021,2019-2025,TRUE,FALSE,none_detected,NA,FALSE,diagnostic_not_design
S1981-38212022000100202,Sources of the Incumbency (Dis)Advantage,Brazilian Political Science Review,Ciência Política,2022,2019-2025,TRUE,TRUE,regression_discontinuity,RDD designs based on elections are particularly common since the discontinuous assignment of victory in close races often provides a credible research design to make causal inferences about the effect of incumbency on the likelihood of reelection.,FALSE,strict_design_method
S1981-38212022000100205,Electoral Dividends from Programmatic Policies: A Theoretical Proposal Based on the Brazilian Case,Brazilian Political Science Review,Ciência Política,2022,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"In the three models, the control variables - factors that I consider to be related to being a cash transfer beneficiary and to voting - are education, income, age, region, and nature of the municipality.",TRUE,diagnostic_not_design
S1981-38212022000100401,"The Best of Two Worlds: Selection Strategies for Vice-Presidential Candidates,",Brazilian Political Science Review,Ciência Política,2022,2019-2025,TRUE,FALSE,none_detected,NA,FALSE,diagnostic_not_design
S1981-38212022000200202,Why has Participatory Budgeting Declined in Brazil?,Brazilian Political Science Review,Ciência Política,2022,2019-2025,TRUE,FALSE,fixed_effects_causal_panel_claim,The analysis follows a panel data model with fixed effects of time.,TRUE,diagnostic_not_design
S1981-38212022000200202,Why has Participatory Budgeting Declined in Brazil?,Brazilian Political Science Review,Ciência Política,2022,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,The analysis follows a panel data model with fixed effects of time.,TRUE,diagnostic_not_design
S1981-38212022000200205,Digital activism and democratic culture: can digital technologies help save democracy?,Brazilian Political Science Review,Ciência Política,2022,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"With these two components as dependent variables, we ran multiple linear regression models using the democratic culture variables from Table 05 as independent variables and the socio-demographic variables from Table 04 as controls.",TRUE,diagnostic_not_design
S1981-38212022000200206,"Building Parties’ Grassroots: Electoral Systems, Party Organizations, and Social Linkages from a Cross-National Perspective",Brazilian Political Science Review,Ciência Política,2022,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"""we controlled for unobserved heterogeneity by adding the fixed-effects at regions, countries, and party levels, thus estimating the effects of 'modified intraparty efficiency index', average district magnitude, and party organization variables on party-group linkages""",TRUE,diagnostic_not_design
S1981-38212022000200207,-State Presence in Brazilian Social Assistance Services: Effects on the Creation of Nonprofit Private Providers,Brazilian Political Science Review,Ciência Política,2022,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"Admittedly, we should not take our regression results as causal, since we work with observational data and lack a design feature that could emulate a counterfactual scenario.",FALSE,diagnostic_not_design
S1981-38212022000300201,The Relationship between Ideology and COVID-19 Deaths: What We Know and What We Still Need to Know,Brazilian Political Science Review,Ciência Política,2022,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,NA,TRUE,diagnostic_not_design
S1981-38212022000300204,"Does the Before Influence the After? Career Paths, Nominations, and Votes of the STF Justices",Brazilian Political Science Review,Ciência Política,2022,2019-2025,TRUE,FALSE,observational_regression_with_causal_claim_no_design,"In all models, we used control variables related to the cases adjudicated by the STF, more specifically, the type of crime and the item of the criminal complaint to which the rulings refer.",TRUE,diagnostic_not_design
S1981-38212023000100201,Question of Timing: Pre-Electoral Coalitions in Multiparty Presidential Regimes,Brazilian Political Science Review,Ciência Política,2023,2019-2025,TRUE,FALSE,none_detected,NA,TRUE,diagnostic_not_design
S1981-38212023000100203,"Better Incentives, Better Marks: A Synthetic Control Evaluation of the Educational Policies in Ceará, Brazil",Brazilian Political Science Review,Ciência Política,2023,2019-2025,TRUE,TRUE,synthetic_control,SCM is employed in this investigation to overcome this limitation.,FALSE,strict_design_method
S1981-38212023000100203,"Better Incentives, Better Marks: A Synthetic Control Evaluation of the Educational Policies in Ceará, Brazil",Brazilian Political Science Review,Ciência Política,2023,2019-2025,TRUE,TRUE,other_modern_causal_method,SCM is employed in this investigation to overcome this limitation.,FALSE,other_modern_causal_method
S1981-38212023000200201,Mandatory Individual Amendments: a Change in the Pattern of Executive Dominance in the Brazilian Budgetary and Financial Cycle,Brazilian Political Science Review,Ciência Política,2023,2019-2025,TRUE,TRUE,difference_in_differences,"""This arrangement is appropriate for the difference-in-difference method, which consists in comparing changes in the pattern of the dependent variable between the treatment groups – coalition and reelected deputies after EC 86/2015 – and the control group.""",TRUE,strict_design_method
S1981-38212023000200204,"From the Specific to the Diffuse: the Indirect Effect of Crime Victimization on Support for Democracy,",Brazilian Political Science Review,Ciência Política,2023,2019-2025,TRUE,TRUE,matching_or_weighting,"This strategy consists of three main steps. First, I run several matching estimations to achieve covariate balance between treatment and control groups... Second, I employ a novel mediation analysis approach, the regression-with-residuals (RWR)... Third, I run sensitivity analyses",FALSE,strict_design_method
