pid,title,year,journal_title,source_file,input_text_hash,field,critical_field,consensus_level,decision,consensus_value,agent_a_value,agent_b_value,agent_c_value,agent_a_valid,agent_b_valid,agent_c_valid,n_valid,n_distinct_values,top_n,fidelity_issue_n,high_severity_n,medium_severity_n,low_severity_n,fidelity_agents_with_issue,fidelity_statuses,disagreement_flag,priority_score,adjudication_reason
S1981-38212007000100070,Relevant Factors for the Voting Decision in the 2002 Presidential Election: An Analysis of the ESEB (Brazilian Electoral Study) Data,2007,Brazilian Political Science Review,data/processed/fulltext_gold/article_texts_gold.csv,44d8aabc6bc03c7a9eb773cd9307bd2b97c911c980616d260c0c88f4aff96d83,sample_size,FALSE,unanimity,accept_provisionally,2513,2513,2513,2513,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S1981-38212007000100070,Relevant Factors for the Voting Decision in the 2002 Presidential Election: An Analysis of the ESEB (Brazilian Electoral Study) Data,2007,Brazilian Political Science Review,data/processed/fulltext_gold/article_texts_gold.csv,44d8aabc6bc03c7a9eb773cd9307bd2b97c911c980616d260c0c88f4aff96d83,sample_size_quote,FALSE,majority,accept_provisionally,"The empirical base that grounds the analysis is the ESEB (Brazilian Electoral Study), a survey conducted on a sample – probabilistic without substitution, with 3 selection stages (municipality, census sector and domicile), with a sampling error of 2% – of 2,513 voters throughout the country between October 31 and December 28, 2002.","The empirical base that grounds the analysis is the ESEB (Brazilian Electoral Study), a survey conducted on a sample – probabilistic without substitution, with 3 selection stages (municipality, census sector and domicile), with a sampling error of 2% – of 2,513 voters throughout the country between October 31 and December 28, 2002.","a survey conducted on a sample – probabilistic without substitution, with 3 selection stages (municipality, census sector and domicile), with a sampling error of 2% – of 2,513 voters throughout the country between October 31 and December 28, 2002.","The empirical base that grounds the analysis is the ESEB (Brazilian Electoral Study), a survey conducted on a sample – probabilistic without substitution, with 3 selection stages (municipality, census sector and domicile), with a sampling error of 2% – of 2,513 voters throughout the country between October 31 and December 28, 2002.",TRUE,TRUE,TRUE,3,2,2,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S1981-38212009000100011,Social Scientists and Public Administration in the Lula da Silva Government,2009,Brazilian Political Science Review,data/processed/fulltext_gold/article_texts_gold.csv,2af5b22246f7dcba6666dac5cc8c560b6a86bf388b833804c4a19d82e8fe7dd3,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,runs_original_survey,runs_original_survey,runs_original_survey,runs_original_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S1981-38212010000100131,Private Security and the State in Latin America: the Case of Mexico City,2010,Brazilian Political Science Review,data/processed/fulltext_gold/article_texts_gold.csv,e05ba771dfceed9c625f803311d6269644e9468794a671fb7d24cdc8d333cd4f,sample_size,FALSE,unanimity,accept_provisionally,15,15,15,15,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S1981-38212013000200003,"Perceptions on justice, the judiciary and democracy",2013,Brazilian Political Science Review,data/processed/fulltext_gold/article_texts_gold.csv,ac722e76dbe5d1542c48810d4bde9febdd659b02b45a9995ae0a500bd66bc554,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,runs_original_survey,runs_original_survey,runs_original_survey,runs_original_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S1981-38212015000300021,The Elusive New Middle Class in Brazil,2015,Brazilian Political Science Review,data/processed/fulltext_gold/article_texts_gold.csv,8312c31f32d7c63aa0e32af37a6b1ddacfb8eeb9c003e44882ab75d512933146,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S1981-38212019000100200,"Mapping Ideological Preferences in Brazilian Elections, 1994-2018: A Municipal-Level Study",2019,Brazilian Political Science Review,data/processed/fulltext_gold/article_texts_gold.csv,84481a7bb70abc563f86d60a984980eb1dcc8db2927effbaeee5e114892f9358,paper_uses_survey_data,FALSE,unanimity,accept_provisionally,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,uses_public_available_survey,TRUE,TRUE,TRUE,3,1,3,3,3,0,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,18,falha_de_fidelidade_textual
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,2014,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,e60134432242192a0ecb661800b36754cb1b1674b0e55a9fc304ffd946fb3c70,paper_uses_survey_data,FALSE,majority,accept_provisionally,no_survey_data,runs_original_survey,no_survey_data,no_survey_data,TRUE,TRUE,TRUE,3,2,2,3,2,1,0,agent_a; agent_b; agent_c,contradicted_by_text; not_found_in_text,FALSE,16,falha_de_fidelidade_textual
S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,2024,Dados,data/processed/fulltext_gold/article_texts_gold.csv,fd2b45b84af03759cdc0cf1967ed4815da8b35702939f45f2fd6bf4c5e951ae9,makes_explicit_causal_claim,TRUE,unanimity,accept_provisionally,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,1,3,3,0,3,0,agent_a; agent_b; agent_c,contradicted_by_text,FALSE,14,falha_de_fidelidade_textual
S0034-76122009000300003,Exames de mamografia em Mato Grosso do Sul: análise da cobertura como componente de equidade,2009,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,e682e7d9e9f38da7a0fe70735177a6c7b5637a6adc92faab6a761e2ceb854642,makes_explicit_causal_claim,TRUE,unanimity,accept_provisionally,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,1,3,3,0,3,0,agent_a; agent_b; agent_c,contradicted_by_text,FALSE,14,falha_de_fidelidade_textual
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,2014,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,e60134432242192a0ecb661800b36754cb1b1674b0e55a9fc304ffd946fb3c70,makes_explicit_causal_claim,TRUE,unanimity,accept_provisionally,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,1,3,3,0,3,0,agent_a; agent_b; agent_c,contradicted_by_text,FALSE,14,falha_de_fidelidade_textual
S0034-76122014000500011,Dificuldades e perspectivas no acesso de micro e pequenas empresas a linhas de crédito públicas: o caso de Chapecó,2014,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,88743debfb8c4236e02d76ae3a76bff64ffc8aa7ecfdc6d1abc27449b4edeb7c,makes_explicit_causal_claim,TRUE,unanimity,accept_provisionally,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,1,3,3,0,3,0,agent_a; agent_b; agent_c,contradicted_by_text,FALSE,14,falha_de_fidelidade_textual
S0101-33002014000100004,Escassez de engenheiros no Brasil? uma proposta de sistematização do debate,2014,Novos estudos CEBRAP,data/processed/fulltext_gold/article_texts_gold.csv,2efdfd90868b2e475979412c560bdc9e4f31f632ddae9fff1416d5ab28f21067,makes_explicit_causal_claim,TRUE,unanimity,accept_provisionally,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,1,3,3,0,3,0,agent_a; agent_b; agent_c,contradicted_by_text,FALSE,14,falha_de_fidelidade_textual
S0102-64452013000100013,O STF e a agenda pública nacional: de outro desconhecido a supremo protagonista?,2013,Lua Nova: Revista de Cultura e Política,data/processed/fulltext_gold/article_texts_gold.csv,0978093cfcf5e5af8ac229eb97d2c7b001d79347abb656d6ca705ecdf261705e,makes_explicit_causal_claim,TRUE,unanimity,accept_provisionally,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,1,3,3,0,3,0,agent_a; agent_b; agent_c,contradicted_by_text,FALSE,14,falha_de_fidelidade_textual
S0102-69092018000300507,O OVO E A GALINHA. Estudo do enquadramento e da recepção da cobertura jornalística no pleito de 2014,2018,Revista Brasileira de Ciências Sociais,data/processed/fulltext_gold/article_texts_gold.csv,d06db8a6e911c0c2c7a0c7ca4a10b6f06dfab66712abbc099170b5f547c8fbbb,makes_explicit_causal_claim,TRUE,unanimity,accept_provisionally,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,1,3,3,0,3,0,agent_a; agent_b; agent_c,contradicted_by_text,FALSE,14,falha_de_fidelidade_textual
S0104-44782024000100204,Polarização e ideologia: explorando a natureza contextual do compromisso democrático,2024,Revista de Sociologia e Política,data/processed/fulltext_gold/article_texts_gold.csv,a6552c81a72f72f80996bc2a81e7860bee7c47135e21050b7fb7130527e58cbd,main_causal_research_design,TRUE,unanimity,accept_provisionally,Kitchen Sink Linear Model,Kitchen Sink Linear Model,Kitchen Sink Linear Model,Kitchen Sink Linear Model,TRUE,TRUE,TRUE,3,1,3,3,0,3,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,14,falha_de_fidelidade_textual
S0104-62762015000100132,Confiança nas Forças Armadas brasileiras: uma análise empírica a partir dos dados da pesquisa SIPS - Defesa Nacional,2015,Opinião Pública,data/processed/fulltext_gold/article_texts_gold.csv,f936016854727526d1dac146fb72c66642722e82327df6d896aa81408526d328,makes_explicit_causal_claim,TRUE,unanimity,accept_provisionally,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,1,3,3,0,3,0,agent_a; agent_b; agent_c,contradicted_by_text,FALSE,14,falha_de_fidelidade_textual
S0104-62762025000100220,"Determinantes da confiança na Polícia Nacional: o caso dos Carabineros chilenos, 2015-2020",2025,Opinião Pública,data/processed/fulltext_gold/article_texts_gold.csv,68e0fb77b5496b51ad1ec9b203650f62e3858e5c99830bcada20c10bf866eb10,main_causal_research_design,TRUE,unanimity,accept_provisionally,Kitchen Sink Linear Model,Kitchen Sink Linear Model,Kitchen Sink Linear Model,Kitchen Sink Linear Model,TRUE,TRUE,TRUE,3,1,3,3,0,3,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,14,falha_de_fidelidade_textual
S1981-38212007000100070,Relevant Factors for the Voting Decision in the 2002 Presidential Election: An Analysis of the ESEB (Brazilian Electoral Study) Data,2007,Brazilian Political Science Review,data/processed/fulltext_gold/article_texts_gold.csv,44d8aabc6bc03c7a9eb773cd9307bd2b97c911c980616d260c0c88f4aff96d83,main_causal_research_design,TRUE,unanimity,accept_provisionally,Kitchen Sink Linear Model,Kitchen Sink Linear Model,Kitchen Sink Linear Model,Kitchen Sink Linear Model,TRUE,TRUE,TRUE,3,1,3,3,0,3,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,14,falha_de_fidelidade_textual
S1981-38212013000200003,"Perceptions on justice, the judiciary and democracy",2013,Brazilian Political Science Review,data/processed/fulltext_gold/article_texts_gold.csv,ac722e76dbe5d1542c48810d4bde9febdd659b02b45a9995ae0a500bd66bc554,main_causal_research_design,TRUE,unanimity,accept_provisionally,Kitchen Sink Linear Model,Kitchen Sink Linear Model,Kitchen Sink Linear Model,Kitchen Sink Linear Model,TRUE,TRUE,TRUE,3,1,3,3,0,3,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,14,falha_de_fidelidade_textual
S1981-38212019000100200,"Mapping Ideological Preferences in Brazilian Elections, 1994-2018: A Municipal-Level Study",2019,Brazilian Political Science Review,data/processed/fulltext_gold/article_texts_gold.csv,84481a7bb70abc563f86d60a984980eb1dcc8db2927effbaeee5e114892f9358,main_causal_research_design,TRUE,unanimity,accept_provisionally,Kitchen Sink Linear Model,Kitchen Sink Linear Model,Kitchen Sink Linear Model,Kitchen Sink Linear Model,TRUE,TRUE,TRUE,3,1,3,3,0,3,0,agent_a; agent_b; agent_c,not_found_in_text,FALSE,14,falha_de_fidelidade_textual
S0034-76122014000500011,Dificuldades e perspectivas no acesso de micro e pequenas empresas a linhas de crédito públicas: o caso de Chapecó,2014,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,88743debfb8c4236e02d76ae3a76bff64ffc8aa7ecfdc6d1abc27449b4edeb7c,paper_uses_survey_data,FALSE,majority,accept_provisionally,runs_original_survey,runs_original_survey,no_survey_data,runs_original_survey,TRUE,TRUE,TRUE,3,2,2,3,1,2,0,agent_a; agent_b; agent_c,contradicted_by_text; not_found_in_text,FALSE,14,falha_de_fidelidade_textual
S0034-76122017000500879,Determinantes para o cumprimento de prazo e preço em obras da educação: uma análise nos municípios capixabas,2017,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,449e3c37351931c33632f2f8bb552dfb03763098b383fb2108c75789847cf754,main_variable_relationship,FALSE,no_majority,adjudicate,,<NULL>,"[{""iv_var_name"":""Procurement and municipal characteristics"",""dv_var_name"":""Deadline and price compliance"",""relationship_type"":""Unknown"",""statistically_significant"":true,""substantively_significant"":true}]","[{""iv_var_name"":""procurement_modality"",""dv_var_name"":""delta_deadline"",""relationship_type"":""Unknown"",""statistically_significant"":true,""substantively_significant"":true},{""iv_var_name"":""municipal_characteristics"",""dv_var_name"":""delta_price"",""relationship_type"":""Unknown"",""statistically_significant"":true,""substantively_significant"":true}]",TRUE,TRUE,TRUE,3,3,1,2,2,0,0,agent_b; agent_c,not_found_in_text; supported_by_text,TRUE,14,desacordo_entre_agentes_e_falha_de_fidelidade
