pid,title,year,journal_title,audited_agent_id,field,status,severity,overall_fidelity_status,reason,classification_value,supporting_excerpt,file
S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,2024,Dados,agent_c,sample_size_quote,not_found_in_text,high,fail,The quote appears in the body text but does not clearly support the paired sample-size value.,"Foi criado um banco com informações padronizadas para 103 colegiados nacionais, registrando todas as alterações legais e infralegais ocorridas durante a gestão Bolsonaro, entre 2019 e 2022.","atores externos ao governo, excluindo aqueles meramente governamentais. Foi criado um banco com informações padronizadas para 103 colegiados nacionais, registrando todas as alterações legais e infralegais ocorridas durante a gestão Bolsonaro, entre 2019 e 2022. Além desta introdução, o artigo está organizado",data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0011-52582024000400209.json
S0034-73292025000200604,Impact of China&#8211;Latin America Transportation Infrastructure Cooperation on Latin American Economies: A Project Data Study (2009&#8211;2023),2025,Revista Brasileira de Política Internacional,agent_b,main_variable_relationship,not_found_in_text,high,fail,The specific IV-DV relationship claims were not found with result-language support in the body.,"[{""iv_var_name"":""China-Latin America transportation infrastructure cooperation"",""dv_var_name"":""Latin American economic outcomes"",""relationship_type"":""Positive"",""statistically_significant"":false,""substantively_significant"":true}]",,data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0034-73292025000200604.json
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,2014,Revista de Administração Pública,agent_a,sample_size,not_found_in_text,high,fail,The accompanying quote is in the body text but does not clearly contain the classified sample size with sample-unit language.,46,"papel de formação no campo (consultores, professores, pesquisadores). Ao total, foram entrevistados 46 atores, sendo 16 no Paraná (Curitiba), 15 no Rio Grande do Sul (Porto Alegre) e 15 em Santa Catarina (Florianópolis), entre setembro e novembro de 2010. Foram utilizados roteiros",data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0034-76122014000100004.json
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,2014,Revista de Administração Pública,agent_a,sample_size_quote,not_found_in_text,high,fail,The quote appears in the body text but does not clearly support the paired sample-size value.,"Ao total, foram entrevistados 46 atores, sendo 16 no Paraná (Curitiba), 15 no Rio Grande do Sul (Porto Alegre) e 15 em Santa Catarina (Florianópolis), entre setembro e novembro de 2010.","papel de formação no campo (consultores, professores, pesquisadores). Ao total, foram entrevistados 46 atores, sendo 16 no Paraná (Curitiba), 15 no Rio Grande do Sul (Porto Alegre) e 15 em Santa Catarina (Florianópolis), entre setembro e novembro de 2010. Foram utilizados roteiros",data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0034-76122014000100004.json
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,2014,Revista de Administração Pública,agent_b,sample_size,not_found_in_text,high,fail,The accompanying quote is in the body text but does not clearly contain the classified sample size with sample-unit language.,46,"papel de formação no campo (consultores, professores, pesquisadores). Ao total, foram entrevistados 46 atores, sendo 16 no Paraná (Curitiba), 15 no Rio Grande do Sul (Porto Alegre) e 15 em Santa Catarina (Florianópolis), entre setembro e novembro de 2010. Foram utilizados roteiros",data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0034-76122014000100004.json
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,2014,Revista de Administração Pública,agent_b,sample_size_quote,not_found_in_text,high,fail,The quote appears in the body text but does not clearly support the paired sample-size value.,"Ao total, foram entrevistados 46 atores, sendo 16 no Paraná (Curitiba), 15 no Rio Grande do Sul (Porto Alegre) e 15 em Santa Catarina (Florianópolis), entre setembro e novembro de 2010.","papel de formação no campo (consultores, professores, pesquisadores). Ao total, foram entrevistados 46 atores, sendo 16 no Paraná (Curitiba), 15 no Rio Grande do Sul (Porto Alegre) e 15 em Santa Catarina (Florianópolis), entre setembro e novembro de 2010. Foram utilizados roteiros",data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0034-76122014000100004.json
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,2014,Revista de Administração Pública,agent_c,sample_size,not_found_in_text,high,fail,The accompanying quote is in the body text but does not clearly contain the classified sample size with sample-unit language.,46,"papel de formação no campo (consultores, professores, pesquisadores). Ao total, foram entrevistados 46 atores, sendo 16 no Paraná (Curitiba), 15 no Rio Grande do Sul (Porto Alegre) e 15 em Santa Catarina (Florianópolis), entre setembro e novembro de 2010. Foram utilizados roteiros",data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0034-76122014000100004.json
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,2014,Revista de Administração Pública,agent_c,sample_size_quote,not_found_in_text,high,fail,The quote appears in the body text but does not clearly support the paired sample-size value.,"Ao total, foram entrevistados 46 atores, sendo 16 no Paraná (Curitiba), 15 no Rio Grande do Sul (Porto Alegre) e 15 em Santa Catarina (Florianópolis), entre setembro e novembro de 2010.","papel de formação no campo (consultores, professores, pesquisadores). Ao total, foram entrevistados 46 atores, sendo 16 no Paraná (Curitiba), 15 no Rio Grande do Sul (Porto Alegre) e 15 em Santa Catarina (Florianópolis), entre setembro e novembro de 2010. Foram utilizados roteiros",data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0034-76122014000100004.json
S0034-76122014000500011,Dificuldades e perspectivas no acesso de micro e pequenas empresas a linhas de crédito públicas: o caso de Chapecó,2014,Revista de Administração Pública,agent_a,sample_size,not_found_in_text,high,fail,The accompanying quote is in the body text but does not clearly contain the classified sample size with sample-unit language.,99,"somente empresas com faturamento bruto anual inferior a R$ 1,5 milhão. Foram aplicados 99 questionários4 constituídos por perguntas abertas e fechadas, aplicados aos responsáveis pelas microempresas do município de Chapecó. Por meio dos questionários aplicados, verificamos se as linhas eram conhecidas e",data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0034-76122014000500011.json
S0034-76122014000500011,Dificuldades e perspectivas no acesso de micro e pequenas empresas a linhas de crédito públicas: o caso de Chapecó,2014,Revista de Administração Pública,agent_a,sample_size_quote,not_found_in_text,high,fail,The quote appears in the body text but does not clearly support the paired sample-size value.,"Foram aplicados 99 questionários4 constituídos por perguntas abertas e fechadas, aplicados aos responsáveis pelas microempresas do município de Chapecó.","somente empresas com faturamento bruto anual inferior a R$ 1,5 milhão. Foram aplicados 99 questionários4 constituídos por perguntas abertas e fechadas, aplicados aos responsáveis pelas microempresas do município de Chapecó. Por meio dos questionários aplicados, verificamos se as linhas eram conhecidas e",data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0034-76122014000500011.json
S0034-76122014000500011,Dificuldades e perspectivas no acesso de micro e pequenas empresas a linhas de crédito públicas: o caso de Chapecó,2014,Revista de Administração Pública,agent_c,sample_size,not_found_in_text,high,fail,The accompanying quote is in the body text but does not clearly contain the classified sample size with sample-unit language.,99,"somente empresas com faturamento bruto anual inferior a R$ 1,5 milhão. Foram aplicados 99 questionários4 constituídos por perguntas abertas e fechadas, aplicados aos responsáveis pelas microempresas do município de Chapecó. Por meio dos questionários aplicados, verificamos se as linhas eram conhecidas e",data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0034-76122014000500011.json
S0034-76122014000500011,Dificuldades e perspectivas no acesso de micro e pequenas empresas a linhas de crédito públicas: o caso de Chapecó,2014,Revista de Administração Pública,agent_c,sample_size_quote,not_found_in_text,high,fail,The quote appears in the body text but does not clearly support the paired sample-size value.,"Foram aplicados 99 questionários4 constituídos por perguntas abertas e fechadas, aplicados aos responsáveis pelas microempresas do município de Chapecó.","somente empresas com faturamento bruto anual inferior a R$ 1,5 milhão. Foram aplicados 99 questionários4 constituídos por perguntas abertas e fechadas, aplicados aos responsáveis pelas microempresas do município de Chapecó. Por meio dos questionários aplicados, verificamos se as linhas eram conhecidas e",data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0034-76122014000500011.json
S0034-76122017000500879,Determinantes para o cumprimento de prazo e preço em obras da educação: uma análise nos municípios capixabas,2017,Revista de Administração Pública,agent_b,main_variable_relationship,not_found_in_text,high,fail,The specific IV-DV relationship claims were not found with result-language support in the body.,"[{""iv_var_name"":""Procurement and municipal characteristics"",""dv_var_name"":""Deadline and price compliance"",""relationship_type"":""Unknown"",""statistically_significant"":true,""substantively_significant"":true}]",,data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0034-76122017000500879.json
S0034-76122017000500879,Determinantes para o cumprimento de prazo e preço em obras da educação: uma análise nos municípios capixabas,2017,Revista de Administração Pública,agent_c,main_variable_relationship,not_found_in_text,high,fail,The specific IV-DV relationship claims were not found with result-language support in the body.,"[{""iv_var_name"":""procurement_modality"",""dv_var_name"":""delta_deadline"",""relationship_type"":""Unknown"",""statistically_significant"":true,""substantively_significant"":true},{""iv_var_name"":""municipal_characteristics"",""dv_var_name"":""delta_price"",""relationship_type"":""Unknown"",""statistically_significant"":true,""substantively_significant"":true}]",,data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0034-76122017000500879.json
S0034-76122020000100181,"Ecossistema de inovação social, sustentabilidade e experimentação democrática: um estudo em Florianópolis",2020,Revista de Administração Pública,agent_a,paper_uses_survey_data,not_found_in_text,high,fail,"The classification claims an original survey, but no own-analysis survey/questionnaire/opinion-poll evidence was found.",runs_original_survey,,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0034-76122020000100181.json
S0034-76122020000100181,"Ecossistema de inovação social, sustentabilidade e experimentação democrática: um estudo em Florianópolis",2020,Revista de Administração Pública,agent_a,sample_size,not_found_in_text,high,fail,The accompanying quote is in the body text but does not clearly contain the classified sample size with sample-unit language.,115,"social apoiadas e outros atores de suporte parceiros. Nesse levantamento exploratório foram mapeados os dados de contato e o papel desempenhado por 115 atores de suporte, cujas informações foram utilizadas em um primeiro momento para construir a plataforma. Desse modo, foram identificadas",data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0034-76122020000100181.json
S0034-76122020000100181,"Ecossistema de inovação social, sustentabilidade e experimentação democrática: um estudo em Florianópolis",2020,Revista de Administração Pública,agent_a,sample_size_quote,not_found_in_text,high,fail,The quote appears in the body text but does not clearly support the paired sample-size value.,"Nesse levantamento exploratório foram mapeados os dados de contato e o papel desempenhado por 115 atores de suporte, cujas informações foram utilizadas em um primeiro momento para construir a plataforma.","social apoiadas e outros atores de suporte parceiros. Nesse levantamento exploratório foram mapeados os dados de contato e o papel desempenhado por 115 atores de suporte, cujas informações foram utilizadas em um primeiro momento para construir a plataforma. Desse modo, foram identificadas",data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0034-76122020000100181.json
S0034-76122024000200402,Fatores que aumentam o tempo do processo judicial no Brasil,2024,Revista de Administração Pública,agent_a,sample_size,not_found_in_text,high,fail,The accompanying quote is in the body text but does not clearly contain the classified sample size with sample-unit language.,15,"mediante entrevista semiestruturada, que combina perguntas predefinidas com aquelas elaboradas durante o encontro (Boni & Quaresma, 2005). Foram realizadas 15 reuniões entre 2019 e 2020. A seleção dos entrevistados mesclou profissões, ramos de Justiça, instâncias e regiões geográficas. Foram entrevistados oito juízes",data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0034-76122024000200402.json
S0034-76122024000200402,Fatores que aumentam o tempo do processo judicial no Brasil,2024,Revista de Administração Pública,agent_a,sample_size_quote,not_found_in_text,high,fail,The quote appears in the body text but does not clearly support the paired sample-size value.,Foram realizadas 15 reuniões entre 2019 e 2020.,"mediante entrevista semiestruturada, que combina perguntas predefinidas com aquelas elaboradas durante o encontro (Boni & Quaresma, 2005). Foram realizadas 15 reuniões entre 2019 e 2020. A seleção dos entrevistados mesclou profissões, ramos de Justiça, instâncias e regiões geográficas. Foram entrevistados oito juízes",data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0034-76122024000200402.json
S0034-76122024000200402,Fatores que aumentam o tempo do processo judicial no Brasil,2024,Revista de Administração Pública,agent_b,sample_size,not_found_in_text,high,fail,The accompanying quote is in the body text but does not clearly contain the classified sample size with sample-unit language.,15,"mediante entrevista semiestruturada, que combina perguntas predefinidas com aquelas elaboradas durante o encontro (Boni & Quaresma, 2005). Foram realizadas 15 reuniões entre 2019 e 2020. A seleção dos entrevistados mesclou profissões, ramos de Justiça, instâncias e regiões geográficas. Foram entrevistados oito juízes",data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0034-76122024000200402.json
S0034-76122024000200402,Fatores que aumentam o tempo do processo judicial no Brasil,2024,Revista de Administração Pública,agent_b,sample_size_quote,not_found_in_text,high,fail,The quote appears in the body text but does not clearly support the paired sample-size value.,Foram realizadas 15 reuniões entre 2019 e 2020.,"mediante entrevista semiestruturada, que combina perguntas predefinidas com aquelas elaboradas durante o encontro (Boni & Quaresma, 2005). Foram realizadas 15 reuniões entre 2019 e 2020. A seleção dos entrevistados mesclou profissões, ramos de Justiça, instâncias e regiões geográficas. Foram entrevistados oito juízes",data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0034-76122024000200402.json
S0034-76122024000200402,Fatores que aumentam o tempo do processo judicial no Brasil,2024,Revista de Administração Pública,agent_c,sample_size,not_found_in_text,high,fail,The accompanying quote is in the body text but does not clearly contain the classified sample size with sample-unit language.,15,"mediante entrevista semiestruturada, que combina perguntas predefinidas com aquelas elaboradas durante o encontro (Boni & Quaresma, 2005). Foram realizadas 15 reuniões entre 2019 e 2020. A seleção dos entrevistados mesclou profissões, ramos de Justiça, instâncias e regiões geográficas. Foram entrevistados oito juízes",data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0034-76122024000200402.json
S0034-76122024000200402,Fatores que aumentam o tempo do processo judicial no Brasil,2024,Revista de Administração Pública,agent_c,sample_size_quote,not_found_in_text,high,fail,The quote appears in the body text but does not clearly support the paired sample-size value.,Foram realizadas 15 reuniões entre 2019 e 2020.,"mediante entrevista semiestruturada, que combina perguntas predefinidas com aquelas elaboradas durante o encontro (Boni & Quaresma, 2005). Foram realizadas 15 reuniões entre 2019 e 2020. A seleção dos entrevistados mesclou profissões, ramos de Justiça, instâncias e regiões geográficas. Foram entrevistados oito juízes",data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0034-76122024000200402.json
S0101-33002011000300004,Trabalhar para estudar: sobre a pertinência da noção de transição escola-trabalho no Brasil,2011,Novos estudos CEBRAP,agent_a,paper_uses_survey_data,not_found_in_text,high,fail,"The classification claims survey data, but no own-analysis survey/questionnaire/opinion-poll evidence was found.",uses_public_available_survey,,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0101-33002011000300004.json
S0101-33002011000300004,Trabalhar para estudar: sobre a pertinência da noção de transição escola-trabalho no Brasil,2011,Novos estudos CEBRAP,agent_b,paper_uses_survey_data,not_found_in_text,high,fail,"The classification claims survey data, but no own-analysis survey/questionnaire/opinion-poll evidence was found.",uses_public_available_survey,,data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0101-33002011000300004.json
S0101-33002014000100004,Escassez de engenheiros no Brasil? uma proposta de sistematização do debate,2014,Novos estudos CEBRAP,agent_b,paper_uses_survey_data,not_found_in_text,high,fail,"The classification claims survey data, but no own-analysis survey/questionnaire/opinion-poll evidence was found.",uses_public_available_survey,,data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0101-33002014000100004.json
S0101-33002019000100006,REVOLUÇÕES NO CAMPO RELIGIOSO,2019,Novos estudos CEBRAP,agent_b,paper_uses_survey_data,not_found_in_text,high,fail,"The classification claims survey data, but no own-analysis survey/questionnaire/opinion-poll evidence was found.",uses_public_available_survey,,data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0101-33002019000100006.json
S0101-33002024000300409,Trabalho remunerado e de cuidados na Cidade do México: os efeitos da pandemia da Covid-19 sobre as desigualdades sociais e a convivialidade,2024,Novos estudos CEBRAP,agent_a,paper_uses_survey_data,not_found_in_text,high,fail,"The classification claims an original survey, but no own-analysis survey/questionnaire/opinion-poll evidence was found.",runs_original_survey,,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0101-33002024000300409.json
S0101-33002024000300409,Trabalho remunerado e de cuidados na Cidade do México: os efeitos da pandemia da Covid-19 sobre as desigualdades sociais e a convivialidade,2024,Novos estudos CEBRAP,agent_a,sample_size,not_found_in_text,high,fail,The accompanying quote is in the body text but does not clearly contain the classified sample size with sample-unit language.,2562,"and Inequalities in the Metropolitan Area of the Valley of Mexico” by telephone. The sample included 2,562 men and women over 18 residing in households of different socioeconomic levels. Of the total number of respondents, 42.5% lived in Mexico City and 57.5%",data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0101-33002024000300409.json
S0101-33002024000300409,Trabalho remunerado e de cuidados na Cidade do México: os efeitos da pandemia da Covid-19 sobre as desigualdades sociais e a convivialidade,2024,Novos estudos CEBRAP,agent_a,sample_size_quote,not_found_in_text,high,fail,The quote appears in the body text but does not clearly support the paired sample-size value.,"The sample included 2,562 men and women over 18 residing in households of different socioeconomic levels.","and Inequalities in the Metropolitan Area of the Valley of Mexico” by telephone. The sample included 2,562 men and women over 18 residing in households of different socioeconomic levels. Of the total number of respondents, 42.5% lived in Mexico City and 57.5%",data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0101-33002024000300409.json
S0101-33002024000300409,Trabalho remunerado e de cuidados na Cidade do México: os efeitos da pandemia da Covid-19 sobre as desigualdades sociais e a convivialidade,2024,Novos estudos CEBRAP,agent_b,paper_uses_survey_data,not_found_in_text,high,fail,"The classification claims an original survey, but no own-analysis survey/questionnaire/opinion-poll evidence was found.",runs_original_survey,,data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0101-33002024000300409.json
S0101-33002024000300409,Trabalho remunerado e de cuidados na Cidade do México: os efeitos da pandemia da Covid-19 sobre as desigualdades sociais e a convivialidade,2024,Novos estudos CEBRAP,agent_b,sample_size,not_found_in_text,high,fail,The accompanying quote is in the body text but does not clearly contain the classified sample size with sample-unit language.,2562,"and Inequalities in the Metropolitan Area of the Valley of Mexico” by telephone. The sample included 2,562 men and women over 18 residing in households of different socioeconomic levels. Of the total number of respondents, 42.5% lived in Mexico City and 57.5%",data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0101-33002024000300409.json
S0101-33002024000300409,Trabalho remunerado e de cuidados na Cidade do México: os efeitos da pandemia da Covid-19 sobre as desigualdades sociais e a convivialidade,2024,Novos estudos CEBRAP,agent_b,sample_size_quote,not_found_in_text,high,fail,The quote appears in the body text but does not clearly support the paired sample-size value.,"The sample included 2,562 men and women over 18 residing in households of different socioeconomic levels.","and Inequalities in the Metropolitan Area of the Valley of Mexico” by telephone. The sample included 2,562 men and women over 18 residing in households of different socioeconomic levels. Of the total number of respondents, 42.5% lived in Mexico City and 57.5%",data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0101-33002024000300409.json
S0101-33002024000300409,Trabalho remunerado e de cuidados na Cidade do México: os efeitos da pandemia da Covid-19 sobre as desigualdades sociais e a convivialidade,2024,Novos estudos CEBRAP,agent_c,paper_uses_survey_data,not_found_in_text,high,fail,"The classification claims an original survey, but no own-analysis survey/questionnaire/opinion-poll evidence was found.",runs_original_survey,,data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0101-33002024000300409.json
S0101-33002024000300409,Trabalho remunerado e de cuidados na Cidade do México: os efeitos da pandemia da Covid-19 sobre as desigualdades sociais e a convivialidade,2024,Novos estudos CEBRAP,agent_c,sample_size,not_found_in_text,high,fail,The accompanying quote is in the body text but does not clearly contain the classified sample size with sample-unit language.,2562,"and Inequalities in the Metropolitan Area of the Valley of Mexico” by telephone. The sample included 2,562 men and women over 18 residing in households of different socioeconomic levels. Of the total number of respondents, 42.5% lived in Mexico City and 57.5%",data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0101-33002024000300409.json
S0101-33002024000300409,Trabalho remunerado e de cuidados na Cidade do México: os efeitos da pandemia da Covid-19 sobre as desigualdades sociais e a convivialidade,2024,Novos estudos CEBRAP,agent_c,sample_size_quote,not_found_in_text,high,fail,The quote appears in the body text but does not clearly support the paired sample-size value.,"The sample included 2,562 men and women over 18 residing in households of different socioeconomic levels.","and Inequalities in the Metropolitan Area of the Valley of Mexico” by telephone. The sample included 2,562 men and women over 18 residing in households of different socioeconomic levels. Of the total number of respondents, 42.5% lived in Mexico City and 57.5%",data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0101-33002024000300409.json
S0102-64452013000100013,O STF e a agenda pública nacional: de outro desconhecido a supremo protagonista?,2013,Lua Nova: Revista de Cultura e Política,agent_b,paper_uses_survey_data,not_found_in_text,high,fail,"The classification claims an original survey, but no own-analysis survey/questionnaire/opinion-poll evidence was found.",runs_original_survey,,data/processed/full_classification_pilot_v2/fidelity_checker/agent_b/S0102-64452013000100013.json
S0102-64452013000100013,O STF e a agenda pública nacional: de outro desconhecido a supremo protagonista?,2013,Lua Nova: Revista de Cultura e Política,agent_c,paper_uses_survey_data,not_found_in_text,high,fail,"The classification claims an original survey, but no own-analysis survey/questionnaire/opinion-poll evidence was found.",runs_original_survey,,data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0102-64452013000100013.json
S0102-64452024000200304,ENTRE A FÉ E A EXPRESSÃO POLÍTICA. ETNOGRAFIA DAS INTERAÇÕES ENTRE PASTORES E FIÉIS EVANGÉLICOS DURANTE AS ELEIÇÕES DE 2022 NO RIO DE JANEIRO,2024,Lua Nova: Revista de Cultura e Política,agent_c,sample_size,not_found_in_text,high,fail,The accompanying quote is in the body text but does not clearly contain the classified sample size with sample-unit language.,21,"precisava avisar o pastor se estivesse ausente por vários dias. Fiz observações etnográficas em 35 cultos e conduzi 18 entrevistas com fiéis evangélicos da igreja local e 3 entrevistas com os pastores. Como outros etnólogos que pesquisaram em campos religiosos (Fancello, 2008",data/processed/full_classification_pilot_v2/fidelity_checker/agent_c/S0102-64452024000200304.json
