pid,title,year,journal_title,agent_id,field,value,previous_value
S0011-52582015000200461,"Continuidade, Ruptura ou Reciclagem? Uma Análise do Programa Político do Banco Mundial após o Consenso de Washington",2015,Dados,agent_c,brief_justification,"O body canônico apresenta uma discussão conceitual, interpretativa ou histórica, sem análise própria de dados observacionais ou experimentais. Não há amostra, variáveis, equações estimadas ou resultados estatísticos sustentados pelo texto.","This is a theoretical-analytical essay that traces the evolution of the World Bank's political program from the Washington Consensus era (1989) through 2014. It relies on documentary analysis of the Bank's own publications and secondary literature, with no quantitative data, statistical analysis, or empirical testing. The article argues the Bank's agenda was 'recycled' rather than fundamentally changed, incorporating neo-institutionalist ideas to expand its liberal reform prescriptions across economy, state, civil society, and individual subjectivity in client countries. There are zero tables, figures, or equations (confirmed by counts in XML metadata). The 86 references are predominantly books and critical political economy journals. The method is interpretive-historical and essayistic throughout."
S0011-52582015000401131,Organizar a Desordem: Raízes do Brasil em 1936,2015,Dados,agent_a,brief_justification,"O corpo de ""Organizar a Desordem: Raízes do Brasil em 1936"" se apresenta como ensaio teórico, conceitual ou de história das ideias, sem análise própria de dados observacionais ou experimentais. Por isso, os campos de desenho causal, variáveis, amostra e resultados estatísticos foram deixados nulos.","This is a work of Brazilian political thought/intellectual history. The author reconstructs the arguments of Sergio Buarque de Holanda's Raízes do Brasil (1936), tracing his intellectual dialogue with Oliveira Vianna and Gilberto Freyre around concepts of cordiality, political doctrines vs. national reality, and the idea of 'organizing disorder.' There is no quantitative data, no empirical hypothesis testing, and no causal research design. The method is interpretive-hermeneutic essay based on close reading of primary texts."
S0011-52582015000401131,Organizar a Desordem: Raízes do Brasil em 1936,2015,Dados,agent_b,brief_justification,"O artigo ""Organizar a Desordem: Raízes do Brasil em 1936"" é uma análise qualitativa, documental ou de campo. O método pode ser explícito, mas o texto não sustenta análise quantitativa própria nem desenho causal de identificação.","This is a work of Brazilian political thought/intellectual history. The author reconstructs the arguments of Sergio Buarque de Holanda's Raízes do Brasil (1936), tracing his intellectual dialogue with Oliveira Vianna and Gilberto Freyre around concepts of cordiality, political doctrines vs. national reality, and the idea of 'organizing disorder.' There is no quantitative data, no empirical hypothesis testing, and no causal research design. The method is interpretive-hermeneutic essay based on close reading of primary texts."
S0011-52582015000401131,Organizar a Desordem: Raízes do Brasil em 1936,2015,Dados,agent_c,brief_justification,"O body canônico apresenta uma discussão conceitual, interpretativa ou histórica, sem análise própria de dados observacionais ou experimentais. Não há amostra, variáveis, equações estimadas ou resultados estatísticos sustentados pelo texto.","This is a work of Brazilian political thought/intellectual history. The author reconstructs the arguments of Sergio Buarque de Holanda's Raízes do Brasil (1936), tracing his intellectual dialogue with Oliveira Vianna and Gilberto Freyre around concepts of cordiality, political doctrines vs. national reality, and the idea of 'organizing disorder.' There is no quantitative data, no empirical hypothesis testing, and no causal research design. The method is interpretive-hermeneutic essay based on close reading of primary texts."
S0011-52582017000200395,A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva,2017,Dados,agent_a,brief_justification,"O corpo de ""A Imprensa Brasileira e suas “Cruzadas Morais”: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva"" conduz análise empírica qualitativa ou histórico-documental, não uma análise quantitativa de dados observacionais ou experimentais. Os campos estatísticos e de desenho causal foram preenchidos apenas quando o método estava claramente declarado no texto.","Comparative analysis of media framing and moral crusades in Brazilian press (O Estado de S. Paulo, O Globo) during Vargas second government and Lula first government. Content analysis of editorials and news sections."
S0011-52582017000200395,A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva,2017,Dados,agent_b,brief_justification,"O artigo ""A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva"" é uma análise qualitativa, documental ou de campo. O método pode ser explícito, mas o texto não sustenta análise quantitativa própria nem desenho causal de identificação.","Comparative analysis of media framing and moral crusades in Brazilian press (O Estado de S. Paulo, O Globo) during Vargas second government and Lula first government. Content analysis of editorials and news sections."
S0011-52582017000200395,A Imprensa Brasileira e suas &#8220;Cruzadas Morais&#8221;: Análise dos Casos do Segundo Governo de Getúlio Vargas e do Primeiro Governo de Lula da Silva,2017,Dados,agent_c,brief_justification,"O texto compara qualitativamente episódios de imprensa nos governos Vargas e Lula. Não há banco de dados sistemático, amostra formal, variáveis quantitativas ou testes estatísticos no body canônico.","Comparative analysis of media framing and moral crusades in Brazilian press (O Estado de S. Paulo, O Globo) during Vargas second government and Lula first government. Content analysis of editorials and news sections."
S0011-52582018000200463,O Seguro Social e a Construção da Proteção do Trabalho no Brasil,2018,Dados,agent_a,brief_justification,"O corpo de ""O Seguro Social e a Construção da Proteção do Trabalho no Brasil"" conduz análise empírica qualitativa ou histórico-documental, não uma análise quantitativa de dados observacionais ou experimentais. Os campos estatísticos e de desenho causal foram preenchidos apenas quando o método estava claramente declarado no texto.","Historical-analytical study of social insurance and labor protection in Brazil during the Vargas era (1930s-1940s). Uses archival and documentary sources (legislation, government magazines like Cultura Politica, secondary historiography) to argue that state elites deliberately deployed social insurance benefits to strengthen union organization and expand social legislation. No quantitative data, no tables, no figures, no equations. The method is essayistic historical analysis grounded in primary documents."
S0011-52582018000200463,O Seguro Social e a Construção da Proteção do Trabalho no Brasil,2018,Dados,agent_b,brief_justification,"O artigo ""O Seguro Social e a Construção da Proteção do Trabalho no Brasil"" é uma análise qualitativa, documental ou de campo. O método pode ser explícito, mas o texto não sustenta análise quantitativa própria nem desenho causal de identificação.","Historical-analytical study of social insurance and labor protection in Brazil during the Vargas era (1930s-1940s). Uses archival and documentary sources (legislation, government magazines like Cultura Politica, secondary historiography) to argue that state elites deliberately deployed social insurance benefits to strengthen union organization and expand social legislation. No quantitative data, no tables, no figures, no equations. The method is essayistic historical analysis grounded in primary documents."
S0011-52582018000200463,O Seguro Social e a Construção da Proteção do Trabalho no Brasil,2018,Dados,agent_c,brief_justification,"O body canônico apresenta uma discussão conceitual, interpretativa ou histórica, sem análise própria de dados observacionais ou experimentais. Não há amostra, variáveis, equações estimadas ou resultados estatísticos sustentados pelo texto.","Historical-analytical study of social insurance and labor protection in Brazil during the Vargas era (1930s-1940s). Uses archival and documentary sources (legislation, government magazines like Cultura Politica, secondary historiography) to argue that state elites deliberately deployed social insurance benefits to strengthen union organization and expand social legislation. No quantitative data, no tables, no figures, no equations. The method is essayistic historical analysis grounded in primary documents."
S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,2024,Dados,agent_a,brief_justification,"O corpo de ""Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro"" conduz análise empírica qualitativa ou histórico-documental, não uma análise quantitativa de dados observacionais ou experimentais. Os campos estatísticos e de desenho causal foram preenchidos apenas quando o método estava claramente declarado no texto.","Mixed-methods study of 103 Brazilian federal participatory councils under Bolsonaro (2019-2022). Uses original legal/administrative dataset to classify councils by normative and activity status across policy areas. Develops a typology of institutional resilience based on design strength and policy community insertion. Primarily descriptive/typological with qualitative comparative logic rather than formal quantitative causal inference. Implicit causal claims about government preferences and institutional design driving differential deinstitutionalization, but no regression models, statistical tests, or formal causal design."
S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,2024,Dados,agent_b,brief_justification,"O artigo ""Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro"" é uma análise qualitativa, documental ou de campo. O método pode ser explícito, mas o texto não sustenta análise quantitativa própria nem desenho causal de identificação.","Mixed-methods study of 103 Brazilian federal participatory councils under Bolsonaro (2019-2022). Uses original legal/administrative dataset to classify councils by normative and activity status across policy areas. Develops a typology of institutional resilience based on design strength and policy community insertion. Primarily descriptive/typological with qualitative comparative logic rather than formal quantitative causal inference. Implicit causal claims about government preferences and institutional design driving differential deinstitutionalization, but no regression models, statistical tests, or formal causal design."
S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,2024,Dados,agent_c,brief_justification,"O artigo sistematiza 103 colegiados nacionais para avaliar desinstitucionalização e resiliência no governo Bolsonaro. A análise é empírica, tabular e tipológica, com mecanismos institucionais discutidos, mas sem regressão, significância estatística ou desenho causal identificado.","Mixed-methods study of 103 Brazilian federal participatory councils under Bolsonaro (2019-2022). Uses original legal/administrative dataset to classify councils by normative and activity status across policy areas. Develops a typology of institutional resilience based on design strength and policy community insertion. Primarily descriptive/typological with qualitative comparative logic rather than formal quantitative causal inference. Implicit causal claims about government preferences and institutional design driving differential deinstitutionalization, but no regression models, statistical tests, or formal causal design."
S0011-52582025000400220,O Jovem Claude Lefort entre Socialismo e Democracia: Uma Leitura Sociológica*,2025,Dados,agent_a,brief_justification,"O corpo de ""O Jovem Claude Lefort entre Socialismo e Democracia: Uma Leitura Sociológica*"" se apresenta como ensaio teórico, conceitual ou de história das ideias, sem análise própria de dados observacionais ou experimentais. Por isso, os campos de desenho causal, variáveis, amostra e resultados estatísticos foram deixados nulos.","Theoretical and historical article using a sociological reading of Claude Lefort's intellectual trajectory and writings from the 1940s-1960s. No quantitative data, statistical analysis, or empirical dataset. The paper relies on documentary analysis of Lefort's published texts, journals (Socialisme ou Barbarie, Les Temps Modernes), and secondary literature on French intellectual history."
S0011-52582025000400220,O Jovem Claude Lefort entre Socialismo e Democracia: Uma Leitura Sociológica*,2025,Dados,agent_b,brief_justification,"O artigo ""O Jovem Claude Lefort entre Socialismo e Democracia: Uma Leitura Sociológica*"" é tratado como ensaio teórico, conceitual ou histórico-intelectual. Não há análise empírica quantitativa própria nem desenho de identificação causal sustentado pelo corpo do texto.","Theoretical and historical article using a sociological reading of Claude Lefort's intellectual trajectory and writings from the 1940s-1960s. No quantitative data, statistical analysis, or empirical dataset. The paper relies on documentary analysis of Lefort's published texts, journals (Socialisme ou Barbarie, Les Temps Modernes), and secondary literature on French intellectual history."
S0011-52582025000400220,O Jovem Claude Lefort entre Socialismo e Democracia: Uma Leitura Sociológica*,2025,Dados,agent_c,brief_justification,"O body canônico apresenta uma discussão conceitual, interpretativa ou histórica, sem análise própria de dados observacionais ou experimentais. Não há amostra, variáveis, equações estimadas ou resultados estatísticos sustentados pelo texto.","Theoretical and historical article using a sociological reading of Claude Lefort's intellectual trajectory and writings from the 1940s-1960s. No quantitative data, statistical analysis, or empirical dataset. The paper relies on documentary analysis of Lefort's published texts, journals (Socialisme ou Barbarie, Les Temps Modernes), and secondary literature on French intellectual history."
S0011-52582025000400228,"José Maria Ibiapina, um Ultramontano Heterodoxo?*",2025,Dados,agent_a,brief_justification,"O corpo de ""José Maria Ibiapina, um Ultramontano Heterodoxo?*"" se apresenta como ensaio teórico, conceitual ou de história das ideias, sem análise própria de dados observacionais ou experimentais. Por isso, os campos de desenho causal, variáveis, amostra e resultados estatísticos foram deixados nulos.","Historical-interpretive article analyzing primary sources (19th-century newspapers, episcopal texts, missionary chronicles) and secondary historiography to reassess Father Ibiapina's relationship to ultramontane Catholic reform in Imperial Brazil. No quantitative data or statistical analysis is employed; the method is archival/documentary historical analysis."
S0011-52582025000400228,"José Maria Ibiapina, um Ultramontano Heterodoxo?*",2025,Dados,agent_b,brief_justification,"O artigo ""José Maria Ibiapina, um Ultramontano Heterodoxo?*"" é uma análise qualitativa, documental ou de campo. O método pode ser explícito, mas o texto não sustenta análise quantitativa própria nem desenho causal de identificação.","Historical-interpretive article analyzing primary sources (19th-century newspapers, episcopal texts, missionary chronicles) and secondary historiography to reassess Father Ibiapina's relationship to ultramontane Catholic reform in Imperial Brazil. No quantitative data or statistical analysis is employed; the method is archival/documentary historical analysis."
S0011-52582025000400228,"José Maria Ibiapina, um Ultramontano Heterodoxo?*",2025,Dados,agent_c,brief_justification,"O body canônico apresenta uma discussão conceitual, interpretativa ou histórica, sem análise própria de dados observacionais ou experimentais. Não há amostra, variáveis, equações estimadas ou resultados estatísticos sustentados pelo texto.","Historical-interpretive article analyzing primary sources (19th-century newspapers, episcopal texts, missionary chronicles) and secondary historiography to reassess Father Ibiapina's relationship to ultramontane Catholic reform in Imperial Brazil. No quantitative data or statistical analysis is employed; the method is archival/documentary historical analysis."
