agent_id,field,n_total,n_binary,gold_true,gold_false,gold_null_or_nonbinary,pred_true,pred_false,pred_null_or_nonbinary,tp,fp,tn,fn,binary_accuracy,precision,recall_sensitivity,specificity,negative_predictive_value,f1,balanced_accuracy,false_positive_rate,false_negative_rate
agent_c,makes_implicit_causal_claim,175,171,33,138,4,24,4,147,17,7,131,16,0.8654970760233918,0.7083333333333334,0.5151515151515151,0.9492753623188406,0.891156462585034,0.5964912280701754,0.7322134387351779,0.050724637681159424,0.48484848484848486
agent_a,makes_implicit_causal_claim,175,171,33,138,4,27,83,65,16,11,127,17,0.8362573099415205,0.5925925925925926,0.48484848484848486,0.9202898550724637,0.8819444444444444,0.5333333333333333,0.7025691699604744,0.07971014492753623,0.5151515151515151
agent_b,makes_implicit_causal_claim,175,171,33,138,4,4,171,0,3,1,137,30,0.8187134502923976,0.75,0.09090909090909091,0.9927536231884058,0.8203592814371258,0.16216216216216214,0.5418313570487483,0.007246376811594203,0.9090909090909091
agent_a,mentions_pre_registered_design_and_analysis_plan,175,161,0,161,14,0,51,124,0,0,161,0,1,,,1,1,,,0,
agent_b,mentions_pre_registered_design_and_analysis_plan,175,161,0,161,14,0,175,0,0,0,161,0,1,,,1,1,,,0,
agent_c,mentions_pre_registered_design_and_analysis_plan,175,161,0,161,14,0,5,170,0,0,161,0,1,,,1,1,,,0,
agent_a,placebo_test,175,17,0,17,158,0,16,159,0,0,17,0,1,,,1,1,,,0,
agent_b,placebo_test,175,17,0,17,158,0,36,139,0,0,17,0,1,,,1,1,,,0,
agent_c,placebo_test,175,17,0,17,158,0,3,172,0,0,17,0,1,,,1,1,,,0,
agent_a,references_power_analysis,175,42,1,41,133,0,51,124,0,0,41,1,0.9761904761904762,,0,1,0.9761904761904762,,0.5,0,1
agent_b,references_power_analysis,175,42,1,41,133,0,38,137,0,0,41,1,0.9761904761904762,,0,1,0.9761904761904762,,0.5,0,1
agent_c,references_power_analysis,175,42,1,41,133,0,48,127,0,0,41,1,0.9761904761904762,,0,1,0.9761904761904762,,0.5,0,1
agent_b,seeks_determinants,175,85,24,61,90,35,81,59,20,5,56,4,0.8941176470588236,0.8,0.8333333333333334,0.9180327868852459,0.9333333333333333,0.816326530612245,0.8756830601092896,0.08196721311475409,0.16666666666666666
agent_c,seeks_determinants,175,85,24,61,90,19,34,122,17,1,60,7,0.9058823529411765,0.9444444444444444,0.7083333333333334,0.9836065573770492,0.8955223880597015,0.8095238095238096,0.8459699453551912,0.01639344262295082,0.2916666666666667
agent_a,seeks_determinants,175,85,24,61,90,34,76,65,18,6,55,6,0.8588235294117647,0.75,0.75,0.9016393442622951,0.9016393442622951,0.75,0.8258196721311475,0.09836065573770492,0.25
agent_c,specifies_estimate_equations,175,42,1,41,133,6,42,127,1,1,40,0,0.9761904761904762,0.5,1,0.975609756097561,1,0.6666666666666666,0.9878048780487805,0.024390243902439025,0
agent_a,specifies_estimate_equations,175,42,1,41,133,14,19,142,1,3,38,0,0.9285714285714286,0.25,1,0.926829268292683,1,0.4,0.9634146341463414,0.07317073170731707,0
agent_b,specifies_estimate_equations,175,42,1,41,133,14,24,137,1,3,38,0,0.9285714285714286,0.25,1,0.926829268292683,1,0.4,0.9634146341463414,0.07317073170731707,0
agent_a,statement_of_identification_assumptions,175,62,0,62,113,0,34,141,0,0,62,0,1,,,1,1,,,0,
agent_b,statement_of_identification_assumptions,175,62,0,62,113,0,36,139,0,0,62,0,1,,,1,1,,,0,
agent_c,statement_of_identification_assumptions,175,62,0,62,113,1,19,155,0,0,62,0,1,,,1,1,,,0,
agent_a,strong_non_causal_causal_qualification,175,22,0,22,153,1,66,108,0,0,22,0,1,,,1,1,,,0,
agent_b,strong_non_causal_causal_qualification,175,22,0,22,153,4,32,139,0,1,21,0,0.9545454545454546,0,,0.9545454545454546,1,,,0.045454545454545456,
agent_c,strong_non_causal_causal_qualification,175,22,0,22,153,3,7,165,0,1,21,0,0.9545454545454546,0,,0.9545454545454546,1,,,0.045454545454545456,
