pid,title,year,journal_title,source_file,input_text_hash,error_in_raw_text,subfield,is_empirical_quant_paper,general_goal_of_analysis,single_country_study,single_region,countries_of_focus,paper_uses_survey_data,uses_original_dataset,seeks_determinants,main_causal_research_design,other_research_design,instrumental_variable_instrument,placebo_test,independent_variables,dependent_variables,main_variable_relationship,makes_explicit_causal_claim,makes_implicit_causal_claim,strong_non_causal_causal_qualification,sample_size,sample_size_quote,claims_any_statistically_significant_results,references_power_analysis,clearly_defined_explanatory_variable,clear_causal_quantity_of_interest,specifies_estimate_equations,discusses_threats_to_causality,statement_of_identification_assumptions_quote,statement_of_identification_assumptions,effort_to_explore_mechanisms,mentions_pre_registered_design_and_analysis_plan,evidence_type,method_status,brief_justification
S0011-52582018000200463,O Seguro Social e a Construção da Proteção do Trabalho no Brasil,2018,Dados,data/processed/fulltext_gold/article_texts_gold.csv,4ac1fd28a264747ba1ace1acbb401587654a2ca16277e4c109feb21e19e648ff,No Error,Public Policy/Administration,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,
S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,2024,Dados,data/processed/fulltext_gold/article_texts_gold.csv,fd2b45b84af03759cdc0cf1967ed4815da8b35702939f45f2fd6bf4c5e951ae9,No Error,Public Policy/Administration,,Describe,single_country,<NULL>,Brazil,no_survey_data,structure_systematize,TRUE,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,<NULL>,,<NULL>,,,FALSE,,explicit,
S0011-52582025000400220,O Jovem Claude Lefort entre Socialismo e Democracia: Uma Leitura Sociológica*,2025,Dados,data/processed/fulltext_gold/article_texts_gold.csv,23fbdc9aed8e383d563e0b5c995bfb3ff722697b3c33f05c1d0ed23965423592,No Error,Political Theory and Philosophy,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,theoretical-normative,essayistic,
S0011-52582025000400228,"José Maria Ibiapina, um Ultramontano Heterodoxo?*",2025,Dados,data/processed/fulltext_gold/article_texts_gold.csv,0362e4c727a79db636d31c41f13577a9e02211546b60515d06e145e77a26acc4,No Error,Political Theory and Philosophy,FALSE,<NULL>,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,essayistic,
S0034-73292005000200008,O Brasil e o Conselho de Segurança da Organização das Nações Unidas: dos anos 90 a 2002,2005,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,6a1353b29d78585c14d20c8f4c9a8401ee1d86fe876c78f57aa502eccbba6b74,No Error,International Relations,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,
S0034-73292008000100004,Aspectos da integração regional em defesa no Cone Sul,2008,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,6deec75de1e3e8ae5b2a416cb24730c8a1953f62473b5ae03f7f4864891816bc,No Error,International Relations,FALSE,Describe,multiple_countries,<NULL>,,no_survey_data,<NULL>,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,essayistic,
S0034-73292009000100001,La Argentina y el Plan Marshall: promesas y realidades,2009,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,1affb5497ca62273ecc9423c968dadb35cf576d3dd68086b88da7c5e682f8eac,No Error,International Relations,FALSE,Describe,multiple_countries,<NULL>,Argentina; United States,no_survey_data,<NULL>,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,essayistic,
S0034-73292009000100007,Ordem e Justiça na sociedade internacional pós-11 de Setembro,2009,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,d621786c74980f79e2b3818dc2c1c99c9adffbb8fde73199cd6eb5d27a39a45c,No Error,International Relations,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,theoretical-normative,essayistic,
S0034-73292010000300011,Parceria global emergente: Brasil e China,2010,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,aaab9fbe57d69cdf660b417f838a6e24d97d67b806ca916c1dda599d1e11eb25,No Error,International Relations,FALSE,Describe,multiple_countries,<NULL>,Brazil; China,no_survey_data,<NULL>,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,essayistic,
S0034-73292011000200008,Brasil y la región: una potencia emergente y la integración regional sudamericana,2011,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,e383d3cb2001ee0d45d7c9e68bfe01f5f58fe61e86b872948486d5d27f4f3a59,No Error,International Relations,FALSE,,,<NULL>,,no_survey_data,<NULL>,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,essayistic,
S0034-73292012000100003,Ascenso y hegemonía: pensando a las potencias emergentes desde América del Sur,2012,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,a915337a82a7f22d0dacaf63c4b655dc2fd86d373f392139ce8fba81f1760a91,No Error,International Relations,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,theoretical-normative,essayistic,
S0034-73292012000300007,Dilema de escolha: a resposta chinesa à mudança climática,2012,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,549dbd27cc9e7a819c7dece950220e3e5693c67f7011994052835722f048df51,No Error,International Relations,FALSE,Explain,single_country,<NULL>,China,no_survey_data,<NULL>,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,,essayistic,
S0034-73292017000100203,Brazilian Foreign Policy Towards Internet Governance,2017,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,0e93d78fe71f106d2cdf6464c1154a1a660ae118602b30250c5ba89e4916d87c,No Error,International Relations,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,
S0034-73292017000100218,Clashing frames: human rights and foreign policy in the Brazilian re-democratization process,2017,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,552d7fb9b3342cbf4911ed66fc6805f5977c604af6fd5f7446408c65d5ab2733,No Error,International Relations,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,structure_systematize,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,qualitative,,
S0034-73292017000200207,Explaining Defense Cooperation With Process-tracing: the Brazilian Proposal for the Creation of UNASUR South American Defense Council,2017,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,47befe0e532905f602eb35dd05d354df8970fe415b74e67bc313d0b59f19ca2c,No Error,International Relations,FALSE,Explain,single_country,<NULL>,Brazil,no_survey_data,,TRUE,Other,,<NULL>,FALSE,<NULL>,<NULL>,<NULL>,TRUE,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,TRUE,FALSE,<NULL>,FALSE,<NULL>,FALSE,Mechanisms/Channels Mentioned With Substantial Exploration,<NULL>,qualitative,explicit,
S0034-73292017000200208,The Brazilian participation in UNIFIL: raising Brazil&#8217;s profile in international peace and security in the Middle East?,2017,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,ec42d589d9f8fbdf102058c9e0a670ec61345b3646fa9202d566dc6f789e665c,No Error,International Relations,FALSE,Describe,multiple_countries,<NULL>,Brazil; Lebanon,no_survey_data,<NULL>,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,qualitative,,
S0034-73292021000200208,What doesn&#8217;t kill a norm makes it stronger? Brazil&#8217;s contestation of the responsibility to protect,2021,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,dd273b926e701100fb20ce5001082fc62daaac78f6c22e1cf2942a940ae9146e,No Error,International Relations,FALSE,Explain,single_country,<NULL>,Brazil,no_survey_data,structure_systematize,TRUE,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,<NULL>,FALSE,<NULL>,,,<NULL>,qualitative,,
S0034-73292022000100205,The space left for regional integration (or lack thereof): Structural causes of institutional fragmentation in Latin America (1991-2019),2022,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,d0dd171b90bc53f95cc4024a2e606ed43288c41269fbdc29dcfffe9efe1eeceb,No Error,International Relations,FALSE,Explain,multiple_countries,<NULL>,<NULL>,no_survey_data,structure_systematize,TRUE,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,<NULL>,FALSE,<NULL>,,,<NULL>,qualitative,,
S0034-73292023000200502,Mercosur and Environment: progress in promoting the Sustainable Development Goals and the 2030 Agenda,2023,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,1db376696560f9c5129153051bceb1921abfbaf0023d5af2578be3a863210278,No Error,International Relations,FALSE,Describe,multiple_countries,<NULL>,,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,
S0034-73292025000200604,Impact of China&#8211;Latin America Transportation Infrastructure Cooperation on Latin American Economies: A Project Data Study (2009&#8211;2023),2025,Revista Brasileira de Política Internacional,data/processed/fulltext_gold/article_texts_gold.csv,378d5174a5c6c76cf625e5e79f1e7b4870f1f1eeaef76ec1631fc8410a316f98,No Error,International Relations,TRUE,Explain,multiple_countries,<NULL>,<NULL>,no_survey_data,procure_original_data,TRUE,,,<NULL>,<NULL>,,,<NULL>,,,FALSE,<NULL>,<NULL>,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,<NULL>,FALSE,,FALSE,mixed,explicit,
S0034-76122006000100004,Articulação de políticas públicas a partir dos fóruns de competitividade setoriais: a experiência recente da cadeia produtiva têxtil e de confecções,2006,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,6bff9ec111ac59f09a758606dd814f805cb0ff9ad1baf7dd24b326a087a96ce8,No Error,Public Policy/Administration,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,
S0034-76122009000100006,Redes de C&T em institutos públicos de pesquisa brasileiros: o caso do Instituto Agronômico do Paraná (Iapar),2009,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,2d69fe8e563c571326d6af9d5ad4e2a541e4d1f28c9a0f67973cd86577bd5706,No Error,Public Policy/Administration,FALSE,Describe,single_country,single_region,Brazil,no_survey_data,field_study,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,qualitative,explicit,
S0034-76122009000300003,Exames de mamografia em Mato Grosso do Sul: análise da cobertura como componente de equidade,2009,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,e682e7d9e9f38da7a0fe70735177a6c7b5637a6adc92faab6a761e2ceb854642,No Error,Public Policy/Administration,TRUE,Describe,single_country,single_region,Brazil,no_survey_data,not_original,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,FALSE,<NULL>,77,Foram analisados os 77 municípios do estado de Mato Grosso do Sul.,FALSE,FALSE,FALSE,<NULL>,FALSE,<NULL>,<NULL>,<NULL>,,FALSE,quantitative,explicit,
S0034-76122009000600006,Accountability: já podemos traduzi-la para o português?,2009,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,85d81cc12e414c754a91ff96365db04860866a6968f6c2960fb1dcf7ba552716,No Error,Public Policy/Administration,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,theoretical-normative,essayistic,
S0034-76122011000400011,A unidade dos contrários: fordismo e pós-fordismo,2011,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,27633bd23c23c6ad4d86a3b8de013eacbe32277247df923f517770938987f165,No Error,Public Policy/Administration,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,theoretical-normative,essayistic,
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,2014,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,e60134432242192a0ecb661800b36754cb1b1674b0e55a9fc304ffd946fb3c70,No Error,Public Policy/Administration,,Describe,single_country,multiple_region,Brazil,no_survey_data,field_study,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,FALSE,<NULL>,46,"Ao total, foram entrevistados 46 atores, sendo 16 no Paraná (Curitiba), 15 no Rio Grande do Sul (Porto Alegre) e 15 em Santa Catarina (Florianópolis), entre setembro e novembro de 2010.",<NULL>,FALSE,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,,explicit,
S0034-76122014000500011,Dificuldades e perspectivas no acesso de micro e pequenas empresas a linhas de crédito públicas: o caso de Chapecó,2014,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,88743debfb8c4236e02d76ae3a76bff64ffc8aa7ecfdc6d1abc27449b4edeb7c,No Error,Public Policy/Administration,,Describe,single_country,single_region,Brazil,runs_original_survey,original_survey,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,FALSE,<NULL>,99,"Foram aplicados 99 questionários4 constituídos por perguntas abertas e fechadas, aplicados aos responsáveis pelas microempresas do município de Chapecó.",<NULL>,FALSE,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,,explicit,
S0034-76122014000600003,Problema da falta de vagas em creches: matriz de loops e a priorização de causas de problemas complexos,2014,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,d52dd4318e8370bf0f51818a4ad5796b2edb2cbc0a43f63508828eb219c53a4a,No Error,Public Policy/Administration,,Describe,single_country,<NULL>,Brazil,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,,explicit,
S0034-76122015000300563,"A configuração institucional da política de esporte no Brasil: organização, evolução e dilemas",2015,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,af6aba3961f625503fd369ac6decb9343a339829b0c0270f7c114255278c3388,No Error,Public Policy/Administration,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,
S0034-76122016000500745,A auditoria de custos e preços: eficácia nos serviços contratantes de defesa na Espanha,2016,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,c1aedf2684a2b61cb2136b83fe8a6b2122d1f97f3421ab52a1d6b6c1ae4a046e,No Error,Public Policy/Administration,,Describe,single_country,<NULL>,Spain,no_survey_data,not_original,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,FALSE,,,
S0034-76122016000600959,"Análise de políticas públicas no Brasil: de uma prática não nomeada à institucionalização do ""campo de públicas""",2016,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,dad4ad22d4a13ad63431e1a7c9ef4b0ae6577dd12574068345feceb6b0691fe1,No Error,Public Policy/Administration,FALSE,<NULL>,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,
S0034-76122017000500879,Determinantes para o cumprimento de prazo e preço em obras da educação: uma análise nos municípios capixabas,2017,Revista de Administração Pública,data/processed/fulltext_gold/article_texts_gold.csv,449e3c37351931c33632f2f8bb552dfb03763098b383fb2108c75789847cf754,No Error,Public Policy/Administration,TRUE,Explain,single_country,single_region,Brazil,no_survey_data,procure_original_data,TRUE,Kitchen Sink Linear Model,<NULL>,<NULL>,FALSE,,,,TRUE,,FALSE,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,<NULL>,FALSE,,FALSE,quantitative,explicit,
