pid,audited_agent_id,field,status,severity,reason,supporting_excerpt,classification_value,overall_fidelity_status,file
S0011-52582006000300002,agent_a,main_causal_research_design,supported_by_text,none,The classification makes no causal-research-design claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,makes_explicit_causal_claim,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,makes_implicit_causal_claim,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,statement_of_identification_assumptions,supported_by_text,none,The classification makes no determinate identification-assumption claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,statement_of_identification_assumptions_quote,supported_by_text,none,The classification makes no quotation claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,specifies_estimate_equations,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,effort_to_explore_mechanisms,supported_by_text,none,The classification makes no mechanism-effort claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,claims_any_statistically_significant_results,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,references_power_analysis,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582006000300002,agent_a,mentions_pre_registered_design_and_analysis_plan,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582006000300002.json
S0011-52582008000400005,agent_a,sample_size,supported_by_text,none,The classification makes no sample-size claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,sample_size_quote,supported_by_text,none,The classification makes no sample-size quotation claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,independent_variables,supported_by_text,none,The classification makes no specific variable-list claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,dependent_variables,supported_by_text,none,The classification makes no specific variable-list claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,main_variable_relationship,supported_by_text,none,The classification makes no specific IV-DV relationship claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,paper_uses_survey_data,supported_by_text,none,No own-analysis survey/questionnaire/opinion-poll evidence was found; contextual or qualitative-interview mentions are not counted.,,no_survey_data,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,uses_original_dataset,supported_by_text,none,The classification makes no original-dataset claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,main_causal_research_design,supported_by_text,none,The classification makes no causal-research-design claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,makes_explicit_causal_claim,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,makes_implicit_causal_claim,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,statement_of_identification_assumptions,supported_by_text,none,The classification makes no determinate identification-assumption claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,statement_of_identification_assumptions_quote,supported_by_text,none,The classification makes no quotation claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,specifies_estimate_equations,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,effort_to_explore_mechanisms,supported_by_text,none,The classification makes no mechanism-effort claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,claims_any_statistically_significant_results,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,references_power_analysis,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582008000400005,agent_a,mentions_pre_registered_design_and_analysis_plan,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582008000400005.json
S0011-52582010000200002,agent_a,sample_size,supported_by_text,none,The classification makes no sample-size claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,sample_size_quote,supported_by_text,none,The classification makes no sample-size quotation claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,independent_variables,supported_by_text,none,The classification makes no specific variable-list claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,dependent_variables,supported_by_text,none,The classification makes no specific variable-list claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,main_variable_relationship,supported_by_text,none,The classification makes no specific IV-DV relationship claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,paper_uses_survey_data,supported_by_text,none,No own-analysis survey/questionnaire/opinion-poll evidence was found; contextual or qualitative-interview mentions are not counted.,,no_survey_data,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,uses_original_dataset,supported_by_text,none,The classification makes no original-dataset claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,main_causal_research_design,supported_by_text,none,The classification makes no causal-research-design claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,makes_explicit_causal_claim,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,makes_implicit_causal_claim,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,statement_of_identification_assumptions,supported_by_text,none,The classification makes no determinate identification-assumption claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,statement_of_identification_assumptions_quote,supported_by_text,none,The classification makes no quotation claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,specifies_estimate_equations,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,effort_to_explore_mechanisms,supported_by_text,none,The classification makes no mechanism-effort claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,claims_any_statistically_significant_results,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,references_power_analysis,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000200002,agent_a,mentions_pre_registered_design_and_analysis_plan,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000200002.json
S0011-52582010000300002,agent_a,sample_size,supported_by_text,none,The classification makes no sample-size claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,sample_size_quote,supported_by_text,none,The classification makes no sample-size quotation claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,independent_variables,supported_by_text,none,The classification makes no specific variable-list claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,dependent_variables,supported_by_text,none,The classification makes no specific variable-list claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,main_variable_relationship,supported_by_text,none,The classification makes no specific IV-DV relationship claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,paper_uses_survey_data,supported_by_text,none,No own-analysis survey/questionnaire/opinion-poll evidence was found; contextual or qualitative-interview mentions are not counted.,,no_survey_data,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,uses_original_dataset,supported_by_text,none,The classification makes no original-dataset claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,main_causal_research_design,supported_by_text,none,The classification makes no causal-research-design claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,makes_explicit_causal_claim,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,makes_implicit_causal_claim,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,statement_of_identification_assumptions,supported_by_text,none,The classification makes no determinate identification-assumption claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,statement_of_identification_assumptions_quote,supported_by_text,none,The classification makes no quotation claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,specifies_estimate_equations,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,effort_to_explore_mechanisms,supported_by_text,none,The classification makes no mechanism-effort claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,claims_any_statistically_significant_results,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,references_power_analysis,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582010000300002,agent_a,mentions_pre_registered_design_and_analysis_plan,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582010000300002.json
S0011-52582011000100004,agent_a,sample_size,supported_by_text,none,The classification makes no sample-size claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,sample_size_quote,supported_by_text,none,The classification makes no sample-size quotation claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,independent_variables,supported_by_text,none,The classification makes no specific variable-list claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,dependent_variables,supported_by_text,none,The classification makes no specific variable-list claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,main_variable_relationship,supported_by_text,none,The classification makes no specific IV-DV relationship claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,paper_uses_survey_data,supported_by_text,none,No own-analysis survey/questionnaire/opinion-poll evidence was found; contextual or qualitative-interview mentions are not counted.,,no_survey_data,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,uses_original_dataset,supported_by_text,none,The classification makes no original-dataset claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,main_causal_research_design,supported_by_text,none,The classification makes no causal-research-design claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,makes_explicit_causal_claim,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,makes_implicit_causal_claim,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,statement_of_identification_assumptions,supported_by_text,none,The classification makes no determinate identification-assumption claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,statement_of_identification_assumptions_quote,supported_by_text,none,The classification makes no quotation claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,specifies_estimate_equations,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,effort_to_explore_mechanisms,supported_by_text,none,The classification makes no mechanism-effort claim.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,claims_any_statistically_significant_results,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,references_power_analysis,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582011000100004,agent_a,mentions_pre_registered_design_and_analysis_plan,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,pass,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582011000100004.json
S0011-52582013000100006,agent_a,sample_size,supported_by_text,none,The classification makes no sample-size claim.,,<NULL>,fail,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
S0011-52582013000100006,agent_a,sample_size_quote,supported_by_text,none,The classification makes no sample-size quotation claim.,,<NULL>,fail,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
S0011-52582013000100006,agent_a,independent_variables,supported_by_text,none,The classification makes no specific variable-list claim for this field.,,<NULL>,fail,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
S0011-52582013000100006,agent_a,dependent_variables,supported_by_text,none,The classification makes no specific variable-list claim for this field.,,<NULL>,fail,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
S0011-52582013000100006,agent_a,main_variable_relationship,supported_by_text,none,The classification makes no specific IV-DV relationship claim.,,<NULL>,fail,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
S0011-52582013000100006,agent_a,paper_uses_survey_data,not_found_in_text,high,"The classification claims an original survey, but no own-analysis survey/questionnaire/opinion-poll evidence was found.",,runs_original_survey,fail,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
S0011-52582013000100006,agent_a,uses_original_dataset,not_found_in_text,medium,"The body supports qualitative interview data, but that is not compatible with original_survey.",,original_survey,fail,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
S0011-52582013000100006,agent_a,main_causal_research_design,supported_by_text,none,The classification makes no causal-research-design claim.,,<NULL>,fail,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
S0011-52582013000100006,agent_a,makes_explicit_causal_claim,contradicted_by_text,medium,"The classification is false, but the body contains direct evidence for the field.","mais fatalista diante da escolaridade e do futuro social. Ocasionalmente, a mobilização de uma Escola prestigiosa não tem apenas ef eitos s obre a escolaridade num sentido restrito, mas age também sobre a imagem e a atratividade do estabelecimento de ensino em",FALSE,fail,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
S0011-52582013000100006,agent_a,makes_implicit_causal_claim,supported_by_text,none,The classification does not claim implicit causal language.,,FALSE,fail,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
S0011-52582013000100006,agent_a,statement_of_identification_assumptions,supported_by_text,none,The classification makes no determinate identification-assumption claim.,,<NULL>,fail,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
S0011-52582013000100006,agent_a,statement_of_identification_assumptions_quote,supported_by_text,none,The classification makes no quotation claim for this field.,,<NULL>,fail,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
S0011-52582013000100006,agent_a,specifies_estimate_equations,supported_by_text,none,The classification makes no determinate factual claim for this field.,,<NULL>,fail,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
S0011-52582013000100006,agent_a,effort_to_explore_mechanisms,supported_by_text,none,The classification makes no mechanism-effort claim.,,<NULL>,fail,data/processed/full_classification_pilot_v2/fidelity_checker/agent_a/S0011-52582013000100006.json
