pid,title,journal_title,input_text_hash,is_empirical_paper,empirical_evidence_type,is_empirical_quant_paper_torreblanca,is_empirical_qual_paper,quantitative_analysis_type,quantitative_analysis_evidence_quote,has_statistical_inference,statistical_inference_quote,qualitative_analysis_goal,qualitative_goal_clarity,qualitative_goal_quote,causal_or_explanatory_claim_present,causal_or_explanatory_claim_quote,credibility_revolution_screen_applicable,credibility_revolution_screen_reason,credibility_revolution_method_present,credibility_revolution_method_type,causal_design_quote,main_variables_or_relationship,sample_or_data_source,tough_call,tough_call_reason,brief_justification
S0011-52582018000200463,O Seguro Social e a Construção da Proteção do Trabalho no Brasil,Dados,b306e54d35a283e47e7b6f1493376509a555a8d150835b458a84d23af60524ca,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,"este estudo se propõe a demonstrar como o seguro social referenciou a ação coletiva dos trabalhadores brasileiros, durante as décadas de 1930 e 1940",TRUE,"a legislação do seguro social criou, primeiramente e de um modo não premeditado, as condições para o advento do instituto da estabilidade do trabalhador",FALSE,qualitative_only,,,,"Historical relationship between Brazilian social-insurance legislation, labor protection, employment stability, and syndicalization.","Historical analysis of Brazilian social insurance, labor legislation, mutual societies, CAPs/IAPs, and political-legal debates from the First Republic through the Vargas period.",FALSE,,The article reconstructs and explains the historical development of social insurance and labor protection in Brazil using legal and historical material. It contains no original quantitative analysis and no statistical or credibility-revolution method.
S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,Dados,c3c0117b00d3bf9703be353602d7de1f37ca3ce2d3175338c352fd6ba6ab1776,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,"Cabe ressalvar que, como as variáveis dependentes foram construídas com base em documentos oficiais (atas de reuniões, portarias, decretos, etc.",TRUE,"Tais medidas incluem, aqui, o conjunto de atos normativos de diversa hierarquia que visaram efeitos restritivos ou de anulação do papel dos colegiados nas respectivas políticas.",FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro.,"documentos oficiais (atas de reuniões, portarias, decretos, etc.",TRUE,O artigo qualitativo menciona números contextuais; a regra anti-falso-positivo impediu classificá-lo como quantitativo.,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0011-52582025000400220,O Jovem Claude Lefort entre Socialismo e Democracia: Uma Leitura Sociológica*,Dados,21e8e2c654ae3d1c827fa9176cf8a2190245abc39a727e3f0e71c1d1dacffc2d,FALSE,none,FALSE,FALSE,none,,,,,,,FALSE,,FALSE,not_empirical,,,,,,FALSE,,"O body apresenta um ensaio teórico, normativo, conceitual ou de história das ideias, sem análise empírica própria. Por isso, os módulos quantitativo, qualitativo empírico e causal ficam nulos ou negativos."
S0011-52582025000400228,"José Maria Ibiapina, um Ultramontano Heterodoxo?*",Dados,320a3688842db44f501d80937dd2595a7c1cec24d306b7a28d062b81bb5c7649,FALSE,none,FALSE,FALSE,none,,,,,,,FALSE,,FALSE,not_empirical,,,,,,FALSE,,"O body apresenta um ensaio teórico, normativo, conceitual ou de história das ideias, sem análise empírica própria. Por isso, os módulos quantitativo, qualitativo empírico e causal ficam nulos ou negativos."
S0034-73292005000200008,O Brasil e o Conselho de Segurança da Organização das Nações Unidas: dos anos 90 a 2002,Revista Brasileira de Política Internacional,16c5e2c32f8fc83e39275b8749030259a881945151adcc09369e929b431987c4,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,,TRUE,"Depois de três assembléias gerais, onde havia composto a instância máxima da organização de modo temporário por causa da rotatividade, o Brasil passaria a cogitar o projeto de integrar-se a ela de modo perpétuo a partir de outubro de 1922.",FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: O Brasil e o Conselho de Segurança da Organização das Nações Unidas: dos anos 90 a 2002.,"dados pelo G-8 para debater o tema da energia nuclear, exatamente pela renúncia em fazer uso militar dela.",FALSE,,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0034-73292008000100004,Aspectos da integração regional em defesa no Cone Sul,Revista Brasileira de Política Internacional,87516c9863813c1ed610bfa218a4495494015d648fa29f391cd41fa11d68cc61,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,,TRUE,"...trolar desde sua formação até influenciarem escolhas de ministros civis de governos democraticamente eleitos, fatos que, se cogitados, causam arrepios em qualquer argentino. A posição dos militares frente aos civis nos governos recentes de Brasil e Argentina foi fator d...",FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: Aspectos da integração regional em defesa no Cone Sul.,dados obtidos pelo Sistema de Vigilância da Amazônia (Sivam).,FALSE,,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0034-73292009000100001,La Argentina y el Plan Marshall: promesas y realidades,Revista Brasileira de Política Internacional,83120919ad1500bc2d231fa7e371ec780d87d037a97ea35ad9ec024b5d47c764,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,,TRUE,"...a, el Plan Marshall se inscribía claramente en la política de ""contención del comunismo"" de la Guerra Fría. Esa era por otra parte, la causa estratégica fundamental que motorizó el plan como arma de la política exterior americana, siendo canalizado a través de una organ...",FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: La Argentina y el Plan Marshall: promesas y realidades.,,TRUE,O artigo qualitativo menciona números contextuais; a regra anti-falso-positivo impediu classificá-lo como quantitativo.,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0034-73292009000100007,Ordem e Justiça na sociedade internacional pós-11 de Setembro,Revista Brasileira de Política Internacional,81f183242176fea045b7f5fc302f0d90c3a3b6ab71a0f35ac29123c5c904e1a3,FALSE,none,FALSE,FALSE,none,,,,,,,FALSE,,FALSE,not_empirical,,,,,,FALSE,,"O body apresenta um ensaio teórico, normativo, conceitual ou de história das ideias, sem análise empírica própria. Por isso, os módulos quantitativo, qualitativo empírico e causal ficam nulos ou negativos."
S0034-73292010000300011,Parceria global emergente: Brasil e China,Revista Brasileira de Política Internacional,814fd29f92bba9af0e0b0adce6e6ccfaa26c454b63b588d2385ab19469205d94,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,,TRUE,"While the global influence of the strategic partnership is a very early phenomenon, it deserves to be investigated since the partnership has been a model for the cooperation between emerging powers.",FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: Parceria global emergente: Brasil e China.,tself to the world economy.,TRUE,O artigo qualitativo menciona números contextuais; a regra anti-falso-positivo impediu classificá-lo como quantitativo.,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0034-73292011000200008,Brasil y la región: una potencia emergente y la integración regional sudamericana,Revista Brasileira de Política Internacional,eca8f82a215d7434796f480fffaaae28e02e962eaec8aa05ac5144ad342cfe58,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,,TRUE,"...demos distinguir diferentes corrientes en función de los elementos que priorizan y que se han ido perfilando y gozando de más o menos influencia dependiendo de los distintos momentos históricos y de los presidentes que han llegado al poder. Con matices, se puede divid...",FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: Brasil y la región: una potencia emergente y la integración regional sudamericana.,,FALSE,,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0034-73292012000100003,Ascenso y hegemonía: pensando a las potencias emergentes desde América del Sur,Revista Brasileira de Política Internacional,68ebff45378e5bcf8359578ad044f654bacf3a3007f7b4fd74b1081388d3fb43,FALSE,none,FALSE,FALSE,none,,,,,,,FALSE,,FALSE,not_empirical,,,,,,FALSE,,"O body apresenta um ensaio teórico, normativo, conceitual ou de história das ideias, sem análise empírica própria. Por isso, os módulos quantitativo, qualitativo empírico e causal ficam nulos ou negativos."
S0034-73292012000300007,Dilema de escolha: a resposta chinesa à mudança climática,Revista Brasileira de Política Internacional,8ea60f66259d9e67bddee7f958075f3965ce47e7e0abcf1391a778ad3575ec39,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,,TRUE,...the security impact of climate change and proposes corresponding response measures. The report points out that: (1) climate change may cause serious natural challenges and food crises while forcing human beings to move away from coastal and delta regions  these challen...,FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: Dilema de escolha: a resposta chinesa à mudança climática.,tself to the goals of reducing energy use and carbon dioxide emission as active responses to global climate change.,TRUE,O artigo qualitativo menciona números contextuais; a regra anti-falso-positivo impediu classificá-lo como quantitativo.,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0034-73292017000100203,Brazilian Foreign Policy Towards Internet Governance,Revista Brasileira de Política Internacional,5a2c008a3c065534421bb9f713ea8cb320d89ef93d1e8414ccfaf394c74bbed4,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,,TRUE,Some of them rejected this external influence.,FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: Brazilian Foreign Policy Towards Internet Governance.,tself and demands a response from it.,TRUE,O artigo qualitativo menciona números contextuais; a regra anti-falso-positivo impediu classificá-lo como quantitativo.,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0034-73292017000100218,Clashing frames: human rights and foreign policy in the Brazilian re-democratization process,Revista Brasileira de Política Internacional,98465df3083d7c78db7b90ad33770cef27a28bb9915b98ad3594bc404137b090,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,3 I use archival sources less because I wish to revisit the events chronologically and linearly and more because I am concerned with distinct moments and trends within the period studied.,TRUE,"“The popularity of its new mode of advocacy”, in Moyn’s words, “forever transformed what it meant to agitate for humane causes, and spawned a new brand and age of internationalist citizen advocacy.",FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: Clashing frames: human rights and foreign policy in the Brazilian re-democratization process.,"tself useful “from above”, particularly in the international arena.",FALSE,,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0034-73292017000200207,Explaining Defense Cooperation With Process-tracing: the Brazilian Proposal for the Creation of UNASUR South American Defense Council,Revista Brasileira de Política Internacional,d98e726986e6c5cfa1a667a5a76d7e4cde0725b0c19f80d08169aa6d5f9ad461,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,"In this paper, Brazil and its proposal for the creation of the South American Defense Council (CDS) is the case study.",TRUE,"In order to understand the complex question of what caused the decision, we aim to use process-tracing to provide causal explanations regarding Brazilian defense cooperation.",FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: Explaining Defense Cooperation With Process-tracing: the Brazilian Proposal for the Creation of UNASUR South American Defense Council.,tself.,FALSE,,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0034-73292017000200208,The Brazilian participation in UNIFIL: raising Brazil&#8217;s profile in international peace and security in the Middle East?,Revista Brasileira de Política Internacional,603763f24de69bc26168d54f255f03f7283d75c5c30e268ca2363ddef6f33f40,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,"Overall, the article makes extensive use of primary sources such as Brazilian diplomatic communication obtained via the Lei de Acesso a Informação as well as interviews with Brazilian diplomats and military officers, including those who served within UNIFIL.",TRUE,"...the Brazilian Armed Forces in the Middle East, but part of a broader foreign policy project that involves the projection of Brazilian influence and presence, motivated by a particular understanding of Brazil’s potential contribution in the Middle East. The involvement...",FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: The Brazilian participation in UNIFIL: raising Brazil&#8217;s profile in international peace and security in the Middle East?.,,FALSE,,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0034-73292021000200208,What doesn&#8217;t kill a norm makes it stronger? Brazil&#8217;s contestation of the responsibility to protect,Revista Brasileira de Política Internacional,c4001840184995d015c7d8f6cf3b7e2edc5a471326caf9143e5e13392bcf3ce4,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,"...d indeed play a productive role in leading to greater understanding on the use of force within R2P. It is against this background that this article aims to assess the process of Brazil’s contestation of R2P and how it affects the R2P norm, probing into what the outcomes...",TRUE,"...x relationship between peace, security and development” (Brazil 2013) in its defense of prevention as the best tool to tackle the root causes of conflicts (Brazil 2011b). Accordingly, it has argued for the prioritization of “structural prevention”, which recognizes dime...",FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: What doesn&#8217;t kill a norm makes it stronger? Brazil&#8217;s contestation of the responsibility to protect.,tself.,FALSE,,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0034-73292022000100205,The space left for regional integration (or lack thereof): Structural causes of institutional fragmentation in Latin America (1991-2019),Revista Brasileira de Política Internacional,fa6b3ef9d0877e6d5147e6cf1de0ee9c2f2cf999b0614d40c79e51ca54f6f9ed,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,,TRUE,"...e region apart and the centripetal forces that should have kept it together (and why they have not) by asking: what are the structural causes of institutional fragmentation that affect regional integration processes in Latin America? For that, we look to China and Brazi...",FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: The space left for regional integration (or lack thereof): Structural causes of institutional fragmentation in Latin America (1991-2019).,,FALSE,,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0034-73292023000200502,Mercosur and Environment: progress in promoting the Sustainable Development Goals and the 2030 Agenda,Revista Brasileira de Política Internacional,ba9693e553bc98d1aaf699c6ece0ad1b4fcf15199921d32126c611100282ceb6,TRUE,mixed_empirical,TRUE,TRUE,descriptive_statistics_only,"...g discussed and incorporated into Mercosur, the research methodology used was a literature review, document collection and analysis, a survey of institutional data and an interview with the Brazilian technical representative on SGT-06. The article is divided into four p...",FALSE,,mixed_descriptive_explanatory,clear,"...rcosur, the research methodology used was a literature review, document collection and analysis, a survey of institutional data and an interview with the Brazilian technical representative on SGT-06. The article is divided into four parts. The first summarises the evolu...",TRUE,"However, it was a period marked by totalitarian governments and political, ideological and economic disputes between countries in the capitalist and socialist zones of influence, conditions that delayed concrete actions for global environmental protection.",FALSE,descriptive_quantitative_only,,,,Relações empíricas quantitativas analisadas no artigo sobre: Mercosur and Environment: progress in promoting the Sustainable Development Goals and the 2030 Agenda.,"tself as a key forum for member countries to cooperate and discuss the environmental issues they face, and its work includes discussing common environmental challenges, potential joint solutions, training, capacity building, and recommendations for harmonising domestic regulations and policies.",FALSE,,"O body contém análise quantitativa própria ou reanálise de dados, classificada como descriptive_statistics_only. A triagem causal foi aplicada quando havia modelagem, testes bivariados ou desenho causal detectado no texto."
S0034-73292025000200604,Impact of China&#8211;Latin America Transportation Infrastructure Cooperation on Latin American Economies: A Project Data Study (2009&#8211;2023),Revista Brasileira de Política Internacional,9116c4af96269aad36cafae37f5467a4a1b526956227ccc189425ec28527ebf2,TRUE,mixed_empirical,TRUE,TRUE,descriptive_statistics_only,"According to the World Bank, logistics costs in the United States account for about 8% of GDP, while this figure is approximately 15% to 20% for middle-income countries and around 30% for low-income countries (Arvis et al.",FALSE,,mixed_descriptive_explanatory,clear,This article consists of five main parts in addition to the introduction.,TRUE,"Some scholars evaluate China’s influence in Latin American infrastructure, finding significant variation across countries.",FALSE,descriptive_quantitative_only,,,,Relações empíricas quantitativas analisadas no artigo sobre: Impact of China&#8211;Latin America Transportation Infrastructure Cooperation on Latin American Economies: A Project Data Study (2009&#8211;2023).,"tself is a massive economic activity, involving multiple related industries such as construction, steel, cement, and engineering machinery.",FALSE,,"O body contém análise quantitativa própria ou reanálise de dados, classificada como descriptive_statistics_only. A triagem causal foi aplicada quando havia modelagem, testes bivariados ou desenho causal detectado no texto."
S0034-76122006000100004,Articulação de políticas públicas a partir dos fóruns de competitividade setoriais: a experiência recente da cadeia produtiva têxtil e de confecções,Revista de Administração Pública,874b250c246853c8cb838321588a721c564a37bc32410c6a70d48a880441a5f4,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,"...uma agenda de metas e ações desafiadoras de sua capacidade competitiva, conforme a estratégia de um ""diálogo para o desenvolvimento"". Este artigo discorre sobre a evolução recente dessa cadeia, analisar a ação do Fórum de Competitividade da Cadeia Produtiva Têxtil e de...",TRUE,"Na década de 1990, a CTC foi uma das que mais sentiu o impacto da abertura comercial e da sobrevalorização cambial verificada no período pós-Plano Real.",FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: Articulação de políticas públicas a partir dos fóruns de competitividade setoriais: a experiência recente da cadeia produtiva têxtil e de confecções.,"dados do Ministério do Trabalho e Emprego, a cadeia gerou, em 1999 e 2000, 96.",TRUE,O artigo qualitativo menciona números contextuais; a regra anti-falso-positivo impediu classificá-lo como quantitativo.,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
S0034-76122009000100006,Redes de C&T em institutos públicos de pesquisa brasileiros: o caso do Instituto Agronômico do Paraná (Iapar),Revista de Administração Pública,c45edb8393e145726983600e48131abe57d8f21bf6017725b04b182ec1f16f50,TRUE,qualitative_only,FALSE,TRUE,none,,,,mixed_descriptive_explanatory,clear,"...logia A opção aqui foi por uma pesquisa qualitativa, descritiva e seccional, com perspectiva longitudinal, desenvolvida por meio de um estudo de caso realizado no Instituto Agronômico do Paraná (Iapar), uma entidade de administração indireta (autarquia estadual), vincul...",TRUE,"...ansformouse, principalmente devido à crescente ênfase na industrialização interna. Além disso, a industrialização oriunda da revolução causou a necessidade de uma maior oferta de alimentos, o que fez com que o governo federal adotasse uma política agressiva de moderniza...",FALSE,qualitative_only,,,,Evidência qualitativa usada para reconstruir ou explicar o objeto do artigo: Redes de C&T em institutos públicos de pesquisa brasileiros: o caso do Instituto Agronômico do Paraná (Iapar).,"dados obtidos, possibilitando a compreensão de como foram e são executados projetos em rede de C&T no Iapar.",FALSE,,"O body usa evidência qualitativa substantiva, como reconstrução histórica, estudo de caso, documentos, discursos ou entrevistas. Não há análise quantitativa original apoiada pelo texto."
