pid,title,year,journal_title,source_file,input_text_hash,error_in_raw_text,subfield,is_empirical_quant_paper,general_goal_of_analysis,single_country_study,single_region,countries_of_focus,paper_uses_survey_data,uses_original_dataset,seeks_determinants,main_causal_research_design,other_research_design,instrumental_variable_instrument,placebo_test,independent_variables,dependent_variables,main_variable_relationship,makes_explicit_causal_claim,makes_implicit_causal_claim,strong_non_causal_causal_qualification,sample_size,sample_size_quote,claims_any_statistically_significant_results,references_power_analysis,clearly_defined_explanatory_variable,clear_causal_quantity_of_interest,specifies_estimate_equations,discusses_threats_to_causality,statement_of_identification_assumptions_quote,statement_of_identification_assumptions,effort_to_explore_mechanisms,mentions_pre_registered_design_and_analysis_plan,evidence_type,method_status,brief_justification
S0011-52582018000200463,O Seguro Social e a Construção da Proteção do Trabalho no Brasil,2018,Dados,data/processed/sample_xmls/S0011-52582018000200463.xml,eb8cc8506e83f3f5a9d84520fb7912846bc83e57efe01a35dfe176841f0db3d2,Missing/Corrupt,Public Policy/Administration,FALSE,Explain,single_country,<NULL>,Brazil,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,FALSE,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,qualitative,,
S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,2024,Dados,data/processed/sample_xmls/S0011-52582024000400209.xml,333a3480364f81c6499e4f4ec2323a76e45108e52fbe37f443e45065ef57c293,Missing/Corrupt,Public Policy/Administration,TRUE,Explain,single_country,<NULL>,Brazil,no_survey_data,other_original_data,TRUE,,,<NULL>,<NULL>,,,<NULL>,TRUE,FALSE,FALSE,103,103 colegiados nacionais,<NULL>,<NULL>,TRUE,FALSE,FALSE,<NULL>,<NULL>,,,<NULL>,quantitative,explicit,
S0011-52582025000400220,O Jovem Claude Lefort entre Socialismo e Democracia: Uma Leitura Sociológica*,2025,Dados,data/processed/sample_xmls/S0011-52582025000400220.xml,69f60090f3d00f9da78a31becbf77aa0a2e67266f72a4c1af7a1aae0a43bc357,Missing/Corrupt,Political Theory and Philosophy,FALSE,<NULL>,single_country,<NULL>,France,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0011-52582025000400228,"José Maria Ibiapina, um Ultramontano Heterodoxo?*",2025,Dados,data/processed/sample_xmls/S0011-52582025000400228.xml,e0ddcd908415cefb1bff060385974d2b8d35479689f205f151cb368126c2c1d3,Missing/Corrupt,Political Theory and Philosophy,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,not_original,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,qualitative,explicit,
S0034-73292005000200008,O Brasil e o Conselho de Segurança da Organização das Nações Unidas: dos anos 90 a 2002,2005,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292005000200008.xml,a37ee45212e09e4ab05ed5e2e4eb0ea761278e466452f41ef4f8a312565e875e,Missing/Corrupt,International Relations,FALSE,Explain,single_country,<NULL>,Brazil,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,FALSE,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,qualitative,,
S0034-73292008000100004,Aspectos da integração regional em defesa no Cone Sul,2008,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292008000100004.xml,15e68a36cf824c2d9081783c8c0cd6a3cc2e3326178a341142956e4b8a6e1809,Missing/Corrupt,International Relations,FALSE,Explain,multiple_countries,<NULL>,Brazil; Argentina,no_survey_data,<NULL>,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,FALSE,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,,essayistic,
S0034-73292009000100001,La Argentina y el Plan Marshall: promesas y realidades,2009,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292009000100001.xml,42cf83f2a2b5262ab19b181af85a43472d240609ed43878429ca274028043da2,Missing/Corrupt,International Relations,FALSE,Explain,multiple_countries,<NULL>,Argentina; United States,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,FALSE,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,qualitative,,
S0034-73292009000100007,Ordem e Justiça na sociedade internacional pós-11 de Setembro,2009,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292009000100007.xml,8d10e48e942285c13f4ca50063799011570fee79e03e962afe345653f692153e,Missing/Corrupt,International Relations,FALSE,Describe,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,essayistic,
S0034-73292010000300011,Parceria global emergente: Brasil e China,2010,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292010000300011.xml,94206ea1df4f5d7364514125e959fd4b09ece194f7be830a9ae3f4ee550754c8,Missing/Corrupt,International Relations,FALSE,,multiple_countries,<NULL>,Brazil; China,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,essayistic,
S0034-73292011000200008,Brasil y la región: una potencia emergente y la integración regional sudamericana,2011,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292011000200008.xml,bc559a2534c16ec94d32d7070945f4e6f444fcd7f5a601024387f27666792029,Missing/Corrupt,International Relations,FALSE,Describe,multiple_countries,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,essayistic,
S0034-73292012000100003,Ascenso y hegemonía: pensando a las potencias emergentes desde América del Sur,2012,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292012000100003.xml,a20fbde3a619b2cf6da119c609c4df92ecfdd7c4c6b6d9690fa20726111aaf04,Missing/Corrupt,International Relations,FALSE,<NULL>,<NULL>,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,theoretical-normative,essayistic,
S0034-73292012000300007,Dilema de escolha: a resposta chinesa à mudança climática,2012,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292012000300007.xml,f410521c126874cd49966bce251d0ebfe8c1ede1ccfae31274318ab853bedad3,Missing/Corrupt,International Relations,FALSE,Describe,single_country,<NULL>,China,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,qualitative,,
S0034-73292017000100203,Brazilian Foreign Policy Towards Internet Governance,2017,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292017000100203.xml,55f710ac9649cc1f3f32a39e7ddff3afa346cdc7ef41761ed158eabea6f46249,Missing/Corrupt,International Relations,FALSE,Explain,single_country,<NULL>,Brazil,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,FALSE,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,qualitative,,
S0034-73292017000100218,Clashing frames: human rights and foreign policy in the Brazilian re-democratization process,2017,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292017000100218.xml,e4ad611a32021fd4575e73570dc6f093dd8c8288e87b8ca352eef5285220f194,Missing/Corrupt,International Relations,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,qualitative,,
S0034-73292017000200207,Explaining Defense Cooperation With Process-tracing: the Brazilian Proposal for the Creation of UNASUR South American Defense Council,2017,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292017000200207.xml,44cbabe6db35c1ff37d75d323d204190c5962fa32e628169ff12a6e867a10edb,Missing/Corrupt,International Relations,FALSE,Explain,multiple_countries,<NULL>,Brazil,no_survey_data,not_original,TRUE,Other,Process tracing case study,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,TRUE,FALSE,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,Mechanisms/Channels Mentioned With Substantial Exploration,<NULL>,qualitative,explicit,
S0034-73292017000200208,The Brazilian participation in UNIFIL: raising Brazil&#8217;s profile in international peace and security in the Middle East?,2017,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292017000200208.xml,3917864759115a74bc1fac654117fa818d42deb308e233ddd9785ff3cd93c6f9,Missing/Corrupt,International Relations,FALSE,Describe,multiple_countries,<NULL>,Brazil; Lebanon,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,qualitative,,
S0034-73292021000200208,What doesn&#8217;t kill a norm makes it stronger? Brazil&#8217;s contestation of the responsibility to protect,2021,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292021000200208.xml,aca0e48b835577939e565ecfda303ee1abbe9cc153dcdd53d5c45b72a51e9718,Missing/Corrupt,International Relations,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,qualitative,,
S0034-73292022000100205,The space left for regional integration (or lack thereof): Structural causes of institutional fragmentation in Latin America (1991-2019),2022,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292022000100205.xml,341efbe0d839f3e53c1b5eb9456f7728ec2552c2c93226d5814fc72e04168220,Missing/Corrupt,International Relations,TRUE,Explain,multiple_countries,<NULL>,Brazil; China,no_survey_data,not_original,TRUE,,,<NULL>,<NULL>,,"[{""variable_name"":""institutional fragmentation"",""variable_description"":""Fragmentation among Latin American regional organizations.""}]","[{""iv_var_name"":""ties to China"",""dv_var_name"":""institutional fragmentation"",""relationship_type"":""Positive"",""statistically_significant"":false,""substantively_significant"":true},{""iv_var_name"":""ties to Brazil"",""dv_var_name"":""institutional fragmentation"",""relationship_type"":""Negative"",""statistically_significant"":false,""substantively_significant"":true}]",TRUE,FALSE,,<NULL>,<NULL>,<NULL>,<NULL>,TRUE,FALSE,FALSE,<NULL>,<NULL>,,,<NULL>,quantitative,explicit,
S0034-73292023000200502,Mercosur and Environment: progress in promoting the Sustainable Development Goals and the 2030 Agenda,2023,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292023000200502.xml,4e6901a96b406a57605267eca57f5ce6a94da9068edec6c93a7a858fc39607b2,Missing/Corrupt,International Relations,TRUE,Describe,multiple_countries,<NULL>,<NULL>,no_survey_data,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,<NULL>,<NULL>,<NULL>,,<NULL>,mixed,explicit,
S0034-73292025000200604,Impact of China&#8211;Latin America Transportation Infrastructure Cooperation on Latin American Economies: A Project Data Study (2009&#8211;2023),2025,Revista Brasileira de Política Internacional,data/processed/sample_xmls/S0034-73292025000200604.xml,413bbe06762658e29923db9f23a8b855044a1fc509ce2d22c225eb35a994c13f,Missing/Corrupt,International Relations,TRUE,Describe,multiple_countries,<NULL>,China,no_survey_data,procure_original_data,FALSE,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,quantitative,explicit,
S0034-76122006000100004,Articulação de políticas públicas a partir dos fóruns de competitividade setoriais: a experiência recente da cadeia produtiva têxtil e de confecções,2006,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122006000100004.xml,3d3ada221d10343d96604f477c44741840ea045aadf09bf2f744646964d1ee3d,Missing/Corrupt,Public Policy/Administration,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,,
S0034-76122009000100006,Redes de C&T em institutos públicos de pesquisa brasileiros: o caso do Instituto Agronômico do Paraná (Iapar),2009,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122009000100006.xml,3195e06bad438742f6716b9880ca012979f24400e4cc7f5c89a03b92fada74cf,Missing/Corrupt,Public Policy/Administration,FALSE,Describe,single_country,single_region,Brazil,no_survey_data,field_study,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,qualitative,explicit,
S0034-76122009000300003,Exames de mamografia em Mato Grosso do Sul: análise da cobertura como componente de equidade,2009,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122009000300003.xml,b980b22a71b124769fb310d0c0f85434632a65166dbf2a55fb05d8e460990539,Missing/Corrupt,Public Policy/Administration,TRUE,Describe,single_country,single_region,Brazil,no_survey_data,not_original,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,77,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,quantitative,explicit,
S0034-76122009000600006,Accountability: já podemos traduzi-la para o português?,2009,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122009000600006.xml,c539babf26f82fca0a8e8308fefd975bc949aa981e1247d628ca95de54098ee4,Missing/Corrupt,Public Policy/Administration,FALSE,,single_country,<NULL>,Brazil,no_survey_data,not_original,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,,
S0034-76122011000400011,A unidade dos contrários: fordismo e pós-fordismo,2011,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122011000400011.xml,6b53bb253b91fb3f09b0f02462ae2701c6450d376dc099765524c9c506ad25c3,Missing/Corrupt,Public Policy/Administration,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,theoretical-normative,essayistic,
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,2014,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122014000100004.xml,bf362a3bb3fadac61f7772f08818c31376251bff51f338c965adc5ebceb84054,Missing/Corrupt,Public Policy/Administration,,Explain,single_country,single_region,Brazil,no_survey_data,field_study,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,FALSE,,<NULL>,46,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,explicit,
S0034-76122014000500011,Dificuldades e perspectivas no acesso de micro e pequenas empresas a linhas de crédito públicas: o caso de Chapecó,2014,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122014000500011.xml,9273403f0ef5b05ca42889d2cf5ac0397c685cf218185de21c6b176ebb659dc3,Missing/Corrupt,Public Policy/Administration,FALSE,Describe,single_country,single_region,Brazil,no_survey_data,field_study,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,qualitative,explicit,
S0034-76122014000600003,Problema da falta de vagas em creches: matriz de loops e a priorização de causas de problemas complexos,2014,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122014000600003.xml,306dcfcc6a9b015ee8f9793861444bb93e4e2e680370e15de6aca5ac05523a27,Missing/Corrupt,Public Policy/Administration,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,field_study,FALSE,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,FALSE,,<NULL>,3,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,explicit,
S0034-76122015000300563,"A configuração institucional da política de esporte no Brasil: organização, evolução e dilemas",2015,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122015000300563.xml,52135dd874e10e3534a4f7905ad0bf6c361b077efd9e57b53d63fb048ac95d84,Missing/Corrupt,Public Policy/Administration,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,structure_systematize,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,qualitative,explicit,
S0034-76122016000500745,A auditoria de custos e preços: eficácia nos serviços contratantes de defesa na Espanha,2016,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122016000500745.xml,d138d4f93c8f2e0caa3b4205d1a738d551472e12dd886abc1abc1025170f0ec5,Missing/Corrupt,Public Policy/Administration,,Describe,single_country,<NULL>,Spain,no_survey_data,not_original,FALSE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,,,
S0034-76122016000600959,"Análise de políticas públicas no Brasil: de uma prática não nomeada à institucionalização do ""campo de públicas""",2016,Revista de Administração Pública,data/processed/sample_xmls/S0034-76122016000600959.xml,936c4ddb625d2a779551539fa243c67fa37e6e4215ec79c723963a71d1207a8b,Missing/Corrupt,Public Policy/Administration,FALSE,Describe,single_country,<NULL>,Brazil,no_survey_data,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,,<NULL>,,,
