pid,eligible_order,title,title_en,authors,year,issn,journal_title,doi,document_type,language,source_file,source_file_exists,source_column,task_packet_file,input_text_hash,input_hash,input_hash_matches_source,body_hash_matches_inventory,body_char_count,body_word_count,source_method,source_url,retrieved_at,abstract_char_count,reference_tail_ratio,validation_flags,fulltext_validation_status,pilot_exclusion_policy,scope_exclusion_policy,ordering_policy
S1981-38212017000200205,130,"Accountability, Corruption and Local Government: Mapping the Control Steps","Accountability, Corruption and Local Government: Mapping the Control Steps",Ana Luiza Melo Aranha,2017,1981-3821,Brazilian Political Science Review,10.1590/1981-3821201700020004,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/130_S1981-38212017000200205.md,c705779e22de092fc42f23f5d37288be2b0611b1eb295e9576a27a659afcfcb2,44617865beefd0e5d95f8463243e65536b71fea5a0273b948ab82086e4ac0c44,TRUE,TRUE,52383,8067,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/Jrxn577StsCVYdPQhvffR6h/?lang=en,2026-06-04T00:49:37Z,1538,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212019000100204,158,"Capital Mobility, Veto Players, and Redistribution in Latin America During the Left Turn","Capital Mobility, Veto Players, and Redistribution in Latin America During the Left Turn",Fabiano Santos; Acir Almeida; Thiago Moreira da Silva,2019,1981-3821,Brazilian Political Science Review,10.1590/1981-3821201900010005,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/158_S1981-38212019000100204.md,9302f7a51d9f1dc55f068a0660fec065c635ff821d88bd49d39af1cd2b1f8cb3,3ea7904f9c574ebaabe2b2a5e203f7eb624db0e108fdce71263ed9fd6dbb4cf6,TRUE,TRUE,57920,8834,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/FmvrZcZtWHffJHmmfMBRypc/?lang=en,2026-06-04T00:49:48Z,1080,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S2236-57102025000101004,353,"TRANSPARÊNCIA ATIVA, DADOS ABERTOS E DESEMPENHO ACADÊMICO: ANÁLISE DAS UNIVERSIDADES FEDERAIS BRASILEIRAS","TRANSPARÊNCIA ATIVA, DADOS ABERTOS E DESEMPENHO ACADÊMICO: ANÁLISE DAS UNIVERSIDADES FEDERAIS BRASILEIRAS",Doraliza Auxiliadora Abranches Monteiro; Marco Antônio Carvalho Teixeira,2025,2236-5710,Cadernos Gestão Pública e Cidadania,10.12660/CGPC.V30.90831,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/353_S2236-57102025000101004.md,764b1d3d1c03b5c6cf6e985d9a113f1784f2d2e19b0e8927af8f63c737e4008e,c09a95a45c964d95feb0b6abfbfd38a5c5ccc647e9d36b667fa2f5dd60c53f92,TRUE,TRUE,34905,5212,articlemeta_fulltexts_html,http://www.scielo.br/j/cgpc/a/sS5D3bKfcx94bYfcXpGjh3h/?lang=pt,2026-06-04T00:51:22Z,1069,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212021000200202,190,"Left-Wing Governmental Alliance in Portugal, 2015-2019: A Way of Renewing and Rejuvenating Social Democracy?","Left-Wing Governmental Alliance in Portugal, 2015-2019: A Way of Renewing and Rejuvenating Social Democracy?",André Freire,2021,1981-3821,Brazilian Political Science Review,10.1590/1981-3821202100020004,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/190_S1981-38212021000200202.md,78a7d140228a31728dfc6287dc75725562cd0bd33f35e3885976fe0864123ed2,e79e01d26b9428f554782c56212b70d563cbe312ac18e52ff303ee69e26d65e3,TRUE,TRUE,54159,8733,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/YX6T7rmFhm5FMjfmMgxr3qS/?lang=en,2026-06-04T00:50:05Z,1270,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212020000300202,182,Political Science in Latin America: A Scientometric Analysis,Political Science in Latin America: A Scientometric Analysis,Adriano Codato; Rafael Madeira; Maiane Bittencourt,2020,1981-3821,Brazilian Political Science Review,10.1590/1981-3821202000030005,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/182_S1981-38212020000300202.md,bde9593f4a39fcb0fa02bb50d8a2386f08dcb589ef77d377ef7f701e71f69adf,794c71affa089d5e323c29be3214681f993b8b01acc3a297913cc9e8e0496302,TRUE,TRUE,41094,6317,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/QXshntQdFfDF5G3kTsBk3Bk/?lang=en,2026-06-04T00:50:01Z,1193,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212017000200201,126,Leaders or Loners? How Do the BRICS Countries and their Regions Vote in the UN General Assembly,Leaders or Loners? How Do the BRICS Countries and their Regions Vote in the UN General Assembly,Renan Holanda Montenegro; Rafael Mesquita,2017,1981-3821,Brazilian Political Science Review,10.1590/1981-3821201700020005,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/126_S1981-38212017000200201.md,ef10ec832f0763d09bd604cfb814a7f4955052147ba42fa482b69bc168b30726,473063c07a59415a0a2e0b8abe30394b6a8d7ba34ceb48568a215f06d131760d,TRUE,TRUE,51205,8173,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/h7j48bLb6gY9bLn8Q7ndBTm/?lang=en,2026-06-04T00:49:34Z,1157,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S2236-57102024000100405,321,TRANSPARÊNCIA SOBRE DIRIGENTES PÚBLICOS ESTADUAIS: UMA ANÁLISE EXPLORATÓRIA,Transparency of state public leaders: An exploratory analysis,Matheus Nunes de Freitas; Sérgio Rodrigo Marchiori Praça,2024,2236-5710,Cadernos Gestão Pública e Cidadania,10.12660/CGPC.V29.89150,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/321_S2236-57102024000100405.md,2c63bc6547005436fc4b9297d25fb3b70e775d64fb8d8e751c3af25d336ef7c7,25014fb2ebf5d7d98be092932aeac9a9b510177044c1c62df8a1b6774ec0ca3b,TRUE,TRUE,29459,4279,articlemeta_fulltexts_html,http://www.scielo.br/j/cgpc/a/jTwkLK3tYYWMkfct8sx34ky/?lang=pt,2026-06-04T00:51:07Z,1056,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212012000200002,54,"The Bigger, the Better: Coalitions in the GATT/WTO","The Bigger, the Better: Coalitions in the GATT/WTO",Gabriel Cepaluni; Manoel Galdino; Amâncio Jorge de Oliveira,2012,1981-3821,Brazilian Political Science Review,,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/54_S1981-38212012000200002.md,37a763664690719d99598a7ba4c71d9f8715178b05e47761b2fab43baee466f3,cd8617b1a58b1a3d4427a8d298fe019096c940ff08834c0516b03327afe12cd7,TRUE,TRUE,56239,8837,pdf_text_extraction,https://www.scielo.br/j/bpsr/a/B9VQpYkNtm9brpCp75ZcH5g/?lang=en&format=pdf,2026-06-04T00:48:22Z,882,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212023000200202,224,"Pierre Rosanvallon, from the Critique of Utopian Liberalism to the Critique of the Critique of Neoliberalism","Pierre Rosanvallon, from the Critique of Utopian Liberalism to the Critique of the Critique of Neoliberalism",Felipe Freller,2023,1981-3821,Brazilian Political Science Review,10.1590/1981-3821202300020002,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/224_S1981-38212023000200202.md,9154d5b6ea6a6c611e1aed51e11f4c10c9debf427d070a4ec1acd80884b50f59,16e2dd3647358ba3a3f70930cb14e928448cad77d45b86e91110d2654a07e60d,TRUE,TRUE,50418,7818,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/hhC4fJW7ytQZ9nKtkPHBrDS/?lang=en,2026-06-04T00:50:21Z,1432,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212022000100204,203,Policy Dynamics and Government Attention over Welfare Policies: An Analysis of the Brazilian Case,Policy Dynamics and Government Attention over Welfare Policies: An Analysis of the Brazilian Case,Felipe Gonçalves Brasil; Renata Bichir,2022,1981-3821,Brazilian Political Science Review,10.1590/1981-3821202200010006,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/203_S1981-38212022000100204.md,f334f86c15a712d309208a3e39d653d8b92329e2caf1de491fc815c84f2b45d5,24dc27cfd19b1f8841a617b7460c47d2c01a289fa88c786130fa6ca50295eff1,TRUE,TRUE,69431,10460,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/TKXLBs85yQjpVnBvR3y8KHc/?lang=en,2026-06-04T00:50:09Z,1234,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S2236-57102025000100207,338,CUSTOS NO SETOR PÚBLICO: O CUSTO DO ABSENTEÍSMO NAS UNIDADES BÁSICAS DE SAÚDE,Costs in the public sector: The cost of absenteeism in basic health units,Angélica de Oliveira Pacheco; Ângela Rozane Leal De Souza,2025,2236-5710,Cadernos Gestão Pública e Cidadania,10.12660/CGPC.V30.92013,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/338_S2236-57102025000100207.md,33fa35c60a9af2c5bc58e1530a265865d8c70af51355d5b28f42896fdd8fdecb,d170e505e89943028802e22e74fc19628eea1e85b0c3a7fc875eef35937de642,TRUE,TRUE,31303,5031,articlemeta_fulltexts_html,http://www.scielo.br/j/cgpc/a/kr35NjYMtMkfnHS3SGShG3G/?lang=pt,2026-06-04T00:51:15Z,1195,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212014000300098,86,Beyond Brazilian Coalition Presidentialism: the Appropriation of the Legislative Agenda,Beyond Brazilian Coalition Presidentialism: the Appropriation of the Legislative Agenda,Rafael Silveira e Silva,2014,1981-3821,Brazilian Political Science Review,10.1590/1981-38212014000100022,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/86_S1981-38212014000300098.md,62182891887f226c038e30d2bac546c7a83c95fd8404a029246a11e0089a90aa,d974cbc60ced47e2963dd5d8b9777167a8a46fd767af59f73e4ea45f36fcc6da,TRUE,TRUE,61022,9294,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/39yFhxhWxzw8r74Q8TK3PxD/?lang=en,2026-06-04T00:49:17Z,925,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S2236-57102025000100204,335,ADMINISTRAÇÃO PÚBLICA 4.0 E OS CONCURSOS PARA CARREIRAS DA ÁREA ECONÔMICA DO PODER EXECUTIVO FEDERAL,PUBLIC ADMINISTRATION 4.0 AND COMPETITIVE HIRING PROCESSES FOR CAREERS IN THE ECONOMIC AREA OF THE FEDERAL EXECUTIVE BRANCH,Leopoldo Mateus da Silva Ribeiro,2025,1806-2261,Cadernos Gestão Pública e Cidadania,10.12660/CGPC.V30.92401,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/335_S2236-57102025000100204.md,65b962ff7c8f405cce5dcbc8f58b2f82d1fcc9b93a8c495c0798bcbd49147f0f,29119fc93203e5a5d47f556c00d6ff45334d9c1a8ae63656d888038ecbbd84de,TRUE,TRUE,43763,6337,articlemeta_fulltexts_html,http://www.scielo.br/j/cgpc/a/H6y7pLpxQ8RTpqcvrh9SRRk/?lang=pt,2026-06-04T00:51:13Z,1043,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212022000300201,212,The Relationship between Ideology and COVID-19 Deaths: What We Know and What We Still Need to Know,The Relationship between Ideology and COVID-19 Deaths: What We Know and What We Still Need to Know,Lorena Barberia; Natália de Paula Moreira; Rebeca de Jesus Carvalho; Maria Leticia Claro Oliveira; Isabel Seelaender Costa Rosa; Marcela Zamudio,2022,1981-3821,Brazilian Political Science Review,10.1590/1981-3821202200030001,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/212_S1981-38212022000300201.md,10221c37b0ad788bdf601dbce0a4e6c6bbc44abd0760b5c74af5452b6da01bf0,dce2c3e32becc57f0039b2a5249a2bd408c83fd203e6682097f95f59ccfb8634,TRUE,TRUE,43021,6749,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/LZrBWxfkNRFYDGBhD8Mxp3C/?lang=en,2026-06-04T00:50:13Z,697,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S1981-38212023000300201,229,"PLANB Index : Sociological Categories for Climate Policymakers ,","PLANB Index : Sociological Categories for Climate Policymakers ,",Frederico Salmi,2023,1981-3821,Brazilian Political Science Review,10.1590/1981-3821202300030001,research-article,en,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/229_S1981-38212023000300201.md,902ac58818c740cede9ed28ed5f1341f33419139946bc39f939b2fce8116b6a6,8eea4527bfd6b78e9f3c84ef66cd6cfe5447caa61d69abde1847c29d675a6b8c,TRUE,TRUE,47725,6994,articlemeta_fulltexts_html,http://www.scielo.br/j/bpsr/a/djchf3XDghyrWgGDrCnjqRP/?lang=en,2026-06-04T00:50:23Z,1523,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S2236-57102025000100800,345,"BOA GOVERNANÇA, MODELOS DE GESTÃO E INGRESSO NO SERVIÇO PÚBLICO BRASILEIRO: ENTRE DISCURSOS E PRÁTICAS","Good governance, management models and recruitment into the Brazilian public service: Between discourses and practices",Carolina Schincariol Scacchetti,2025,1806-2261,Cadernos Gestão Pública e Cidadania,10.12660/CGPC.V30.91612,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/345_S2236-57102025000100800.md,64d041052043154d6f2f0c38542c4c7aaf205e27a33f3506dd62c8eeb00b09ef,dcf681695343efe1c3f6e526c9906705bbfd582c4d5689ff64fec7a03521126a,TRUE,TRUE,26612,4071,articlemeta_fulltexts_html,http://www.scielo.br/j/cgpc/a/SJGvffX6ZtJmyRkX9MZgJQw/?lang=pt,2026-06-04T00:51:18Z,965,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
S2236-57102023000100408,297,A TRAJETÓRIA INSTITUCIONAL DO PROGRAMA NACIONAL DE FORMAÇÃO EM ADMINISTRAÇÃO PÚBLICA NA UNIVERSIDADE FEDERAL DE OURO PRETO,The institutional trajectory of The National Training Program in Public Administration at The Federal University of Ouro Preto,Breynner Ricardo de Oliveira; Maria Tereza da Silva Pena; Gustavo Adolf Fichter,2023,1806-2261,Cadernos Gestão Pública e Cidadania,10.12660/CGPC.V28.88040,research-article,pt,data/processed/fulltext_corpus/article_texts_corpus.csv,TRUE,body_text,data/processed/credibility_prompt_v3_full_corpus/task_packets/297_S2236-57102023000100408.md,d3230fbf0376e485c2ff066dc0daa7b15c080038de4f76050eacb4679b6cec8d,7283af742afd12e36f1dfa55168ad8f3aeda86ff29505f12d5358f91358f56b3,TRUE,TRUE,40325,6389,articlemeta_fulltexts_html,http://www.scielo.br/j/cgpc/a/DVVHNcVJxLWrMCgZRZvHLrM/?lang=pt,2026-06-04T00:50:55Z,1583,0,,PASS,exclude_pilot_175,exclude_analysis_ledger_journals_and_articles,journal_year_pid_with_lua_nova_last
